feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
subtype_0_ratio,0.07700649415946881,True,False,0.010269012134627735,0.004807288762360715,0.08512829757883464,0.14123405544662732,0.1355349748726479,0.12063244263270329,True
interarrival_p95,0.14179417130354333,True,False,0.008650978741004478,0.0027573035095728184,0.15674907085986414,0.11898055968349608,0.0777384260359466,0.1178226855264356,True
subwin_packet_cv,0.10939799764912372,True,False,0.008864605378671132,0.003085521447431768,0.12093610285799689,0.1219186569409089,0.0869920848360516,0.10994894821165246,True
interarrival_max,0.12659000657185082,True,False,0.008504072867967847,0.0017141260862026514,0.1399413369947588,0.11696010124544176,0.0483274559749848,0.10174296473839511,True
interarrival_mean,0.10494087264264573,True,False,0.008627845680931528,0.0023776221134034076,0.11600888901663195,0.11866240095058583,0.06703382495345153,0.1005683716402231,True
burst_size_min,0.10062227638161847,True,False,0.007240641109851425,0.0032058091968522467,0.1112348144188421,0.09958359134950587,0.09038343449302247,0.10040061342045681,True
interarrival_cv,0.09098779402250168,True,False,0.008580479592446323,0.0022030980823380775,0.10058419215331622,0.1180109551562186,0.06211335702768105,0.09356950144573863,True
unique_sa_count,0.05960842384000742,True,False,0.009188035974163062,0.0030485251694318373,0.06589526894120401,0.12636693434656207,0.08594902504560128,0.09273707611112246,True
interarrival_p25,0.10394896730530245,True,False,0.007349543672913768,0.001475348208773039,0.11491236834458925,0.10108137423535543,0.04159543815426327,0.08586306024473599,True
interarrival_std,0.05325499618456764,True,False,0.008651356701363109,0.0024410128214635866,0.058871751171678706,0.11898575793173531,0.06882103983668576,0.08222618298003326,True
interarrival_min,0.039942442417996826,True,False,0.006851807536141562,0.001130789060868187,0.04415513472335637,0.09423579919687348,0.031881061140120216,0.056757331686783354,True
subwin_byte_min,0.05398856290551013,True,False,0.0015556495443222994,0.00024390486129497916,0.05968268649338032,0.021395504369642167,0.0068765661646457985,0.029318252342556094,True
subwin_packet_min,0.02807671224871111,True,False,0.0018185053036291181,0.0003674226619464427,0.03103793701339017,0.02501067050224606,0.010358982727323812,0.022135863414320014,True
mgmt_ratio,0.027195990816651694,True,False,0.0010735439597444377,0.00024471055434257416,0.030064326709859784,0.014764902908592602,0.006899281585407673,0.01724283706795335,True
subtype_3_ratio,0.029578703557464614,True,False,0.0,0.0,0.03269834195050637,0.0,0.0,0.010899447316835455,True
subtype_5_ratio,0.009475352926207048,True,False,0.0010420451236153475,0.00025082532927266175,0.010474709599118299,0.014331686128824775,0.007071679356265593,0.010626025028069556,True
subtype_14_ratio,0.021632338687148422,True,False,0.0,0.0,0.023913881357489016,0.0,0.0,0.007971293785829671,False
up_len_std,0.016060062993936697,True,False,0.0,0.0,0.017753902922154584,0.0,0.0,0.005917967640718194,False
subtype_12_ratio,0.015140743802850576,True,False,0.0,0.0,0.01673762398980054,0.0,0.0,0.00557920799660018,False
subtype_2_ratio,0.01446695305721235,True,False,0.0,0.0,0.01599276916000171,0.0,0.0,0.005330923053333904,False
subtype_9_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_6_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_11_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_13_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_10_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
ctrl_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
bssid_known,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_15_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_7_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
rssi_missing_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
subtype_1_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False
len_max,0.8952277662509673,False,True,,,0.9896466073163908,0.0,0.0,-1.0,False
len_p90,0.5793139614250391,False,True,,,0.6404136668998105,0.0,0.0,-1.0,False
up_len_p50,0.4957997786451944,False,True,,,0.5480913208258122,0.0,0.0,-1.0,False
subtype_8_ratio,0.38065946611435475,False,True,,,0.4208072664686887,0.0,0.0,-1.0,False
subtype_4_ratio,0.4149274987311027,False,True,,,0.45868951665915564,0.0,0.0,-1.0,False
up_ia_std,0.47901617552014564,False,True,,,0.5295375666669037,0.0,0.0,-1.0,False
burst_size_max,0.15898782450918336,False,True,,,0.1757561227005307,0.0,0.0,-1.0,False
subwin_byte_std,0.14161884515061063,False,True,,,0.15655525322041547,0.0,0.0,-1.0,False
subwin_byte_mean,0.18237618741272943,False,True,,,0.2016112345176167,0.0,0.0,-1.0,False
len_std,0.21302160584805296,False,True,,,0.23548879677344037,0.0,0.0,-1.0,False
burst_packet_ratio,0.20799843892220293,False,True,,,0.22993584109717757,0.0,0.0,-1.0,False
len_mean,0.24531202048303413,False,True,,,0.2711848514503125,0.0,0.0,-1.0,False
down_len_mean,0.3132087906414003,False,True,,,0.34624263089828683,0.0,0.0,-1.0,False
subwin_packet_max,0.12768895787232104,False,True,,,0.1411561936682407,0.0,0.0,-1.0,False
subwin_packet_mean,0.1641629122251702,False,True,,,0.1814770221115699,0.0,0.0,-1.0,False
byte_count,0.18214579758199445,False,True,,,0.20135654568540823,0.0,0.0,-1.0,False
interarrival_p10,0.05395814442706337,False,True,,,0.05964905980626289,0.0,0.0,-1.0,False
data_ratio,0.01196851306130231,False,True,,,0.013230821018144379,0.0,0.0,-1.0,False
side_packet_ratio,0.0,False,True,,,0.0,0.0,0.0,-1.0,False
