unit,arm,pool,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
pos_R5,flat_drop_rssi_175,175,45,lightgbm,0.7941595067585038,0.7797716150081566,0.6089466089466089,0.8695652173913043,0.7125140924464487,1.0,0.95,60,0
pos_R5,flat_drop_rssi_175,175,46,lightgbm,0.7941595067585038,0.7797716150081566,0.6089466089466089,0.8695652173913043,0.7125140924464487,1.0,0.95,60,0
pos_R5,flat_drop_rssi_86,86,42,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi_86,86,43,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi_86,86,44,xgboost,0.7342433967721986,0.6319444444444444,0.5369318181818182,0.7903225806451613,0.7120181405895691,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi_86,86,45,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,flat_drop_rssi_86,86,46,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,override_183,183,42,rf,0.759874462667379,0.9096296296296297,0.4281150159744409,0.7808764940239044,0.6807511737089202,1.0,0.9166666666666666,60,908
pos_R5,override_183,183,43,rf,0.7585622536921186,0.9063893016344725,0.43037974683544306,0.7742782152230971,0.6817640047675805,1.0,0.9166666666666666,60,906
pos_R5,override_183,183,44,rf,0.7606070973198462,0.9080118694362018,0.43740095087163233,0.7686274509803922,0.6889952153110048,1.0,0.9166666666666666,60,914
pos_R5,override_183,183,45,rf,0.7586188781150098,0.8902255639097745,0.44305772230889234,0.7757255936675461,0.684085510688836,1.0,0.9166666666666666,60,914
pos_R5,override_183,183,46,rf,0.7630845471987382,0.912850812407681,0.43630573248407645,0.7805519053876478,0.6857142857142857,1.0,0.9166666666666666,60,914
pos_R5,override_94,94,42,rf,0.735154847794702,0.8849557522123894,0.3747870528109029,0.7093821510297483,0.7066492829204694,1.0,0.85,60,841
pos_R5,override_94,94,43,rf,0.7307203218696181,0.8849557522123894,0.3623931623931624,0.7111622554660529,0.6950904392764858,1.0,0.8333333333333334,60,837
pos_R5,override_94,94,44,rf,0.7276438083699223,0.8545454545454545,0.3745819397993311,0.7151095732410612,0.6939820742637645,1.0,0.8666666666666667,60,850
pos_R5,override_94,94,45,rf,0.7253275896704034,0.8597285067873304,0.3694915254237288,0.7121387283236994,0.6852791878172588,1.0,0.8666666666666667,60,842
pos_R5,override_94,94,46,rf,0.7305747895775468,0.8703427719821163,0.37225042301184436,0.7124856815578465,0.6977950713359273,1.0,0.8666666666666667,60,857
