unit,unit_type,config,model,seed,macro_f1,n_cols
loro_to_R2,loro,full94,rf,42,0.8097991283932819,94
loro_to_R2,loro,full94,xgboost,42,0.7752091537055984,94
loro_to_R2,loro,full94,lightgbm,42,0.7934265218076193,94
loro_to_R2,loro,full94,stacking,42,0.6370202122940894,94
loro_to_R2,loro,full94,rf::Camera,42,0.9464544138929089,94
loro_to_R2,loro,full94,rf::Light_T1,42,0.6501457725947521,94
loro_to_R2,loro,full94,rf::Light_XM,42,0.7657894736842106,94
loro_to_R2,loro,full94,rf::Sensor,42,0.6866059817945384,94
loro_to_R2,loro,full94,rf::Socket,42,1.0,94
loro_to_R2,loro,full94,xgboost::Camera,42,0.9466089466089466,94
loro_to_R2,loro,full94,xgboost::Light_T1,42,0.5154975530179445,94
loro_to_R2,loro,full94,xgboost::Light_XM,42,0.7480916030534351,94
loro_to_R2,loro,full94,xgboost::Sensor,42,0.6658476658476659,94
loro_to_R2,loro,full94,xgboost::Socket,42,1.0,94
loro_to_R2,loro,full94,lightgbm::Camera,42,0.9572649572649573,94
loro_to_R2,loro,full94,lightgbm::Light_T1,42,0.5414012738853503,94
loro_to_R2,loro,full94,lightgbm::Light_XM,42,0.7630208333333334,94
loro_to_R2,loro,full94,lightgbm::Sensor,42,0.7054455445544554,94
loro_to_R2,loro,full94,lightgbm::Socket,42,1.0,94
loro_to_R2,loro,full94,stacking::Camera,42,0.9834254143646409,94
loro_to_R2,loro,full94,stacking::Light_T1,42,0.43133462282398455,94
loro_to_R2,loro,full94,stacking::Light_XM,42,0.048879837067209775,94
loro_to_R2,loro,full94,stacking::Sensor,42,0.7214611872146118,94
loro_to_R2,loro,full94,stacking::Socket,42,1.0,94
joint_tb,ceiling,full94,rf,42,0.8983436381527579,94
joint_tb,ceiling,full94,xgboost,42,0.91007095630772,94
joint_tb,ceiling,full94,lightgbm,42,0.9073859758902374,94
joint_tb,ceiling,full94,stacking,42,0.8706688010992997,94
pos_R5,main,drop_rssi,rf,42,0.6756305912756534,86
pos_R5,main,drop_rssi,xgboost,42,0.7288858292769937,86
pos_R5,main,drop_rssi,lightgbm,42,0.7334187064794107,86
pos_R5,main,drop_rssi,stacking,42,0.7195077410079656,86
pos_R5,main,drop_rssi,rf::Camera,42,0.5212765957446809,86
pos_R5,main,drop_rssi,rf::Light_T1,42,0.4653179190751445,86
pos_R5,main,drop_rssi,rf::Light_XM,42,0.7324675324675325,86
pos_R5,main,drop_rssi,rf::Sensor,42,0.6590909090909091,86
pos_R5,main,drop_rssi,rf::Socket,42,1.0,86
pos_R5,main,drop_rssi,xgboost::Camera,42,0.6167247386759582,86
pos_R5,main,drop_rssi,xgboost::Light_T1,42,0.5374823196605375,86
pos_R5,main,drop_rssi,xgboost::Light_XM,42,0.7817938420348058,86
