filter_mode,task,task_type,scenario,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,parameter_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,source,iid_mean_macro_f1,ood_drop
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v3,94,1012154,0.5677735438214481,0.46059924398903684,0.5638080375737455,0.4948910187629904,"{'Camera': 0.8676470588235294, 'Light_T1': 0.04371584699453552, 'Light_XM': 0.5541284403669725, 'Sensor': 0.016985138004246284, 'Socket': 0.9919786096256684}","[[354, 1, 10, 0, 0], [1, 12, 247, 103, 0], [38, 29, 302, 0, 0], [53, 144, 162, 4, 1], [5, 0, 0, 0, 371]]",preserved_baseline,0.9310126140102172,0.43612159524722677
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_v5,94,1225296,0.5362003266194882,0.4405445368803119,0.5326114527194383,0.474508184541561,"{'Camera': 0.8104426787741204, 'Light_T1': 0.09076175040518639, 'Light_XM': 0.4887063655030801, 'Sensor': 0.004310344827586207, 'Socket': 0.978319783197832}","[[357, 4, 4, 0, 0], [1, 28, 235, 99, 0], [61, 70, 238, 0, 0], [84, 150, 128, 1, 1], [13, 2, 0, 0, 361]]",preserved_baseline,0.9199211188133631,0.4454129342718021
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_inception,94,763092,0.5400108873162766,0.47030518222616396,0.5361364248039217,0.4924622422902056,"{'Camera': 0.8834827144686299, 'Light_T1': 0.050073637702503684, 'Light_XM': 0.4959677419354839, 'Sensor': 0.03411513859275053, 'Socket': 0.99867197875166}","[[345, 20, 0, 0, 0], [1, 17, 248, 97, 0], [38, 85, 246, 0, 0], [32, 194, 129, 8, 1], [0, 0, 0, 0, 376]]",strict_split_trained,0.9114532519478077,0.4189910096576021
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_tcn,94,814854,0.5661404463799673,0.45736777331413236,0.5621968216880104,0.49423979382256356,"{'Camera': 0.8585131894484412, 'Light_T1': 0.03826086956521739, 'Light_XM': 0.565425023877746, 'Sensor': 0.01702127659574468, 'Socket': 0.9919786096256684}","[[358, 6, 1, 0, 0], [1, 11, 249, 102, 0], [49, 24, 296, 0, 0], [56, 171, 132, 4, 1], [5, 0, 0, 0, 371]]",strict_split_trained,0.9295261510087013,0.43528635718613773
raw_all,loro_R2_R4_to_R3,fixed_split,OOD_LORO,"['R2', 'R4']",['R3'],3669,1837,all_features,cnn1d_convnext,94,1079570,0.5710397387044094,0.48436982758175473,0.5671937125570976,0.5133762170844343,"{'Camera': 0.8669201520912547, 'Light_T1': 0.1111111111111111, 'Light_XM': 0.5784313725490197, 'Sensor': 0.017094017094017096, 'Socket': 0.9933244325767691}","[[342, 15, 8, 0, 0], [2, 36, 225, 100, 0], [30, 44, 295, 0, 0], [46, 190, 123, 4, 1], [4, 0, 0, 0, 372]]",strict_split_trained,0.9201687169517787,0.40679249986734445
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v3,94,1012154,0.6745594713656388,0.7163493304905196,0.6745593527036046,0.6773361107428025,"{'Camera': 0.7202797202797203, 'Light_T1': 0.48297213622291024, 'Light_XM': 0.5880829015544041, 'Sensor': 0.5967213114754099, 'Socket': 0.9986244841815681}","[[206, 0, 75, 80, 1], [2, 156, 79, 126, 0], [2, 63, 227, 73, 0], [0, 64, 26, 273, 0], [0, 0, 0, 0, 363]]",preserved_baseline,0.9310126140102172,0.25367650326741464
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_v5,94,1225296,0.7224669603524229,0.7374293009324638,0.7226333110871066,0.7191467333591592,"{'Camera': 0.8974739970282318, 'Light_T1': 0.44594594594594594, 'Light_XM': 0.6222826086956522, 'Sensor': 0.6341463414634146, 'Socket': 0.9958847736625515}","[[302, 0, 19, 38, 3], [4, 132, 100, 127, 0], [4, 44, 229, 88, 0], [1, 53, 23, 286, 0], [0, 0, 0, 0, 363]]",preserved_baseline,0.9199211188133631,0.2007743854542039
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_inception,94,763092,0.6822687224669604,0.7027700798849363,0.6825530703858521,0.6861943680376199,"{'Camera': 0.8680981595092024, 'Light_T1': 0.4906204906204906, 'Light_XM': 0.5103244837758112, 'Sensor': 0.5701254275940707, 'Socket': 0.9918032786885246}","[[283, 4, 30, 39, 6], [2, 170, 72, 119, 0], [3, 83, 173, 106, 0], [2, 73, 38, 250, 0], [0, 0, 0, 0, 363]]",strict_split_trained,0.9114532519478077,0.22525888391018778
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_tcn,94,814854,0.7230176211453745,0.7389971148813965,0.7229922321680439,0.7130914698616304,"{'Camera': 0.8553654743390358, 'Light_T1': 0.37294332723948814, 'Light_XM': 0.6276715410573678, 'Sensor': 0.7135922330097088, 'Socket': 0.9958847736625515}","[[275, 0, 51, 33, 3], [2, 102, 178, 81, 0], [2, 31, 279, 53, 0], [2, 51, 16, 294, 0], [0, 0, 0, 0, 363]]",strict_split_trained,0.9295261510087013,0.21643468114707087
raw_all,loro_R3_R4_to_R2,fixed_split,OOD_LORO,"['R3', 'R4']",['R2'],3690,1816,all_features,cnn1d_convnext,94,1079570,0.664647577092511,0.6894807169852905,0.664881422607629,0.6696723974696183,"{'Camera': 0.8668730650154799, 'Light_T1': 0.4485407066052227, 'Light_XM': 0.5196629213483146, 'Sensor': 0.5241844769403825, 'Socket': 0.989100817438692}","[[280, 0, 33, 41, 8], [2, 146, 82, 133, 0], [2, 59, 185, 119, 0], [0, 83, 47, 233, 0], [0, 0, 0, 0, 363]]",strict_split_trained,0.9201687169517787,0.25049631948216045
