filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,per_class_f1,confusion_matrix,n_sources,target_env,grid_kind,split_mode
raw_all,g0_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,lightgbm,94,0.7968061674008811,0.7994482625368287,0.7968720095556613,0.7934265218076193,"{'Camera': 0.9572649572649573, 'Light_T1': 0.5414012738853503, 'Light_XM': 0.7630208333333334, 'Sensor': 0.7054455445544554, 'Socket': 1.0}","[[336, 3, 2, 21, 0], [2, 170, 92, 99, 0], [2, 30, 293, 40, 0], [0, 62, 16, 285, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R4_to_R2,fixed_split,"['R3', 'R4']",['R2'],3690,1816,all_features,stacking,94,0.6558370044052864,0.6434251499877026,0.6567039515094806,0.6370202122940894,"{'Camera': 0.9834254143646409, 'Light_T1': 0.43133462282398455, 'Light_XM': 0.048879837067209775, 'Sensor': 0.7214611872146118, 'Socket': 1.0}","[[356, 3, 0, 3, 0], [3, 223, 96, 41, 0], [2, 338, 12, 13, 0], [1, 107, 18, 237, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R5_to_R2,fixed_split,"['R3', 'R5']",['R2'],3653,1816,all_features,rf,94,0.6360132158590308,0.6129932104662388,0.6359376722023702,0.6207367074722319,"{'Camera': 0.9644381223328592, 'Light_T1': 0.28640776699029125, 'Light_XM': 0.7722772277227723, 'Sensor': 0.08056042031523643, 'Socket': 1.0}","[[339, 0, 1, 22, 0], [1, 118, 130, 114, 0], [1, 3, 312, 49, 0], [0, 340, 0, 23, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R5_to_R2,fixed_split,"['R3', 'R5']",['R2'],3653,1816,all_features,xgboost,94,0.572136563876652,0.5599290164663996,0.5720742302586629,0.5653073353653785,"{'Camera': 0.9747191011235955, 'Light_T1': 0.046511627906976744, 'Light_XM': 0.7702182284980744, 'Sensor': 0.03508771929824561, 'Socket': 1.0}","[[347, 0, 4, 11, 0], [1, 17, 110, 235, 0], [2, 0, 300, 63, 0], [0, 351, 0, 12, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R5_to_R2,fixed_split,"['R3', 'R5']",['R2'],3653,1816,all_features,lightgbm,94,0.5803964757709251,0.5455720000385077,0.5803357491442916,0.5588174216107366,"{'Camera': 0.9846582984658299, 'Light_T1': 0.019830028328611898, 'Light_XM': 0.7020785219399538, 'Sensor': 0.08752025931928688, 'Socket': 1.0}","[[353, 0, 0, 9, 0], [1, 7, 197, 158, 0], [1, 0, 304, 60, 0], [0, 336, 0, 27, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R5_to_R2,fixed_split,"['R3', 'R5']",['R2'],3653,1816,all_features,stacking,94,0.7252202643171806,0.7224712792482636,0.7253632087440389,0.7080770325881451,"{'Camera': 0.987688098495212, 'Light_T1': 0.3230769230769231, 'Light_XM': 0.6231038506417736, 'Sensor': 0.606516290726817, 'Socket': 1.0}","[[361, 0, 0, 1, 0], [3, 84, 104, 172, 0], [5, 73, 267, 20, 0], [0, 0, 121, 242, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R6_to_R2,fixed_split,"['R3', 'R6']",['R2'],3825,1816,all_features,rf,94,0.7087004405286343,0.7088587834162101,0.7087252495090506,0.7073225692084958,"{'Camera': 0.9568965517241379, 'Light_T1': 0.3668639053254438, 'Light_XM': 0.7400768245838668, 'Sensor': 0.47277556440903057, 'Socket': 1.0}","[[333, 0, 15, 14, 0], [0, 124, 110, 129, 0], [0, 7, 289, 69, 0], [1, 182, 2, 178, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R6_to_R2,fixed_split,"['R3', 'R6']",['R2'],3825,1816,all_features,xgboost,94,0.6172907488986784,0.6113394452852606,0.6173107043130368,0.613949241424362,"{'Camera': 0.9818181818181818, 'Light_T1': 0.1636615811373093, 'Light_XM': 0.7398692810457517, 'Sensor': 0.18439716312056736, 'Socket': 1.0}","[[351, 0, 3, 8, 0], [2, 59, 114, 188, 0], [0, 1, 283, 81, 0], [0, 298, 0, 65, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R6_to_R2,fixed_split,"['R3', 'R6']",['R2'],3825,1816,all_features,lightgbm,94,0.5941629955947136,0.5908494715219186,0.5941550134592799,0.5921099635811062,"{'Camera': 0.9675599435825106, 'Light_T1': 0.14285714285714285, 'Light_XM': 0.7463863337713534, 'Sensor': 0.1037463976945245, 'Socket': 1.0}","[[343, 0, 3, 16, 0], [2, 53, 109, 199, 0], [1, 0, 284, 80, 0], [1, 326, 0, 36, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
raw_all,g0_R3_R6_to_R2,fixed_split,"['R3', 'R6']",['R2'],3825,1816,all_features,stacking,94,0.751101321585903,0.7957784654379942,0.7509953445548556,0.7547231674087641,"{'Camera': 0.7008849557522124, 'Light_T1': 0.6536144578313253, 'Light_XM': 0.5938864628820961, 'Sensor': 0.8252299605781866, 'Socket': 1.0}","[[198, 5, 143, 16, 0], [1, 217, 100, 45, 0], [0, 70, 272, 23, 0], [4, 9, 36, 314, 0], [0, 0, 0, 0, 363]]",2,R2,ood,fixed
