task,n_sources,n_classes,cluster_size,cluster,severity_src_oof_rf_H,target_H_best_base,target_H_stacking,gap_H,n_consensus_correct_H,n_override_H,override_rate_H,n_consensus_correct_E,n_override_E,override_rate_E
g0_R3_R4_R7_to_R5,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.660591,0.546071,0.619239,0.073168,762,64,0.08399,363,0,0.0
g0_R3_R4_R7_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.660591,0.758363,0.648088,-0.110275,995,177,0.177889,395,0,0.0
g0_R3_R4_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.243334,0.700847,0.400559,-0.300289,640,406,0.634375,663,0,0.0
g0_R3_R4_to_R5,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.415042,0.545899,0.491352,-0.054548,762,391,0.513123,363,0,0.0
g0_R3_R4_to_R6,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.415042,0.627812,0.410047,-0.217765,782,471,0.602302,395,0,0.0
g0_R3_R4_to_R7,2,5,3,Light_T1|Light_XM|Sensor,0.243334,0.65084,0.281757,-0.369083,588,564,0.959184,762,0,0.0
g0_R3_R5_R6_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.479702,0.616808,0.693512,0.076704,431,25,0.058005,716,0,0.0
g0_R3_R5_R6_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.479702,0.638146,0.666546,0.028399,370,132,0.356757,737,0,0.0
g0_R3_R5_R6_to_R7,3,5,3,Light_T1|Light_XM|Sensor,0.479702,0.773495,0.556718,-0.216777,810,248,0.306173,779,0,0.0
g0_R3_R5_R7_to_R2,3,5,3,Light_T1|Light_XM|Sensor,0.488208,0.643909,0.688246,0.044337,470,45,0.095745,704,0,0.0
g0_R3_R5_R7_to_R4,3,5,3,Light_T1|Light_XM|Sensor,0.488208,0.671921,0.700049,0.028128,442,110,0.248869,735,0,0.0
g0_R3_R5_R7_to_R6,3,5,4,Camera|Light_T1|Light_XM|Sensor,0.51918,0.764218,0.625315,-0.138903,1031,197,0.191077,395,0,0.0
g0_R3_R5_to_R2,2,5,3,Light_T1|Light_XM|Sensor,0.35892,0.379748,0.517566,0.137817,302,39,0.129139,696,0,0.0
g0_R3_R5_to_R4,2,5,4,Camera|Light_T1|Light_XM|Sensor,0.36526,0.400182,0.583956,0.183774,504,157,0.311508,368,0,0.0
