fs,task,model,device,n_win,p,mode_pred,mode_share,plur_ok,vote30,shuf30,n_blocks
full94,g0_R4_to_R2,rf,Light_T1,363,0.9641873278236914,Light_T1,0.9641873278236914,1,1.0,1.0,12
full94,g0_R4_to_R2,rf,Light_XM,365,0.3452054794520548,Light_T1,0.6438356164383562,0,0.0,0.04583333333333333,12
full94,g0_R4_to_R2,rf,Sensor,363,0.8071625344352618,Sensor,0.8071625344352618,1,1.0,1.0,12
full94,g0_R4_to_R2,rf,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R4_to_R2,stacking,Camera,362,0.2541436464088398,Light_T1,0.6795580110497238,0,0.0,0.0125,12
full94,g0_R4_to_R2,stacking,Light_T1,363,0.9559228650137741,Light_T1,0.9559228650137741,1,1.0,1.0,12
full94,g0_R4_to_R2,stacking,Light_XM,365,0.29041095890410956,Light_T1,0.7068493150684931,0,0.0,0.004166666666666667,12
full94,g0_R4_to_R2,stacking,Sensor,363,0.8099173553719008,Sensor,0.8099173553719008,1,1.0,1.0,12
full94,g0_R4_to_R2,stacking,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
full94,g0_R4_to_R3,rf,Camera,365,0.9506849315068493,Camera,0.9506849315068493,1,1.0,1.0,12
full94,g0_R4_to_R3,rf,Light_T1,363,0.10743801652892562,Light_XM,0.8044077134986226,0,0.0,0.0,12
full94,g0_R4_to_R3,rf,Light_XM,369,0.07317073170731707,Light_T1,0.9105691056910569,0,0.0,0.0,12
full94,g0_R4_to_R3,rf,Sensor,364,0.47802197802197804,Light_T1,0.5027472527472527,0,0.4166666666666667,0.4416666666666667,12
full94,g0_R4_to_R3,rf,Socket,376,1.0,Socket,1.0,1,1.0,1.0,13
full94,g0_R4_to_R3,stacking,Camera,365,0.7698630136986301,Camera,0.7698630136986301,1,1.0,1.0,12
full94,g0_R4_to_R3,stacking,Light_T1,363,0.046831955922865015,Light_XM,0.8787878787878788,0,0.0,0.0,12
full94,g0_R4_to_R3,stacking,Light_XM,369,0.07588075880758807,Light_T1,0.9186991869918699,0,0.0,0.0,12
full94,g0_R4_to_R3,stacking,Sensor,364,0.33516483516483514,Light_T1,0.6620879120879121,0,0.08333333333333333,0.029166666666666664,12
full94,g0_R4_to_R3,stacking,Socket,376,1.0,Socket,1.0,1,1.0,1.0,13
strict59,g0_R2_R3_to_R4,rf,Camera,390,0.46923076923076923,Camera,0.46923076923076923,1,0.6153846153846154,0.6269230769230768,13
strict59,g0_R2_R3_to_R4,rf,Light_T1,365,0.7397260273972602,Light_T1,0.7397260273972602,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,rf,Light_XM,368,0.7391304347826086,Light_XM,0.7391304347826086,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,rf,Sensor,362,0.7817679558011049,Sensor,0.7817679558011049,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,rf,Socket,368,0.9918478260869565,Socket,0.9918478260869565,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,stacking,Camera,390,0.7692307692307693,Camera,0.7692307692307693,1,0.9230769230769231,1.0,13
strict59,g0_R2_R3_to_R4,stacking,Light_T1,365,0.726027397260274,Light_T1,0.726027397260274,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,stacking,Light_XM,368,0.7961956521739131,Light_XM,0.7961956521739131,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,stacking,Sensor,362,0.7209944751381215,Sensor,0.7209944751381215,1,1.0,1.0,12
strict59,g0_R2_R3_to_R4,stacking,Socket,368,0.9891304347826086,Socket,0.9891304347826086,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,rf,Camera,365,0.6273972602739726,Camera,0.6273972602739726,1,1.0,0.9916666666666666,12
strict59,g0_R2_R4_to_R3,rf,Light_T1,363,0.7603305785123967,Light_T1,0.7603305785123967,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,rf,Light_XM,369,0.8184281842818428,Light_XM,0.8184281842818428,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,rf,Sensor,364,0.8516483516483516,Sensor,0.8516483516483516,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,rf,Socket,376,0.9627659574468085,Socket,0.9627659574468085,1,1.0,1.0,13
strict59,g0_R2_R4_to_R3,stacking,Camera,365,0.7342465753424657,Camera,0.7342465753424657,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,stacking,Light_T1,363,0.7575757575757576,Light_T1,0.7575757575757576,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,stacking,Light_XM,369,0.8617886178861789,Light_XM,0.8617886178861789,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,stacking,Sensor,364,0.8598901098901099,Sensor,0.8598901098901099,1,1.0,1.0,12
strict59,g0_R2_R4_to_R3,stacking,Socket,376,0.9441489361702128,Socket,0.9441489361702128,1,1.0,1.0,13
strict59,g0_R3_R4_to_R2,rf,Camera,362,0.46408839779005523,Camera,0.46408839779005523,1,1.0,0.9166666666666667,12
strict59,g0_R3_R4_to_R2,rf,Light_T1,363,0.7658402203856749,Light_T1,0.7658402203856749,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,rf,Light_XM,365,0.8958904109589041,Light_XM,0.8958904109589041,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,rf,Sensor,363,0.8484848484848485,Sensor,0.8484848484848485,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,rf,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,stacking,Camera,362,0.7596685082872928,Camera,0.7596685082872928,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,stacking,Light_T1,363,0.7134986225895317,Light_T1,0.7134986225895317,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,stacking,Light_XM,365,0.9123287671232877,Light_XM,0.9123287671232877,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,stacking,Sensor,363,0.8429752066115702,Sensor,0.8429752066115702,1,1.0,1.0,12
strict59,g0_R3_R4_to_R2,stacking,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
strict59,g0_R2_to_R3,rf,Camera,365,0.4986301369863014,Camera,0.4986301369863014,1,1.0,0.9666666666666666,12
strict59,g0_R2_to_R3,rf,Light_T1,363,0.8071625344352618,Light_T1,0.8071625344352618,1,1.0,1.0,12
strict59,g0_R2_to_R3,rf,Light_XM,369,0.6964769647696477,Light_XM,0.6964769647696477,1,1.0,1.0,12
strict59,g0_R2_to_R3,rf,Sensor,364,0.8516483516483516,Sensor,0.8516483516483516,1,1.0,1.0,12
strict59,g0_R2_to_R3,rf,Socket,376,0.9361702127659575,Socket,0.9361702127659575,1,1.0,1.0,13
strict59,g0_R2_to_R3,stacking,Camera,365,0.31232876712328766,Light_T1,0.4821917808219178,0,0.25,0.16249999999999998,12
strict59,g0_R2_to_R3,stacking,Light_T1,363,0.8319559228650137,Light_T1,0.8319559228650137,1,1.0,1.0,12
strict59,g0_R2_to_R3,stacking,Light_XM,369,0.7371273712737128,Light_XM,0.7371273712737128,1,1.0,1.0,12
strict59,g0_R2_to_R3,stacking,Sensor,364,0.8489010989010989,Sensor,0.8489010989010989,1,1.0,1.0,12
strict59,g0_R2_to_R3,stacking,Socket,376,0.901595744680851,Socket,0.901595744680851,1,1.0,1.0,13
strict59,g0_R2_to_R4,rf,Camera,390,0.358974358974359,Light_T1,0.37435897435897436,0,0.46153846153846156,0.44230769230769235,13
strict59,g0_R2_to_R4,rf,Light_T1,365,0.726027397260274,Light_T1,0.726027397260274,1,1.0,1.0,12
strict59,g0_R2_to_R4,rf,Light_XM,368,0.7092391304347826,Light_XM,0.7092391304347826,1,1.0,1.0,12
strict59,g0_R2_to_R4,rf,Sensor,362,0.7569060773480663,Sensor,0.7569060773480663,1,1.0,1.0,12
strict59,g0_R2_to_R4,rf,Socket,368,0.9864130434782609,Socket,0.9864130434782609,1,1.0,1.0,12
strict59,g0_R2_to_R4,stacking,Camera,390,0.44358974358974357,Camera,0.44358974358974357,1,0.6153846153846154,0.6153846153846153,13
strict59,g0_R2_to_R4,stacking,Light_T1,365,0.8191780821917808,Light_T1,0.8191780821917808,1,1.0,1.0,12
strict59,g0_R2_to_R4,stacking,Light_XM,368,0.7663043478260869,Light_XM,0.7663043478260869,1,1.0,1.0,12
strict59,g0_R2_to_R4,stacking,Sensor,362,0.7209944751381215,Sensor,0.7209944751381215,1,1.0,1.0,12
strict59,g0_R2_to_R4,stacking,Socket,368,0.970108695652174,Socket,0.970108695652174,1,1.0,1.0,12
strict59,g0_R3_to_R2,rf,Camera,362,0.35359116022099446,Camera,0.35359116022099446,1,0.5833333333333334,0.6791666666666667,12
strict59,g0_R3_to_R2,rf,Light_T1,363,0.7768595041322314,Light_T1,0.7768595041322314,1,1.0,1.0,12
strict59,g0_R3_to_R2,rf,Light_XM,365,0.8191780821917808,Light_XM,0.8191780821917808,1,1.0,1.0,12
strict59,g0_R3_to_R2,rf,Sensor,363,0.8292011019283747,Sensor,0.8292011019283747,1,1.0,1.0,12
strict59,g0_R3_to_R2,rf,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
strict59,g0_R3_to_R2,stacking,Camera,362,0.5414364640883977,Camera,0.5414364640883977,1,1.0,0.9958333333333332,12
strict59,g0_R3_to_R2,stacking,Light_T1,363,0.8016528925619835,Light_T1,0.8016528925619835,1,1.0,1.0,12
strict59,g0_R3_to_R2,stacking,Light_XM,365,0.863013698630137,Light_XM,0.863013698630137,1,1.0,1.0,12
strict59,g0_R3_to_R2,stacking,Sensor,363,0.8705234159779615,Sensor,0.8705234159779615,1,1.0,1.0,12
strict59,g0_R3_to_R2,stacking,Socket,363,0.9972451790633609,Socket,0.9972451790633609,1,1.0,1.0,12
strict59,g0_R3_to_R4,rf,Camera,390,0.22564102564102564,Light_T1,0.6666666666666666,0,0.0,0.0,13
strict59,g0_R3_to_R4,rf,Light_T1,365,0.7041095890410959,Light_T1,0.7041095890410959,1,1.0,1.0,12
strict59,g0_R3_to_R4,rf,Light_XM,368,0.6766304347826086,Light_XM,0.6766304347826086,1,1.0,1.0,12
strict59,g0_R3_to_R4,rf,Sensor,362,0.7679558011049724,Sensor,0.7679558011049724,1,1.0,1.0,12
strict59,g0_R3_to_R4,rf,Socket,368,0.9918478260869565,Socket,0.9918478260869565,1,1.0,1.0,12
strict59,g0_R3_to_R4,stacking,Camera,390,0.31794871794871793,Light_T1,0.5564102564102564,0,0.07692307692307693,0.05769230769230769,13
strict59,g0_R3_to_R4,stacking,Light_T1,365,0.7452054794520548,Light_T1,0.7452054794520548,1,1.0,1.0,12
strict59,g0_R3_to_R4,stacking,Light_XM,368,0.720108695652174,Light_XM,0.720108695652174,1,1.0,1.0,12
strict59,g0_R3_to_R4,stacking,Sensor,362,0.7651933701657458,Sensor,0.7651933701657458,1,1.0,1.0,12
strict59,g0_R3_to_R4,stacking,Socket,368,0.9809782608695652,Socket,0.9809782608695652,1,1.0,1.0,12
strict59,g0_R4_to_R2,rf,Camera,362,0.5027624309392266,Camera,0.5027624309392266,1,0.9166666666666666,0.9625000000000001,12
strict59,g0_R4_to_R2,rf,Light_T1,363,0.7134986225895317,Light_T1,0.7134986225895317,1,1.0,1.0,12
strict59,g0_R4_to_R2,rf,Light_XM,365,0.873972602739726,Light_XM,0.873972602739726,1,1.0,1.0,12
strict59,g0_R4_to_R2,rf,Sensor,363,0.8429752066115702,Sensor,0.8429752066115702,1,1.0,1.0,12
strict59,g0_R4_to_R2,rf,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
strict59,g0_R4_to_R2,stacking,Camera,362,0.5662983425414365,Camera,0.5662983425414365,1,0.9166666666666666,0.9916666666666666,12
strict59,g0_R4_to_R2,stacking,Light_T1,363,0.7245179063360881,Light_T1,0.7245179063360881,1,1.0,1.0,12
strict59,g0_R4_to_R2,stacking,Light_XM,365,0.9342465753424658,Light_XM,0.9342465753424658,1,1.0,1.0,12
strict59,g0_R4_to_R2,stacking,Sensor,363,0.8622589531680441,Sensor,0.8622589531680441,1,1.0,1.0,12
strict59,g0_R4_to_R2,stacking,Socket,363,1.0,Socket,1.0,1,1.0,1.0,12
strict59,g0_R4_to_R3,rf,Camera,365,0.3561643835616438,Sensor,0.37534246575342467,0,0.5833333333333334,0.4625,12
strict59,g0_R4_to_R3,rf,Light_T1,363,0.6859504132231405,Light_T1,0.6859504132231405,1,1.0,1.0,12
strict59,g0_R4_to_R3,rf,Light_XM,369,0.8130081300813008,Light_XM,0.8130081300813008,1,1.0,1.0,12
strict59,g0_R4_to_R3,rf,Sensor,364,0.804945054945055,Sensor,0.804945054945055,1,1.0,1.0,12
strict59,g0_R4_to_R3,rf,Socket,376,0.9840425531914894,Socket,0.9840425531914894,1,1.0,1.0,13
strict59,g0_R4_to_R3,stacking,Camera,365,0.3917808219178082,Camera,0.3917808219178082,1,0.5833333333333334,0.6041666666666666,12
strict59,g0_R4_to_R3,stacking,Light_T1,363,0.7272727272727273,Light_T1,0.7272727272727273,1,1.0,1.0,12
strict59,g0_R4_to_R3,stacking,Light_XM,369,0.8997289972899729,Light_XM,0.8997289972899729,1,1.0,1.0,12
strict59,g0_R4_to_R3,stacking,Sensor,364,0.8461538461538461,Sensor,0.8461538461538461,1,1.0,1.0,12
strict59,g0_R4_to_R3,stacking,Socket,376,0.9627659574468085,Socket,0.9627659574468085,1,1.0,1.0,13
