task,model,temperature,w_inv_temperature,nll_uncalibrated,nll_calibrated,n_oof,optimizer_converged,bound_hit
g0_R2_to_R4,lightgbm,2.3611912637756247,0.4235150346952268,0.19425526421746042,0.11554139846273326,1816,True,False
g0_R2_to_R5,rf,0.4385950802712152,2.2800073347417107,0.17695109438987894,0.11074426260024814,1816,True,False
g0_R2_to_R5,xgboost,1.2316338247703624,0.8119296335389697,0.11973680438296358,0.11424462661420688,1816,True,False
g0_R2_to_R5,lightgbm,2.3611912637756247,0.4235150346952268,0.19425526421746042,0.11554139846273326,1816,True,False
g0_R2_to_R6,rf,0.4385950802712152,2.2800073347417107,0.17695109438987894,0.11074426260024814,1816,True,False
g0_R2_to_R6,xgboost,1.2316338247703624,0.8119296335389697,0.11973680438296358,0.11424462661420688,1816,True,False
g0_R2_to_R6,lightgbm,2.3611912637756247,0.4235150346952268,0.19425526421746042,0.11554139846273326,1816,True,False
g0_R2_to_R7,rf,0.4385950802712152,2.2800073347417107,0.17695109438987894,0.11074426260024814,1816,True,False
g0_R2_to_R7,xgboost,1.2316338247703624,0.8119296335389697,0.11973680438296358,0.11424462661420688,1816,True,False
g0_R2_to_R7,lightgbm,2.3611912637756247,0.4235150346952268,0.19425526421746042,0.11554139846273326,1816,True,False
g0_R3_R4_R5_to_R2,rf,1.2240471866444187,0.8169619692042938,0.8826183793827921,0.8704430505974976,5506,True,False
g0_R3_R4_R5_to_R2,xgboost,3.2149540093135074,0.3110464401988541,1.8895146003592287,1.0437951784443837,5506,True,False
g0_R3_R4_R5_to_R2,lightgbm,6.249722437303088,0.1600071059206151,3.5527361078042228,1.0599378811282785,5506,True,False
g0_R3_R4_R5_to_R6,rf,1.2240471866444187,0.8169619692042938,0.8826183793827921,0.8704430505974976,5506,True,False
g0_R3_R4_R5_to_R6,xgboost,3.2149540093135074,0.3110464401988541,1.8895146003592287,1.0437951784443837,5506,True,False
g0_R3_R4_R5_to_R6,lightgbm,6.249722437303088,0.1600071059206151,3.5527361078042228,1.0599378811282785,5506,True,False
g0_R3_R4_R5_to_R7,rf,1.2240471866444187,0.8169619692042938,0.8826183793827921,0.8704430505974976,5506,True,False
g0_R3_R4_R5_to_R7,xgboost,3.2149540093135074,0.3110464401988541,1.8895146003592287,1.0437951784443837,5506,True,False
g0_R3_R4_R5_to_R7,lightgbm,6.249722437303088,0.1600071059206151,3.5527361078042228,1.0599378811282785,5506,True,False
g0_R3_R4_R6_to_R2,rf,0.8813706093777611,1.1345964902392083,0.7603816041642679,0.756404044208144,5678,True,False
g0_R3_R4_R6_to_R2,xgboost,2.695671599641279,0.3709650686430324,1.4067582946652364,0.8883380019575644,5678,True,False
g0_R3_R4_R6_to_R2,lightgbm,5.460257845183541,0.183141534402463,2.7538658799798137,0.923726129060923,5678,True,False
g0_R3_R4_R6_to_R5,rf,0.8813706093777611,1.1345964902392083,0.7603816041642679,0.756404044208144,5678,True,False
g0_R3_R4_R6_to_R5,xgboost,2.695671599641279,0.3709650686430324,1.4067582946652364,0.8883380019575644,5678,True,False
g0_R3_R4_R6_to_R5,lightgbm,5.46025789644446,0.18314153268312966,2.7538657450345343,0.9237260977875847,5678,True,False
g0_R3_R4_R6_to_R7,rf,0.8813706093777611,1.1345964902392083,0.7603816041642679,0.756404044208144,5678,True,False
g0_R3_R4_R6_to_R7,xgboost,2.695671599641279,0.3709650686430324,1.4067582946652364,0.8883380019575644,5678,True,False
g0_R3_R4_R6_to_R7,lightgbm,5.460257845345807,0.18314153439702047,2.7538658799798137,0.923726129060923,5678,True,False
g0_R3_R4_R7_to_R2,rf,0.8082847665866059,1.237187735484623,0.6775288355521676,0.6662612085964278,5683,True,False
g0_R3_R4_R7_to_R2,xgboost,2.5519172879998133,0.39186223029344247,1.2799568959676324,0.8328817096656522,5683,True,False
g0_R3_R4_R7_to_R2,lightgbm,5.13518526908132,0.19473494092237478,2.5051803958713195,0.8784655115231892,5683,True,False
g0_R3_R4_R7_to_R5,rf,0.8082847665866059,1.237187735484623,0.6775288355521676,0.6662612085964278,5683,True,False
g0_R3_R4_R7_to_R5,xgboost,2.5519172879998133,0.39186223029344247,1.2799568959676324,0.8328817096656522,5683,True,False
g0_R3_R4_R7_to_R5,lightgbm,5.135185269081197,0.19473494092237942,2.5051803958713195,0.8784655115231892,5683,True,False
g0_R3_R4_R7_to_R6,rf,0.8082847665866059,1.237187735484623,0.6775288355521676,0.6662612085964278,5683,True,False
