fs,kind,task,model,N,macro_f1,hard_mean,n_blocks
strict59,OOD,g0_R3_to_R4,rf,6,0.6817698439792845,0.7928487298644641,308
strict59,OOD,g0_R3_to_R4,rf,30,0.7253333333333333,0.8755555555555555,61
strict59,OOD,g0_R3_to_R4,stacking,1,0.6994768603466769,0.6816266967951142,1853
strict59,OOD,g0_R3_to_R4,stacking,6,0.7373794597682031,0.8067435440581163,308
strict59,OOD,g0_R3_to_R4,stacking,30,0.7577142857142857,0.881904761904762,61
strict59,OOD,g0_R4_to_R2,rf,1,0.780951293551753,0.7688204909562649,1816
strict59,OOD,g0_R4_to_R2,rf,6,0.9341544537920194,0.9505748833041593,304
strict59,OOD,g0_R4_to_R2,rf,30,0.9833043478260869,0.9866666666666667,60
strict59,OOD,g0_R4_to_R2,stacking,1,0.8124979989392722,0.8008583959780493,1816
strict59,OOD,g0_R4_to_R2,stacking,6,0.9519788998337825,0.9604632754239053,304
strict59,OOD,g0_R4_to_R2,stacking,30,0.9833043478260869,0.9866666666666667,60
strict59,OOD,g0_R4_to_R3,rf,1,0.7182098176897471,0.7147598513904251,1837
strict59,OOD,g0_R4_to_R3,rf,6,0.8343475202873893,0.8733378211686373,308
strict59,OOD,g0_R4_to_R3,rf,30,0.9128856624319418,0.9425287356321839,61
strict59,OOD,g0_R4_to_R3,stacking,1,0.7550869114682927,0.7621372839463657,1837
strict59,OOD,g0_R4_to_R3,stacking,6,0.8810696890438827,0.9128939261842488,308
strict59,OOD,g0_R4_to_R3,stacking,30,0.9128856624319418,0.9425287356321839,61
strict59,IID,g0_iid_R2_time_block,rf,1,0.8822989525846523,0.8306173019268016,546
strict59,IID,g0_iid_R2_time_block,rf,6,1.0,1.0,90
strict59,IID,g0_iid_R2_time_block,rf,30,1.0,1.0,20
strict59,IID,g0_iid_R2_time_block,stacking,1,0.8976484330591108,0.8400685452050629,546
strict59,IID,g0_iid_R2_time_block,stacking,6,0.9888803088803089,0.9814671814671815,90
strict59,IID,g0_iid_R2_time_block,stacking,30,1.0,1.0,20
strict59,IID,g0_iid_R3_time_block,rf,1,0.8632141035538018,0.7949104119316885,552
strict59,IID,g0_iid_R3_time_block,rf,6,0.9577691977691979,0.9386243386243386,92
strict59,IID,g0_iid_R3_time_block,rf,30,1.0,1.0,20
strict59,IID,g0_iid_R3_time_block,stacking,1,0.8993833231677865,0.8550812408407346,552
strict59,IID,g0_iid_R3_time_block,stacking,6,0.9680988680988681,0.9558404558404558,92
strict59,IID,g0_iid_R3_time_block,stacking,30,1.0,1.0,20
strict59,IID,g0_iid_R4_time_block,rf,1,0.8070213249883503,0.7718092395225219,556
strict59,IID,g0_iid_R4_time_block,rf,6,0.894504697899699,0.9038737446197991,92
strict59,IID,g0_iid_R4_time_block,rf,30,0.9492063492063492,0.9629629629629629,20
strict59,IID,g0_iid_R4_time_block,stacking,1,0.8346174074993031,0.7983817930079612,556
strict59,IID,g0_iid_R4_time_block,stacking,6,0.9260072123773702,0.9397417503586801,92
strict59,IID,g0_iid_R4_time_block,stacking,30,0.9492063492063492,0.9629629629629629,20
