task,task_type,grid_kind,split_mode,n_sources,target_env,train_rounds,test_rounds,n_train,n_test,n_oof,method,method_kind,selected_base_model,macro_f1_5class,macro_f1_4class,worst_class_f1,worst_class_f1_4class,accuracy,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,gain_vs_best_base
g0_R3_R6_R7_to_R2,fixed_split,ood,fixed,3,R2,"['R3', 'R6', 'R7']",['R2'],5818,1816,5818,soft_voting_equal,voting,,0.6371454500266596,0.5464318125333245,0.0998439937597504,0.0998439937597504,0.6519823788546255,0.9861111111111112,0.0998439937597504,0.7773677736777368,0.3224043715846995,1.0,-0.1252892249591845
g0_R3_R6_R7_to_R2,fixed_split,ood,fixed,3,R2,"['R3', 'R6', 'R7']",['R2'],5818,1816,5818,soft_voting_calibrated,voting,,0.6990119173049645,0.6237648966312056,0.26791277258566976,0.26791277258566976,0.7087004405286343,0.9888888888888889,0.26791277258566976,0.7804265997490589,0.4578313253012048,1.0,-0.06342275768087957
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,rf,base_model,,0.7975914148308562,0.7469892685385702,0.6148409893992933,0.6148409893992933,0.7987048030221263,0.9844961240310077,0.6378600823045267,0.6148409893992933,0.7507598784194529,1.0,0.0
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,xgboost,base_model,,0.659215319913785,0.5740191498922312,0.24686192468619247,0.24686192468619247,0.6729627630868862,0.9805950840879689,0.45083487940630795,0.24686192468619247,0.6177847113884556,1.0,-0.13837609491707115
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,lightgbm,base_model,,0.5561992475307691,0.4452490594134614,0.11158798283261803,0.11158798283261803,0.5774419859686994,0.978343949044586,0.328719723183391,0.11158798283261803,0.3623445825932504,1.0,-0.24139216730008706
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,stacking,stacking,,0.7167312322539521,0.6459140403174402,0.4187866927592955,0.4187866927592955,0.7231516459794927,0.9794344473007712,0.5137254901960784,0.4187866927592955,0.6717095310136157,1.0,-0.08086018257690408
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,best_base_posthoc,reference,rf,0.7975914148308562,0.7469892685385702,0.6148409893992933,0.6148409893992933,0.7987048030221263,0.9844961240310077,0.6378600823045267,0.6148409893992933,0.7507598784194529,1.0,0.0
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,hard_voting,voting,,0.6533095926672542,0.5666369908340677,0.24789915966386555,0.24789915966386555,0.6670264436049649,0.9844961240310077,0.44667274384685507,0.24789915966386555,0.5874799357945425,1.0,-0.14428182216360197
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,soft_voting_equal,voting,,0.6200264230158709,0.5250330287698386,0.16666666666666666,0.16666666666666666,0.6400431732325957,0.9858429858429858,0.4193832599118943,0.16666666666666666,0.5282392026578073,1.0,-0.1775649918149853
g0_R3_R6_R7_to_R4,fixed_split,ood,fixed,3,R4,"['R3', 'R6', 'R7']",['R4'],5818,1853,5818,soft_voting_calibrated,voting,,0.6833398804695261,0.6041748505869077,0.3067226890756303,0.3067226890756303,0.6961683756071236,0.9845360824742269,0.48794063079777367,0.3067226890756303,0.6375,1.0,-0.11425153436133006
