config,unit,model,macro_f1,n_cols,n_train,n_test
subtype,g0_R3_R4_to_R2,xgboost,0.7766777339724898,78,-1,-1
subtype,g0_R3_R4_to_R2,lightgbm,0.7931876673036091,78,-1,-1
subtype,g0_R3_R4_to_R2,stacking,0.6354581540891948,78,-1,-1
subwin,JOINT,rf,0.9037384472535207,85,4404,1102
subwin,JOINT,xgboost,0.9093120993465268,85,4404,1102
subwin,JOINT,lightgbm,0.9076525408304414,85,4404,1102
subwin,JOINT,stacking,0.8809842101073333,85,4404,1102
subwin,g0_R2_R3_to_R4,rf,0.6635276651136033,85,-1,-1
subwin,g0_R2_R3_to_R4,xgboost,0.6623153854816317,85,-1,-1
subwin,g0_R2_R3_to_R4,lightgbm,0.6639377895739159,85,-1,-1
subwin,g0_R2_R3_to_R4,stacking,0.4449345576845481,85,-1,-1
subwin,g0_R2_R4_to_R3,rf,0.5896429161676664,85,-1,-1
subwin,g0_R2_R4_to_R3,xgboost,0.5315578506647199,85,-1,-1
subwin,g0_R2_R4_to_R3,lightgbm,0.5571564432350347,85,-1,-1
subwin,g0_R2_R4_to_R3,stacking,0.46326065581388426,85,-1,-1
subwin,g0_R3_R4_to_R2,rf,0.824519273754144,85,-1,-1
subwin,g0_R3_R4_to_R2,xgboost,0.778333098759091,85,-1,-1
subwin,g0_R3_R4_to_R2,lightgbm,0.7917479586903309,85,-1,-1
subwin,g0_R3_R4_to_R2,stacking,0.637531935367633,85,-1,-1
unique,JOINT,rf,0.8935909454725536,92,4404,1102
unique,JOINT,xgboost,0.9090900201775552,92,4404,1102
unique,JOINT,lightgbm,0.9065823145893693,92,4404,1102
unique,JOINT,stacking,0.8766053679668031,92,4404,1102
unique,g0_R2_R3_to_R4,rf,0.6552555769813763,92,-1,-1
unique,g0_R2_R3_to_R4,xgboost,0.6626912294566228,92,-1,-1
unique,g0_R2_R3_to_R4,lightgbm,0.6588876844296885,92,-1,-1
unique,g0_R2_R3_to_R4,stacking,0.445994430966708,92,-1,-1
unique,g0_R2_R4_to_R3,rf,0.6056738987334658,92,-1,-1
unique,g0_R2_R4_to_R3,xgboost,0.5316291757947322,92,-1,-1
unique,g0_R2_R4_to_R3,lightgbm,0.5584016569457028,92,-1,-1
unique,g0_R2_R4_to_R3,stacking,0.47539034412102854,92,-1,-1
unique,g0_R3_R4_to_R2,rf,0.8235922034694003,92,-1,-1
unique,g0_R3_R4_to_R2,xgboost,0.7751169531643305,92,-1,-1
unique,g0_R3_R4_to_R2,lightgbm,0.7876995268014099,92,-1,-1
unique,g0_R3_R4_to_R2,stacking,0.6370041067082858,92,-1,-1
up,JOINT,rf,0.8925268686644012,87,4404,1102
up,JOINT,xgboost,0.9038350365468852,87,4404,1102
