task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm
loro_R3_R4_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.7919648044241505,rf,0.8097991283932819,-0.017834323969131427,0.8097991283932819,0.7752091537055984,0.7934265218076193
loro_R3_R4_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6370202122940894,rf,0.8097991283932819,-0.1727789160991925,0.8097991283932819,0.7752091537055984,0.7934265218076193
loro_R3_R4_to_R2,43,A,random,5,5,2,,2,round_group,0.7930271786475304,rf,0.81546326007283,-0.022436081425299625,0.81546326007283,0.7761869688759645,0.7934265218076193
loro_R3_R4_to_R2,43,A_prime,random,2,2,2,True,2,round_group,0.7945089805434759,rf,0.81546326007283,-0.020954279529354136,0.81546326007283,0.7761869688759645,0.7934265218076193
loro_R3_R4_to_R2,43,B,grouped,5,2,2,,2,round_group,0.6388257029257094,rf,0.81546326007283,-0.1766375571471206,0.81546326007283,0.7761869688759645,0.7934265218076193
loro_R3_R4_to_R2,44,A,random,5,5,2,,2,round_group,0.7958639132319172,rf,0.8232867427713974,-0.027422829539480165,0.8232867427713974,0.7793019568021312,0.7934265218076193
loro_R3_R4_to_R2,44,A_prime,random,2,2,2,True,2,round_group,0.7919504088144987,rf,0.8232867427713974,-0.03133633395689861,0.8232867427713974,0.7793019568021312,0.7934265218076193
loro_R3_R4_to_R2,44,B,grouped,5,2,2,,2,round_group,0.6422554550292006,rf,0.8232867427713974,-0.1810312877421968,0.8232867427713974,0.7793019568021312,0.7934265218076193
loro_R3_R4_to_R2,45,A,random,5,5,2,,2,round_group,0.7997188086836772,rf,0.8224666538968947,-0.022747845213217488,0.8224666538968947,0.776669932866919,0.7934265218076193
loro_R3_R4_to_R2,45,A_prime,random,2,2,2,True,2,round_group,0.7934151231037154,rf,0.8224666538968947,-0.029051530793179237,0.8224666538968947,0.776669932866919,0.7934265218076193
loro_R3_R4_to_R2,45,B,grouped,5,2,2,,2,round_group,0.6364883345793698,rf,0.8224666538968947,-0.18597831931752484,0.8224666538968947,0.776669932866919,0.7934265218076193
loro_R3_R4_to_R2,46,A,random,5,5,2,,2,round_group,0.7962691085741972,rf,0.8251053213099541,-0.028836212735756872,0.8251053213099541,0.779396077276564,0.7934265218076193
loro_R3_R4_to_R2,46,A_prime,random,2,2,2,True,2,round_group,0.7993172092351678,rf,0.8251053213099541,-0.025788112074786262,0.8251053213099541,0.779396077276564,0.7934265218076193
loro_R3_R4_to_R2,46,B,grouped,5,2,2,,2,round_group,0.6379688009274638,rf,0.8251053213099541,-0.1871365203824903,0.8251053213099541,0.779396077276564,0.7934265218076193
position_R2_R3_R4_to_R5,42,A,random,5,5,3,,3,round_group,0.6678293830376971,rf,0.7012224296594887,-0.033393046621791544,0.7012224296594887,0.6603072409777727,0.6583908067353137
position_R2_R3_R4_to_R5,42,A_prime,random,3,3,3,True,3,round_group,0.6682093967240734,rf,0.7012224296594887,-0.03301303293541524,0.7012224296594887,0.6603072409777727,0.6583908067353137
position_R2_R3_R4_to_R5,42,B,grouped,5,3,3,,3,round_group,0.7180085899308039,rf,0.7012224296594887,0.016786160271315187,0.7012224296594887,0.6603072409777727,0.6583908067353137
position_R2_R3_R4_to_R5,43,A,random,5,5,3,,3,round_group,0.6686307406015836,rf,0.696014444295626,-0.027383703694042416,0.696014444295626,0.6569126106209839,0.6583908067353137
position_R2_R3_R4_to_R5,43,A_prime,random,3,3,3,True,3,round_group,0.667047275347341,rf,0.696014444295626,-0.028967168948284994,0.696014444295626,0.6569126106209839,0.6583908067353137
position_R2_R3_R4_to_R5,43,B,grouped,5,3,3,,3,round_group,0.7200438963805762,rf,0.696014444295626,0.02402945208495022,0.696014444295626,0.6569126106209839,0.6583908067353137
position_R2_R3_R4_to_R5,44,A,random,5,5,3,,3,round_group,0.6704417539784624,rf,0.6914411164347813,-0.02099936245631895,0.6914411164347813,0.6531123543780806,0.6583908067353137
position_R2_R3_R4_to_R5,44,A_prime,random,3,3,3,True,3,round_group,0.6677453233793028,rf,0.6914411164347813,-0.02369579305547853,0.6914411164347813,0.6531123543780806,0.6583908067353137
position_R2_R3_R4_to_R5,44,B,grouped,5,3,3,,3,round_group,0.7241654965515156,rf,0.6914411164347813,0.032724380116734286,0.6914411164347813,0.6531123543780806,0.6583908067353137
position_R2_R3_R4_to_R5,45,A,random,5,5,3,,3,round_group,0.6744889400332521,rf,0.6935335986677011,-0.01904465863444904,0.6935335986677011,0.6590326824903515,0.6583908067353137
position_R2_R3_R4_to_R5,45,A_prime,random,3,3,3,True,3,round_group,0.6617961231386267,rf,0.6935335986677011,-0.031737475529074466,0.6935335986677011,0.6590326824903515,0.6583908067353137
position_R2_R3_R4_to_R5,45,B,grouped,5,3,3,,3,round_group,0.7240201994254007,rf,0.6935335986677011,0.0304866007576996,0.6935335986677011,0.6590326824903515,0.6583908067353137
position_R2_R3_R4_to_R5,46,A,random,5,5,3,,3,round_group,0.6719929367867236,rf,0.6977284530738025,-0.02573551628707893,0.6977284530738025,0.660445173525362,0.6583908067353137
position_R2_R3_R4_to_R5,46,A_prime,random,3,3,3,True,3,round_group,0.6685739499465664,rf,0.6977284530738025,-0.02915450312723611,0.6977284530738025,0.660445173525362,0.6583908067353137
position_R2_R3_R4_to_R5,46,B,grouped,5,3,3,,3,round_group,0.7154562934178051,rf,0.6977284530738025,0.017727840344002654,0.6977284530738025,0.660445173525362,0.6583908067353137
jitter_R2_R3_R4_to_R6,42,A,random,5,5,3,,3,round_group,0.7730661144614588,xgboost,0.7783647964241942,-0.005298681962735419,0.7488747806643499,0.7783647964241942,0.7640759809256255
