task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
loro_R3_R4_to_R2,45,-0.022747845213217488,-0.029051530793179237,-0.18597831931752484,-0.006303685579961749,-0.1569267885243456,-0.16323047410430735
loro_R3_R4_to_R2,46,-0.028836212735756872,-0.025788112074786262,-0.1871365203824903,0.0030481006609706096,-0.16134840830770403,-0.15830030764673342
position_R2_R3_R4_to_R5,42,-0.033393046621791544,-0.03301303293541524,0.016786160271315187,0.0003800136863763015,0.04979919320673043,0.05017920689310673
position_R2_R3_R4_to_R5,43,-0.027383703694042416,-0.028967168948284994,0.02402945208495022,-0.0015834652542425776,0.052996621033235214,0.051413155778992636
position_R2_R3_R4_to_R5,44,-0.02099936245631895,-0.02369579305547853,0.032724380116734286,-0.0026964305991595827,0.05642017317221282,0.053723742573053235
position_R2_R3_R4_to_R5,45,-0.01904465863444904,-0.031737475529074466,0.0304866007576996,-0.012692816894625425,0.062224076286774066,0.04953125939214864
position_R2_R3_R4_to_R5,46,-0.02573551628707893,-0.02915450312723611,0.017727840344002654,-0.003418986840157179,0.04688234347123876,0.043463356631081584
single_round_R2,42,-0.00167118753651041,-0.00167118753651041,5.1034666759597336e-05,0.0,0.0017222222032700074,0.0017222222032700074
single_round_R2,43,-0.0017741463069240737,-0.0017741463069240737,-0.0017741463069240737,0.0,0.0,0.0
single_round_R2,44,-1.4254700185567515e-05,-1.4254700185567515e-05,-1.4254700185567515e-05,0.0,0.0,0.0
single_round_R2,45,-0.0018296836845955733,-0.0018296836845955733,-0.001802565024077496,0.0,2.711866051807732e-05,2.711866051807732e-05
single_round_R2,46,-0.0018627923736842522,-0.0018627923736842522,-0.003721460632129303,0.0,-0.001858668258445051,-0.001858668258445051
single_round_R3,42,-0.001814570778250535,-0.001814570778250535,-6.34920634920988e-05,0.0,0.0017510787147584361,0.0017510787147584361
single_round_R3,43,0.001792076085354255,0.001792076085354255,0.001792076085354255,0.0,0.0,0.0
single_round_R3,44,-0.003632293073819959,-0.003632293073819959,-0.003632293073819959,0.0,0.0,0.0
single_round_R3,45,-0.0037044863657117455,-0.0037044863657117455,-0.0055214565896244405,0.0,-0.001816970223912695,-0.001816970223912695
single_round_R3,46,5.541985344181821e-05,5.541985344181821e-05,5.541985344181821e-05,0.0,0.0,0.0
single_round_R4,42,-0.001935762481387493,-0.001935762481387493,-0.001999141201221022,0.0,-6.337871983352894e-05,-6.337871983352894e-05
single_round_R4,43,-0.0018013489170960462,-0.0018013489170960462,0.0018019906496942184,0.0,0.0036033395667902646,0.0036033395667902646
single_round_R4,44,-0.012620703466896477,-0.012620703466896477,-0.01447757914046166,0.0,-0.0018568756735651837,-0.0018568756735651837
single_round_R4,45,-2.129475967482808e-05,-2.129475967482808e-05,-0.0037777089117061458,0.0,-0.0037564141520313177,-0.0037564141520313177
single_round_R4,46,4.5266124182319345e-05,4.5266124182319345e-05,1.6841959663116413e-05,0.0,-2.8424164519202932e-05,-2.8424164519202932e-05
