class,task1,task2,cosine_similarity,l1_distance,error_rate_1,error_rate_2
Sensor,single_round_R4,loro_R3_R4_to_R2,0.8203981667699869,0.6969696969696971,0.12844036697247707,0.2727272727272727
Sensor,single_round_R4,joint_R2_R3_R4,0.9761870601839528,0.22222222222222215,0.12844036697247707,0.11009174311926606
Sensor,single_round_R4,position_R2_R3_R4_to_R5,0.8823169993877766,0.5537190082644629,0.12844036697247707,0.3342541436464088
Sensor,single_round_R4,jitter_R2_R3_R4_to_R6,0.9126643739222254,0.45833333333333326,0.12844036697247707,0.23703703703703705
Sensor,single_round_R4,jitter_R2_R3_R4_to_R7,0.9662349396012463,0.26666666666666666,0.12844036697247707,0.22556390977443608
Sensor,loro_R2_R3_to_R4,loro_R2_R4_to_R3,0.9795315059489366,0.3960687960687961,0.15193370165745856,0.8131868131868132
Sensor,loro_R2_R3_to_R4,loro_R3_R4_to_R2,0.9842588213158461,0.30303030303030287,0.15193370165745856,0.2727272727272727
Sensor,loro_R2_R3_to_R4,joint_R2_R3_R4,0.5367834590233406,1.222222222222222,0.15193370165745856,0.11009174311926606
Sensor,loro_R2_R3_to_R4,position_R2_R3_R4_to_R5,0.9535120953213904,0.5256198347107438,0.15193370165745856,0.3342541436464088
Sensor,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R6,0.9340479674196749,0.5469696969696971,0.15193370165745856,0.23703703703703705
Sensor,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R7,0.865277930926941,0.7333333333333334,0.15193370165745856,0.22556390977443608
Sensor,loro_R2_R4_to_R3,loro_R3_R4_to_R2,0.9972374061328462,0.12940212940212953,0.8131868131868132,0.2727272727272727
Sensor,loro_R2_R4_to_R3,joint_R2_R3_R4,0.6889236613093825,0.9114114114114115,0.8131868131868132,0.11009174311926606
Sensor,loro_R2_R4_to_R3,position_R2_R3_R4_to_R5,0.9944827397764069,0.13630779539870447,0.8131868131868132,0.3342541436464088
Sensor,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R6,0.9847282003390442,0.23085585585585597,0.8131868131868132,0.23703703703703705
Sensor,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R7,0.943903488721199,0.42252252252252254,0.8131868131868132,0.22556390977443608
Sensor,loro_R3_R4_to_R2,joint_R2_R3_R4,0.6768228307221343,0.9191919191919193,0.2727272727272727,0.11009174311926606
Sensor,loro_R3_R4_to_R2,position_R2_R3_R4_to_R5,0.9893788201407057,0.25895316804407725,0.2727272727272727,0.3342541436464088
Sensor,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R6,0.9819173414431805,0.28030303030303055,0.2727272727272727,0.23703703703703705
Sensor,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R7,0.9400269858994933,0.4303030303030304,0.2727272727272727,0.22556390977443608
Sensor,joint_R2_R3_R4,position_R2_R3_R4_to_R5,0.7605688427203786,0.775941230486685,0.11009174311926606,0.3342541436464088
Sensor,joint_R2_R3_R4,jitter_R2_R3_R4_to_R6,0.8024699029677176,0.6805555555555554,0.11009174311926606,0.23703703703703705
Sensor,joint_R2_R3_R4,jitter_R2_R3_R4_to_R7,0.8873311683875384,0.4888888888888888,0.11009174311926606,0.22556390977443608
Sensor,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R6,0.9967300529172282,0.09538567493112961,0.3342541436464088,0.23703703703703705
Sensor,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R7,0.9721782161371767,0.28705234159779613,0.3342541436464088,0.22556390977443608
Sensor,jitter_R2_R3_R4_to_R6,jitter_R2_R3_R4_to_R7,0.9869194818468341,0.19166666666666654,0.23703703703703705,0.22556390977443608
Socket,single_round_R2,single_round_R3,1.0,0.0,0.0,0.0
Socket,single_round_R2,single_round_R4,1.0,0.0,0.0,0.0
Socket,single_round_R2,loro_R2_R3_to_R4,1.0,0.0,0.0,0.0
Socket,single_round_R2,loro_R2_R4_to_R3,1.0,0.0,0.0,0.0
Socket,single_round_R2,loro_R3_R4_to_R2,1.0,0.0,0.0,0.0
Socket,single_round_R2,joint_R2_R3_R4,1.0,0.0,0.0,0.0
Socket,single_round_R2,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,single_round_R2,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,single_round_R2,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,single_round_R3,single_round_R4,1.0,0.0,0.0,0.0
Socket,single_round_R3,loro_R2_R3_to_R4,1.0,0.0,0.0,0.0
Socket,single_round_R3,loro_R2_R4_to_R3,1.0,0.0,0.0,0.0
Socket,single_round_R3,loro_R3_R4_to_R2,1.0,0.0,0.0,0.0
Socket,single_round_R3,joint_R2_R3_R4,1.0,0.0,0.0,0.0
Socket,single_round_R3,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,single_round_R3,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,single_round_R3,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,single_round_R4,loro_R2_R3_to_R4,1.0,0.0,0.0,0.0
Socket,single_round_R4,loro_R2_R4_to_R3,1.0,0.0,0.0,0.0
Socket,single_round_R4,loro_R3_R4_to_R2,1.0,0.0,0.0,0.0
Socket,single_round_R4,joint_R2_R3_R4,1.0,0.0,0.0,0.0
Socket,single_round_R4,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,single_round_R4,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,single_round_R4,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,loro_R2_R3_to_R4,loro_R2_R4_to_R3,1.0,0.0,0.0,0.0
Socket,loro_R2_R3_to_R4,loro_R3_R4_to_R2,1.0,0.0,0.0,0.0
Socket,loro_R2_R3_to_R4,joint_R2_R3_R4,1.0,0.0,0.0,0.0
Socket,loro_R2_R3_to_R4,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,loro_R2_R3_to_R4,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,loro_R2_R4_to_R3,loro_R3_R4_to_R2,1.0,0.0,0.0,0.0
Socket,loro_R2_R4_to_R3,joint_R2_R3_R4,1.0,0.0,0.0,0.0
Socket,loro_R2_R4_to_R3,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,loro_R3_R4_to_R2,joint_R2_R3_R4,1.0,0.0,0.0,0.0
Socket,loro_R3_R4_to_R2,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,joint_R2_R3_R4,position_R2_R3_R4_to_R5,1.0,0.0,0.0,0.0
Socket,joint_R2_R3_R4,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,joint_R2_R3_R4,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R6,1.0,0.0,0.0,0.0
Socket,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
Socket,jitter_R2_R3_R4_to_R6,jitter_R2_R3_R4_to_R7,1.0,0.0,0.0,0.0
