task,feature_set,model,accuracy,precision,recall,macro_f1
single_round_R4,selected_features,extra_trees,0.9460431654676259,0.9477176941681129,0.9452210175145954,0.9455190846792199
single_round_R4,selected_features,stacking,0.9496402877697842,0.9502189219876638,0.9488907422852376,0.9490597457802206
joint_R2_R3_R4,all_features,rf,0.9309927360774818,0.9309894292934009,0.9306736474781225,0.9306592310168786
joint_R2_R3_R4,all_features,xgboost,0.9473365617433414,0.947581936973824,0.9470839323160245,0.9471160499466895
joint_R2_R3_R4,all_features,lightgbm,0.9521791767554479,0.9521336401407346,0.9519255133738442,0.9519085264392663
joint_R2_R3_R4,all_features,extra_trees,0.9007263922518159,0.9009023184675359,0.9002478226677528,0.9002708624845152
joint_R2_R3_R4,all_features,stacking,0.9491525423728814,0.9492482940789811,0.9488967976437556,0.9488916724583788
joint_R2_R3_R4,selected_features,rf,0.9207021791767555,0.9205859720417143,0.9203206175944192,0.920231894951786
joint_R2_R3_R4,selected_features,xgboost,0.9412832929782082,0.941435124078924,0.9410194626799482,0.9409985584973141
joint_R2_R3_R4,selected_features,lightgbm,0.9437046004842615,0.9436424238371501,0.9434217752392172,0.9433992390188412
joint_R2_R3_R4,selected_features,extra_trees,0.9092009685230025,0.9088333359080851,0.9087665196840709,0.9085738369121696
joint_R2_R3_R4,selected_features,stacking,0.9430992736077481,0.9432435266769097,0.9428323280076791,0.9428083088904845
loro_R2_R3_to_R4,all_features,rf,0.7069616837560713,0.7276857144134101,0.7057514906057267,0.6592117370350504
loro_R2_R3_to_R4,all_features,xgboost,0.712358337830545,0.6919261171075723,0.710834557592979,0.6618770405744276
loro_R2_R3_to_R4,all_features,lightgbm,0.7155963302752294,0.6946384818884819,0.7141653803924904,0.6661799166983895
loro_R2_R3_to_R4,all_features,extra_trees,0.7145169994603346,0.7274881676808654,0.7130286211402389,0.6657761390732111
loro_R2_R3_to_R4,all_features,stacking,0.7134376686454398,0.7083907831006642,0.7121536899784772,0.6633973775317822
loro_R2_R3_to_R4,selected_features,rf,0.7112790070156503,0.6520267489085032,0.710112026718391,0.6553752936563216
loro_R2_R3_to_R4,selected_features,xgboost,0.7231516459794927,0.6810459037996924,0.7220165311332771,0.6668737837158973
loro_R2_R3_to_R4,selected_features,lightgbm,0.7242309767943875,0.6734655997360172,0.7231124955819921,0.6687733342472788
loro_R2_R3_to_R4,selected_features,extra_trees,0.7112790070156503,0.627223314548669,0.7097912894643388,0.6556594602093557
loro_R2_R3_to_R4,selected_features,stacking,0.7177549919050189,0.6493881125678997,0.7167203592269733,0.6602035230921506
loro_R2_R4_to_R3,all_features,rf,0.6336418072945019,0.6225074706021854,0.6305451136456817,0.6148161314237031
loro_R2_R4_to_R3,all_features,xgboost,0.5802939575394666,0.5072755801621621,0.5765608209486349,0.5331577734068969
loro_R2_R4_to_R3,all_features,lightgbm,0.6015242242787153,0.5428496997672634,0.5978615576595712,0.552736123006713
loro_R2_R4_to_R3,all_features,extra_trees,0.6102340772999456,0.5942643798065045,0.6070356266796446,0.588776651529636
loro_R2_R4_to_R3,all_features,stacking,0.5895481763745237,0.5263185512864372,0.585894281279878,0.5454822508677128
loro_R2_R4_to_R3,selected_features,rf,0.5824714207947741,0.5153843569488687,0.5786317932389068,0.5367882349976272
loro_R2_R4_to_R3,selected_features,xgboost,0.583015786608601,0.4822113076377083,0.579011166857961,0.5165262213137545
loro_R2_R4_to_R3,selected_features,lightgbm,0.5939031028851388,0.4861008589094794,0.589908046844535,0.5206691845372988
loro_R2_R4_to_R3,selected_features,extra_trees,0.5661404463799673,0.46914903485829546,0.5621163838877898,0.5030969431969087
loro_R2_R4_to_R3,selected_features,stacking,0.5868263473053892,0.48739880878358327,0.5828171825474623,0.5203885131443082
loro_R3_R4_to_R2,all_features,rf,0.8083700440528634,0.814255723120555,0.8084345974485851,0.8097991283932819
loro_R3_R4_to_R2,all_features,xgboost,0.7786343612334802,0.7844321532025695,0.778674996387855,0.7752091537055984
loro_R3_R4_to_R2,all_features,lightgbm,0.7968061674008811,0.7994482625368287,0.7968720095556613,0.7934265218076193
loro_R3_R4_to_R2,all_features,extra_trees,0.7769823788546255,0.7834438319386539,0.7770280417128218,0.776909835366751
loro_R3_R4_to_R2,all_features,stacking,0.7935022026431718,0.7965124273989643,0.7935753314156127,0.7905353668369289
loro_R3_R4_to_R2,selected_features,rf,0.8083700440528634,0.8112339455271751,0.8084135396332062,0.808439856947941
loro_R3_R4_to_R2,selected_features,xgboost,0.7808370044052864,0.7851914900022191,0.7808849161200495,0.7776117222128324
loro_R3_R4_to_R2,selected_features,lightgbm,0.7890969162995595,0.7941079186234548,0.7891342089631653,0.786876144469894
loro_R3_R4_to_R2,selected_features,extra_trees,0.7626651982378855,0.7679976406261121,0.7626938658583801,0.761742155767663
loro_R3_R4_to_R2,selected_features,stacking,0.7946035242290749,0.7982214030815598,0.7946605928421359,0.7917887625136726
position_R2_R3_R4_to_R5,all_features,rf,0.711453744493392,0.7064556600220291,0.7119468617496043,0.7012224296594887
position_R2_R3_R4_to_R5,all_features,xgboost,0.6855726872246696,0.6475509489947956,0.6861976528250102,0.6603072409777727
position_R2_R3_R4_to_R5,all_features,lightgbm,0.676762114537445,0.6538256600420876,0.6773309031363427,0.6583908067353137
position_R2_R3_R4_to_R5,all_features,extra_trees,0.6547356828193832,0.6412327430383273,0.6553317325223781,0.6422760760425074
position_R2_R3_R4_to_R5,all_features,stacking,0.6833700440528634,0.6679410442215727,0.6839016545813571,0.6678293830376971
position_R2_R3_R4_to_R5,selected_features,rf,0.6662995594713657,0.6594411458009447,0.666849110745136,0.6540706309859254
position_R2_R3_R4_to_R5,selected_features,xgboost,0.6685022026431718,0.630821612458574,0.6691539908000281,0.6432364714395001
