task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
g0_R4_R6_to_R2,42,-0.013926728341957628,-0.017948187233505664,-0.21436676163334023,-0.004021458891548035,-0.19641857439983457,-0.2004400332913826
g0_R4_R7_to_R5,42,-0.014425326955273543,-0.0016195539779931822,-0.24823539007323547,0.01280577297728036,-0.2466158360952423,-0.23381006311796193
g0_R4_to_R2,42,-0.1482575702456489,-0.1482575702456489,-0.11528220633319741,0.0,0.03297536391245148,0.03297536391245148
g0_R4_to_R7,42,-0.08449192110180481,-0.08449192110180481,-0.096079541941821,0.0,-0.011587620840016188,-0.011587620840016188
g0_R5_R6_R7_to_R3,42,0.0016839411110132207,0.0002480365470164392,0.0010389373179018335,-0.0014359045639967816,0.0007909007708853943,-0.0006450037931113872
g0_R5_R6_to_R3,42,-0.002814980352824792,-0.0003510050084689631,-0.10846307526932764,0.0024639753443558288,-0.10811207026085867,-0.10564809491650284
g0_R5_R6_to_R7,42,-0.003986858429015139,-0.004508046741538152,-0.19157561264497414,-0.0005211883125230132,-0.18706756590343598,-0.187588754215959
g0_R5_R7_to_R2,42,-0.020878096588261563,-0.018075427530589105,-0.16680098904123897,0.0028026690576724578,-0.14872556151064986,-0.1459228924529774
g0_R5_to_R4,42,-0.016413186690826365,-0.016413186690826365,-0.011435022240795678,0.0,0.0049781644500306865,0.0049781644500306865
g0_R5_to_R6,42,0.0004855066830821708,0.0004855066830821708,0.0016385487475069627,0.0,0.0011530420644247918,0.0011530420644247918
g0_R6_R7_to_R4,42,-0.11469495365880367,-0.11154302187351606,-0.14301648960426128,0.0031519317852876094,-0.03147346773074522,-0.02832153594545761
g0_R6_to_R3,42,-0.14387791859207344,-0.14387791859207344,-0.12561667858432846,0.0,0.018261240007744983,0.018261240007744983
g0_R7_to_R2,42,-0.36914020437585626,-0.36914020437585626,-0.3531337243205793,0.0,0.01600648005527694,0.01600648005527694
g0_R7_to_R5,42,-0.2557301362820268,-0.2557301362820268,-0.2567553528420411,0.0,-0.0010252165600143082,-0.0010252165600143082
