task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R3_R5_R6_to_R4,42,A_prime,random,3,3,3,True,3,round_group,0.677933850307804,rf,0.7776659133154694,-0.09973206300766546,0.7776659133154694,0.6156653873805294,0.6477230614741002,3,R4,ood
g0_R3_R5_R6_to_R4,42,B,grouped,5,3,3,,3,round_group,0.7867886438481175,rf,0.7776659133154694,0.009122730532648116,0.7776659133154694,0.6156653873805294,0.6477230614741002,3,R4,ood
g0_R5_R6_R7_to_R4,42,A,random,5,5,3,,3,round_group,0.823678049568851,rf,0.8227862698552626,0.0008917797135884475,0.8227862698552626,0.8143889351021623,0.815541588013709,3,R4,ood
g0_R5_R6_R7_to_R4,42,A_prime,random,3,3,3,True,3,round_group,0.8273181800956788,rf,0.8227862698552626,0.004531910240416215,0.8227862698552626,0.8143889351021623,0.815541588013709,3,R4,ood
g0_R5_R6_R7_to_R4,42,B,grouped,5,3,3,,3,round_group,0.8380097788607959,rf,0.8227862698552626,0.015223509005533264,0.8227862698552626,0.8143889351021623,0.815541588013709,3,R4,ood
g0_R4_to_R5,42,A,random,5,5,5,,1,time_block,0.5600409143305756,rf,0.6118622565305192,-0.05182134219994361,0.6118622565305192,0.5374861638421328,0.5705608881469147,1,R5,ood
g0_R4_to_R5,42,A_prime,random,5,5,5,True,1,time_block,0.5600409143305756,rf,0.6118622565305192,-0.05182134219994361,0.6118622565305192,0.5374861638421328,0.5705608881469147,1,R5,ood
g0_R4_to_R5,42,B,grouped,5,5,5,,1,time_block,0.5973682374027858,rf,0.6118622565305192,-0.014494019127733404,0.6118622565305192,0.5374861638421328,0.5705608881469147,1,R5,ood
g0_R2_R3_to_R5,42,A,random,5,5,2,,2,round_group,0.6422478192971282,rf,0.6649250626239468,-0.02267724332681864,0.6649250626239468,0.618446263058735,0.6394690098126882,2,R5,ood
g0_R2_R3_to_R5,42,A_prime,random,2,2,2,True,2,round_group,0.6391187351551817,rf,0.6649250626239468,-0.0258063274687651,0.6649250626239468,0.618446263058735,0.6394690098126882,2,R5,ood
