unit,arm,model,seed,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev_N1,dev_N6,dev_N30,stage1_acc
inner_to_R2,flat_full94,xgboost,46,0.779396077276564,0.9466089466089466,0.5242718446601942,0.7528809218950064,0.6732186732186732,1.0,0.779396077276564,0.8798579225504636,0.8938461538461538,
inner_to_R2,flat_full94,lightgbm,46,0.7934265218076193,0.9572649572649573,0.5414012738853503,0.7630208333333334,0.7054455445544554,1.0,0.7934265218076193,0.9011306042884991,0.909761583445794,
inner_to_R2,flat_drop_rssi,rf,46,0.7290664144888082,0.5199240986717267,0.7105263157894737,0.6317016317016317,0.783180026281209,1.0,0.7290664144888082,0.8651515440335494,0.8724857685009487,
inner_to_R2,flat_drop_rssi,xgboost,46,0.7722702696590954,0.6042402826855123,0.747612551159618,0.6896551724137931,0.8198433420365535,1.0,0.7722702696590954,0.9168525634644101,0.9492063492063492,
inner_to_R2,flat_drop_rssi,lightgbm,46,0.7695565272276548,0.6116838487972509,0.7319727891156462,0.7031055900621118,0.8010204081632653,1.0,0.7695565272276548,0.9193759091061775,0.9833043478260869,
inner_to_R3,flat_full94,rf,42,0.6148161314237031,0.9679144385026738,0.22564102564102564,0.6242774566473989,0.25757575757575757,0.99867197875166,0.6148161314237031,0.6133997012797558,0.567843137254902,
inner_to_R3,flat_full94,xgboost,42,0.5331577734068969,0.9307692307692308,0.11305518169582772,0.5974304068522484,0.02586206896551724,0.99867197875166,0.5331577734068969,0.5347348837209303,0.5333333333333333,
inner_to_R3,flat_full94,lightgbm,42,0.552736123006713,0.9391979301423027,0.14225941422594143,0.6081632653061224,0.07538802660753881,0.99867197875166,0.552736123006713,0.5286423254165189,0.5333333333333333,
inner_to_R3,flat_drop_rssi,rf,42,0.8194098954925693,0.9263157894736842,0.7236467236467237,0.6484149855907781,0.8,0.99867197875166,0.8194098954925693,0.9505810125703175,1.0,
inner_to_R3,flat_drop_rssi,xgboost,42,0.8465897540177814,0.940554821664465,0.7334273624823695,0.71875,0.8415446071904128,0.99867197875166,0.8465897540177814,0.9738003494887838,1.0,
inner_to_R3,flat_drop_rssi,lightgbm,42,0.8460666794811063,0.9424083769633508,0.7212643678160919,0.7134670487106017,0.854521625163827,0.99867197875166,0.8460666794811063,0.9671277027481018,1.0,
inner_to_R3,flat_full94,rf,43,0.6095598961469519,0.9641434262948207,0.22391857506361323,0.6264501160092807,0.23461538461538461,0.99867197875166,0.6095598961469519,0.5957319136278878,0.5657142857142856,
inner_to_R3,flat_full94,xgboost,43,0.5296917551431003,0.9319640564826701,0.12080536912751678,0.5925925925925926,0.004424778761061947,0.99867197875166,0.5296917551431003,0.5355025172478091,0.5371428571428571,
inner_to_R3,flat_full94,lightgbm,43,0.552736123006713,0.9391979301423027,0.14225941422594143,0.6081632653061224,0.07538802660753881,0.99867197875166,0.552736123006713,0.5286423254165189,0.5333333333333333,
inner_to_R3,flat_drop_rssi,rf,43,0.8202968061635023,0.9220607661822986,0.7223796033994334,0.659942363112392,0.7984293193717278,0.99867197875166,0.8202968061635023,0.9506020541549953,1.0,
inner_to_R3,flat_drop_rssi,xgboost,43,0.8487882880809605,0.9493333333333334,0.7311522048364154,0.7185289957567186,0.8462549277266754,0.99867197875166,0.8487882880809605,0.9705012664079622,1.0,
inner_to_R3,flat_drop_rssi,lightgbm,43,0.8460666794811063,0.9424083769633508,0.7212643678160919,0.7134670487106017,0.854521625163827,0.99867197875166,0.8460666794811063,0.9671277027481018,1.0,
inner_to_R3,flat_full94,rf,44,0.6222269787634606,0.9692101740294511,0.23604060913705585,0.6355140186915887,0.27169811320754716,0.99867197875166,0.6222269787634606,0.6152968177223619,0.567843137254902,
