unit,arm,model,seed,device,n_win,true_share,runner_up_share,margin,mode_correct
inner_to_R2,flat_drop_rssi,rf,45,Light_T1,363,0.7272727272727273,0.15977961432506887,0.5674931129476584,1
inner_to_R2,flat_drop_rssi,rf,45,Light_XM,365,0.7397260273972602,0.18904109589041096,0.5506849315068493,1
inner_to_R2,flat_drop_rssi,rf,45,Sensor,363,0.8264462809917356,0.09090909090909091,0.7355371900826446,1
inner_to_R2,flat_drop_rssi,rf,45,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,xgboost,45,Camera,362,0.47790055248618785,0.31215469613259667,0.16574585635359118,1
inner_to_R2,flat_drop_rssi,xgboost,45,Light_T1,363,0.7548209366391184,0.12947658402203857,0.6253443526170799,1
inner_to_R2,flat_drop_rssi,xgboost,45,Light_XM,365,0.7863013698630137,0.13150684931506848,0.6547945205479452,1
inner_to_R2,flat_drop_rssi,xgboost,45,Sensor,363,0.8622589531680441,0.06611570247933884,0.7961432506887053,1
inner_to_R2,flat_drop_rssi,xgboost,45,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,lightgbm,45,Camera,362,0.49171270718232046,0.27071823204419887,0.2209944751381216,1
inner_to_R2,flat_drop_rssi,lightgbm,45,Light_T1,363,0.7410468319559229,0.10743801652892562,0.6336088154269973,1
inner_to_R2,flat_drop_rssi,lightgbm,45,Light_XM,365,0.7753424657534247,0.12054794520547946,0.6547945205479453,1
inner_to_R2,flat_drop_rssi,lightgbm,45,Sensor,363,0.8650137741046832,0.05785123966942149,0.8071625344352616,1
inner_to_R2,flat_drop_rssi,lightgbm,45,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,rf,46,Camera,362,0.9171270718232044,0.058011049723756904,0.8591160220994475,1
inner_to_R2,flat_full94,rf,46,Light_T1,363,0.6528925619834711,0.19559228650137742,0.45730027548209373,1
inner_to_R2,flat_full94,rf,46,Light_XM,365,0.8054794520547945,0.14520547945205478,0.6602739726027398,1
inner_to_R2,flat_full94,rf,46,Sensor,363,0.743801652892562,0.21487603305785125,0.5289256198347108,1
inner_to_R2,flat_full94,rf,46,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,xgboost,46,Camera,362,0.9060773480662984,0.08839779005524862,0.8176795580110497,1
inner_to_R2,flat_full94,xgboost,46,Light_T1,363,0.4462809917355372,0.2837465564738292,0.16253443526170802,1
inner_to_R2,flat_full94,xgboost,46,Light_XM,365,0.8054794520547945,0.13150684931506848,0.673972602739726,1
inner_to_R2,flat_full94,xgboost,46,Sensor,363,0.7548209366391184,0.19559228650137742,0.559228650137741,1
inner_to_R2,flat_full94,xgboost,46,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_full94,lightgbm,46,Camera,362,0.9281767955801105,0.058011049723756904,0.8701657458563535,1
inner_to_R2,flat_full94,lightgbm,46,Light_T1,363,0.46831955922865015,0.2727272727272727,0.19559228650137744,1
inner_to_R2,flat_full94,lightgbm,46,Light_XM,365,0.8027397260273973,0.1095890410958904,0.6931506849315069,1
inner_to_R2,flat_full94,lightgbm,46,Sensor,363,0.7851239669421488,0.17079889807162535,0.6143250688705235,1
inner_to_R2,flat_full94,lightgbm,46,Socket,363,1.0,0.0,1.0,1
inner_to_R2,flat_drop_rssi,rf,46,Camera,362,0.3784530386740331,0.3729281767955801,0.0055248618784530246,1
inner_to_R2,flat_drop_rssi,rf,46,Light_T1,363,0.743801652892562,0.15151515151515152,0.5922865013774105,1
inner_to_R2,flat_drop_rssi,rf,46,Light_XM,365,0.7424657534246575,0.1917808219178082,0.5506849315068493,1
inner_to_R2,flat_drop_rssi,rf,46,Sensor,363,0.8209366391184573,0.0881542699724518,0.7327823691460055,1
