unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,flat_drop_rssi,42,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,1.0,66,0
jit_R6,override_gate3,42,lightgbm,0.7859034266158459,0.9057104913678619,0.677382319173364,0.6329411764705882,0.7134831460674157,1.0,1.0,66,894
jit_R6,override_anyfam_loose,42,lightgbm,0.7009883594414159,0.5714285714285714,0.677382319173364,0.5220883534136547,0.7340425531914894,1.0,0.8333333333333334,66,1543
jit_R6,ovo_full94,42,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,flat_full94,43,rf,0.7536787218386124,0.8394366197183099,0.6062717770034843,0.6149584487534626,0.7077267637178052,1.0,0.9545454545454546,66,0
jit_R6,flat_drop_rssi,43,rf,0.6969952128547735,0.5892547660311959,0.5862433862433862,0.5888738127544098,0.7206040992448759,1.0,0.9242424242424242,66,0
jit_R6,override_gate3,43,rf,0.7651679271026361,0.8394366197183099,0.6319444444444444,0.6251768033946252,0.7292817679558011,1.0,0.9848484848484849,66,1043
jit_R6,override_anyfam_loose,43,rf,0.6995645813339901,0.6020761245674741,0.6271379703534777,0.5280373831775701,0.7405714285714285,1.0,0.8939393939393939,66,1379
jit_R6,ovo_full94,43,rf,0.668798823778895,0.4674329501915709,0.6210640608034745,0.5795314426633785,0.6759656652360515,1.0,0.8484848484848485,66,0
jit_R6,flat_full94,43,xgboost,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,1.0,66,0
jit_R6,flat_drop_rssi,43,xgboost,0.7368013456573799,0.6510851419031719,0.6172043010752688,0.6381842456608812,0.7775330396475771,1.0,0.9848484848484849,66,0
jit_R6,override_gate3,43,xgboost,0.7876240308018703,0.9064935064935065,0.6658767772511849,0.6317073170731707,0.7340425531914894,1.0,1.0,66,913
jit_R6,override_anyfam_loose,43,xgboost,0.7620348394280356,0.8185654008438819,0.6666666666666666,0.5879629629629629,0.7369791666666666,1.0,1.0,66,1519
jit_R6,ovo_full94,43,xgboost,0.7779715783306351,0.8897243107769424,0.636471990464839,0.6552147239263804,0.7084468664850136,1.0,1.0,66,0
jit_R6,flat_full94,43,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.9696969696969697,66,0
