unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
jit_R6,override_anyfam_loose,46,xgboost,0.7639621320671013,0.8251748251748252,0.6618705035971223,0.5865724381625441,0.7461928934010152,1.0,0.9848484848484849,66,1507
jit_R6,override_gate3,42,xgboost,0.7924595177575355,0.9024707412223667,0.6762589928057554,0.634207240948814,0.7493606138107417,1.0,0.9848484848484849,66,905
jit_R6,override_gate3,43,xgboost,0.7876240308018703,0.9064935064935065,0.6658767772511849,0.6317073170731707,0.7340425531914894,1.0,1.0,66,913
jit_R6,override_gate3,44,xgboost,0.7868309610979843,0.8952879581151832,0.6682634730538922,0.6270136307311028,0.7435897435897436,1.0,0.9848484848484849,66,911
jit_R6,override_gate3,45,xgboost,0.7916440782109664,0.9033942558746736,0.6738868832731648,0.6401985111662531,0.7407407407407407,1.0,1.0,66,902
jit_R6,override_gate3,46,xgboost,0.7874060316379533,0.9031413612565445,0.6587112171837709,0.6242197253433208,0.7509578544061303,1.0,0.9848484848484849,66,915
jit_R6,ovo_full94,42,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,ovo_full94,43,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,ovo_full94,44,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,ovo_full94,45,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R6,ovo_full94,46,lightgbm,0.7893779797949184,0.9270166453265045,0.6225165562913907,0.6703296703296703,0.727027027027027,1.0,1.0,66,0
jit_R7,flat_drop_rssi,42,xgboost,0.8360572426086055,0.8766756032171582,0.7243510506798516,0.7755644090305445,0.8036951501154734,1.0,1.0,66,0
jit_R7,flat_drop_rssi,43,xgboost,0.8361471451792145,0.8674698795180723,0.7270501835985312,0.7829560585885486,0.8032596041909197,1.0,1.0,66,0
jit_R7,flat_drop_rssi,44,lightgbm,0.8358327659297284,0.870026525198939,0.7326732673267327,0.776,0.8004640371229699,1.0,1.0,66,0
jit_R7,flat_drop_rssi,45,lightgbm,0.8358327659297284,0.870026525198939,0.7326732673267327,0.776,0.8004640371229699,1.0,1.0,66,0
jit_R7,flat_drop_rssi,46,lightgbm,0.8358327659297284,0.870026525198939,0.7326732673267327,0.776,0.8004640371229699,1.0,1.0,66,0
jit_R7,flat_full94,42,rf,0.8219721259799911,0.94750656167979,0.6873508353221957,0.7157894736842105,0.7592137592137592,1.0,1.0,66,0
jit_R7,flat_full94,43,rf,0.8236975201013944,0.940554821664465,0.687793427230047,0.7165775401069518,0.773561811505508,1.0,1.0,66,0
jit_R7,flat_full94,44,rf,0.8232986071974431,0.9361702127659575,0.6949352179034158,0.7211796246648794,0.7642079806529625,1.0,1.0,66,0
jit_R7,flat_full94,45,rf,0.8258894059214619,0.9389920424403183,0.6972255729794934,0.7195767195767195,0.7736526946107785,1.0,1.0,66,0
jit_R7,flat_full94,46,rf,0.8224775367311377,0.9379128137384413,0.6890756302521008,0.7174770039421814,0.7679222357229648,1.0,1.0,66,0
jit_R7,override_anyfam_loose,42,xgboost,0.844402836312079,0.9365079365079365,0.751269035532995,0.752714113389626,0.7815230961298377,1.0,1.0,66,1490
jit_R7,override_anyfam_loose,43,xgboost,0.841992529247535,0.9350993377483444,0.7455470737913485,0.7479091995221028,0.7814070351758794,1.0,1.0,66,1497
jit_R7,override_anyfam_loose,44,xgboost,0.8458859346359556,0.9350993377483444,0.7535121328224776,0.752714113389626,0.7881040892193308,1.0,1.0,66,1499
jit_R7,override_anyfam_loose,45,xgboost,0.8449195201348028,0.9379128137384413,0.7522236340533672,0.75,0.7844611528822055,1.0,1.0,66,1509
jit_R7,override_anyfam_loose,46,xgboost,0.8477739618858419,0.9421052631578948,0.7522464698331194,0.7565632458233891,0.7879548306148055,1.0,1.0,66,1484
jit_R7,override_gate3,42,xgboost,0.8486102663896183,0.9609375,0.7580025608194623,0.7544910179640718,0.769620253164557,1.0,1.0,66,990
jit_R7,override_gate3,43,xgboost,0.8441061842249479,0.9596879063719116,0.7512820512820513,0.7470449172576832,0.7625160462130937,1.0,1.0,66,996
jit_R7,override_gate3,44,xgboost,0.8501841526158318,0.9595827900912647,0.7593307593307593,0.7526881720430108,0.7793190416141236,1.0,1.0,66,997
jit_R7,override_gate3,45,xgboost,0.8491294377373066,0.9622886866059818,0.7589743589743589,0.7497005988023953,0.7746835443037975,1.0,1.0,66,997
jit_R7,override_gate3,46,xgboost,0.851593140585179,0.9609375,0.7561290322580645,0.7586206896551724,0.7822784810126582,1.0,1.0,66,987
jit_R7,ovo_full94,42,lightgbm,0.8247399834302598,0.9640102827763496,0.6884848484848485,0.7218934911242604,0.7493112947658402,1.0,1.0,66,0
jit_R7,ovo_full94,43,xgboost,0.8272199421926626,0.954367666232073,0.7066974595842956,0.7290886392009988,0.745945945945946,1.0,1.0,66,0
jit_R7,ovo_full94,44,xgboost,0.8305351181410465,0.9570871261378413,0.7161066048667439,0.7261306532663316,0.7533512064343163,1.0,1.0,66,0
jit_R7,ovo_full94,45,lightgbm,0.8247399834302598,0.9640102827763496,0.6884848484848485,0.7218934911242604,0.7493112947658402,1.0,1.0,66,0
jit_R7,ovo_full94,46,xgboost,0.8276020303881566,0.9530026109660574,0.71280276816609,0.7317676143386898,0.7404371584699454,1.0,1.0,66,0
pos_R5,flat_drop_rssi,42,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
