unit,unit_type,config,model,seed,n_cols,win_macro_f1,dev_N6_macro_f1,dev_N6_n_blocks,dev_N30_macro_f1,dev_N30_n_blocks
jit_R7,outer,full94,rf::Light_XM,42,94,0.7157894736842105,,,,
jit_R7,outer,full94,rf::Sensor,42,94,0.7592137592137592,,,,
jit_R7,outer,full94,rf::Socket,42,94,1.0,,,,
jit_R7,outer,full94,xgboost::Camera,42,94,0.9609375,,,,
jit_R7,outer,full94,xgboost::Light_T1,42,94,0.6994011976047905,,,,
jit_R7,outer,full94,xgboost::Light_XM,42,94,0.7005917159763314,,,,
jit_R7,outer,full94,xgboost::Sensor,42,94,0.7162534435261708,,,,
jit_R7,outer,full94,xgboost::Socket,42,94,1.0,,,,
jit_R7,outer,full94,lightgbm::Camera,42,94,0.9703989703989704,,,,
jit_R7,outer,full94,lightgbm::Light_T1,42,94,0.7016645326504481,,,,
jit_R7,outer,full94,lightgbm::Light_XM,42,94,0.6986155484558041,,,,
jit_R7,outer,full94,lightgbm::Sensor,42,94,0.6735598227474151,,,,
jit_R7,outer,full94,lightgbm::Socket,42,94,1.0,,,,
jit_R7,outer,full94,stacking::Camera,42,94,0.9664082687338501,,,,
jit_R7,outer,full94,stacking::Light_T1,42,94,0.36893203883495146,,,,
jit_R7,outer,full94,stacking::Light_XM,42,94,0.5964125560538116,,,,
jit_R7,outer,full94,stacking::Sensor,42,94,0.7141041931385006,,,,
jit_R7,outer,full94,stacking::Socket,42,94,1.0,,,,
inner_to_R2,inner,drop_rssi,rf,42,86,0.7236993864437556,0.850564781697803,304.0,0.8724857685009487,60.0
inner_to_R2,inner,drop_rssi,xgboost,42,86,0.7641050881914407,0.9172371776103848,304.0,0.9314285714285713,60.0
inner_to_R2,inner,drop_rssi,lightgbm,42,86,0.7695565272276548,0.9193759091061775,304.0,0.9833043478260869,60.0
inner_to_R2,inner,drop_rssi,stacking,42,86,0.7789935512945718,0.9315485757144387,304.0,0.9833043478260869,60.0
inner_to_R2,inner,drop_rssi,rf::Camera,42,86,0.5047438330170778,,,,
inner_to_R2,inner,drop_rssi,rf::Light_T1,42,86,0.6933333333333334,,,,
inner_to_R2,inner,drop_rssi,rf::Light_XM,42,86,0.6251441753171857,,,,
inner_to_R2,inner,drop_rssi,rf::Sensor,42,86,0.7952755905511811,,,,
inner_to_R2,inner,drop_rssi,rf::Socket,42,86,1.0,,,,
inner_to_R2,inner,drop_rssi,xgboost::Camera,42,86,0.6003490401396161,,,,
inner_to_R2,inner,drop_rssi,xgboost::Light_T1,42,86,0.7374149659863946,,,,
inner_to_R2,inner,drop_rssi,xgboost::Light_XM,42,86,0.6738609112709832,,,,
inner_to_R2,inner,drop_rssi,xgboost::Sensor,42,86,0.8089005235602095,,,,
inner_to_R2,inner,drop_rssi,xgboost::Socket,42,86,1.0,,,,
inner_to_R2,inner,drop_rssi,lightgbm::Camera,42,86,0.6116838487972509,,,,
inner_to_R2,inner,drop_rssi,lightgbm::Light_T1,42,86,0.7319727891156462,,,,
inner_to_R2,inner,drop_rssi,lightgbm::Light_XM,42,86,0.7031055900621118,,,,
inner_to_R2,inner,drop_rssi,lightgbm::Sensor,42,86,0.8010204081632653,,,,
inner_to_R2,inner,drop_rssi,lightgbm::Socket,42,86,1.0,,,,
inner_to_R2,inner,drop_rssi,stacking::Camera,42,86,0.6456953642384106,,,,
inner_to_R2,inner,drop_rssi,stacking::Light_T1,42,86,0.7384615384615385,,,,
inner_to_R2,inner,drop_rssi,stacking::Light_XM,42,86,0.6952264381884945,,,,
inner_to_R2,inner,drop_rssi,stacking::Sensor,42,86,0.8155844155844156,,,,
inner_to_R2,inner,drop_rssi,stacking::Socket,42,86,1.0,,,,
inner_to_R3,inner,drop_rssi,rf,42,86,0.8194098954925693,0.9505810125703175,308.0,1.0,61.0
inner_to_R3,inner,drop_rssi,xgboost,42,86,0.8465897540177814,0.9738003494887838,308.0,1.0,61.0
inner_to_R3,inner,drop_rssi,lightgbm,42,86,0.8460666794811063,0.9671277027481018,308.0,1.0,61.0
inner_to_R3,inner,drop_rssi,stacking,42,86,0.8343954723799742,0.9638052690675188,308.0,1.0,61.0
inner_to_R3,inner,drop_rssi,rf::Camera,42,86,0.9263157894736842,,,,
inner_to_R3,inner,drop_rssi,rf::Light_T1,42,86,0.7236467236467237,,,,
inner_to_R3,inner,drop_rssi,rf::Light_XM,42,86,0.6484149855907781,,,,
inner_to_R3,inner,drop_rssi,rf::Sensor,42,86,0.8,,,,
inner_to_R3,inner,drop_rssi,rf::Socket,42,86,0.99867197875166,,,,
inner_to_R3,inner,drop_rssi,xgboost::Camera,42,86,0.940554821664465,,,,
inner_to_R3,inner,drop_rssi,xgboost::Light_T1,42,86,0.7334273624823695,,,,
inner_to_R3,inner,drop_rssi,xgboost::Light_XM,42,86,0.71875,,,,
inner_to_R3,inner,drop_rssi,xgboost::Sensor,42,86,0.8415446071904128,,,,
inner_to_R3,inner,drop_rssi,xgboost::Socket,42,86,0.99867197875166,,,,
inner_to_R3,inner,drop_rssi,lightgbm::Camera,42,86,0.9424083769633508,,,,
inner_to_R3,inner,drop_rssi,lightgbm::Light_T1,42,86,0.7212643678160919,,,,
inner_to_R3,inner,drop_rssi,lightgbm::Light_XM,42,86,0.7134670487106017,,,,
inner_to_R3,inner,drop_rssi,lightgbm::Sensor,42,86,0.854521625163827,,,,
inner_to_R3,inner,drop_rssi,lightgbm::Socket,42,86,0.99867197875166,,,,
inner_to_R3,inner,drop_rssi,stacking::Camera,42,86,0.9045226130653267,,,,
inner_to_R3,inner,drop_rssi,stacking::Light_T1,42,86,0.7264833574529667,,,,
inner_to_R3,inner,drop_rssi,stacking::Light_XM,42,86,0.6966618287373004,,,,
inner_to_R3,inner,drop_rssi,stacking::Sensor,42,86,0.8456375838926175,,,,
inner_to_R3,inner,drop_rssi,stacking::Socket,42,86,0.99867197875166,,,,
inner_to_R4,inner,drop_rssi,rf,42,86,0.7161849600735065,0.8554886625480046,308.0,0.984,61.0
inner_to_R4,inner,drop_rssi,xgboost,42,86,0.7666953868080096,0.9139801561400075,308.0,0.984,61.0
inner_to_R4,inner,drop_rssi,lightgbm,42,86,0.7644700953224918,0.915108461685192,308.0,0.984,61.0
inner_to_R4,inner,drop_rssi,stacking,42,86,0.7572394891232392,0.9258274520586655,308.0,0.984,61.0
inner_to_R4,inner,drop_rssi,rf::Camera,42,86,0.627318718381113,,,,
inner_to_R4,inner,drop_rssi,rf::Light_T1,42,86,0.5757225433526012,,,,
inner_to_R4,inner,drop_rssi,rf::Light_XM,42,86,0.648936170212766,,,,
inner_to_R4,inner,drop_rssi,rf::Sensor,42,86,0.7289473684210527,,,,
inner_to_R4,inner,drop_rssi,rf::Socket,42,86,1.0,,,,
inner_to_R4,inner,drop_rssi,xgboost::Camera,42,86,0.7430340557275542,,,,
inner_to_R4,inner,drop_rssi,xgboost::Light_T1,42,86,0.6383981154299175,,,,
