window_start,window_id,round,oof_rf_Camera,oof_rf_Light_T1,oof_rf_Light_XM,oof_rf_Sensor,oof_rf_Socket,oof_xgboost_Camera,oof_xgboost_Light_T1,oof_xgboost_Light_XM,oof_xgboost_Sensor,oof_xgboost_Socket,oof_lightgbm_Camera,oof_lightgbm_Light_T1,oof_lightgbm_Light_XM,oof_lightgbm_Sensor,oof_lightgbm_Socket,true_label
2340.098586559296,234,R5,0.006,0.014,0.0,0.008,0.972,0.0011845281114801764,0.0003177966282237321,0.00014209951041266322,6.769855826860294e-05,0.9982878565788269,1.1880883582866231e-05,4.5784784599685456e-08,5.471579760023158e-08,1.6739398662935256e-08,0.9999880018764363,Socket
1214.6178543567655,121,R5,0.028,0.93,0.034,0.008,0.0,0.00017182462033815682,0.9994895458221436,0.0001250308268936351,6.0490656323963776e-05,0.00015311954484786838,1.279598819547735e-08,0.999999829664502,1.0655008187701474e-07,4.940369577226585e-09,4.604905847097715e-08,Light_T1
2880.3940875530243,288,R5,0.978,0.016,0.0,0.006,0.0,0.9997596144676208,8.441828686045483e-05,3.4148561098845676e-05,5.662281546392478e-05,6.516611756524071e-05,0.9999998528578907,4.7559239019095355e-08,6.554369374582746e-09,5.552239682031796e-08,3.750610409532222e-08,Camera
1680.291582584381,168,R5,0.0,0.0,0.0,0.0,1.0,0.0006133373826742172,0.00029356739833019674,0.0001533872855361551,7.345929043367505e-05,0.9988663196563721,6.642860630077955e-07,7.012288903012322e-08,7.532642493414933e-08,8.454908674341863e-09,0.9999991818097145,Socket
560.5577836036682,56,R5,0.564,0.42,0.01,0.006,0.0,0.9964969754219055,0.0021470258943736553,0.00038516343920491636,0.00033509981585666537,0.0006357458187267184,0.9999933139924809,6.0961990363623705e-06,1.7235289822333152e-07,7.582847339077872e-08,3.416271110662865e-07,Camera
3621.189260482788,362,R5,0.176,0.776,0.012,0.034,0.002,0.00484886858612299,0.9878371357917786,0.0018598019378259778,0.002099529141560197,0.0033546763006597757,0.00019409627501508692,0.9997928870955105,3.1634731863189094e-06,1.3339960859175026e-06,8.51916020234365e-06,Light_T1
120.63974618911745,12,R5,0.01,0.018,0.766,0.206,0.0,0.0008130891947075725,0.0022173416800796986,0.8928067684173584,0.10115791112184525,0.0030048934277147055,9.060828166061361e-06,1.5935646894134992e-05,0.9954920132883104,0.004413279884448617,6.971035218063835e-05,Light_XM
2710.079023361206,271,R5,0.008,0.036,0.786,0.17,0.0,0.0019631648901849985,0.0044385832734405994,0.9112890362739563,0.07986421883106232,0.0024449359625577927,1.5180964676979625e-05,4.204695484917644e-05,0.9883579105538595,0.011549278905337284,3.5582621276998955e-05,Light_XM
1013.5944149494172,101,R5,0.01,0.018,0.534,0.438,0.0,0.0013959015486761928,0.004106509033590555,0.9438304305076599,0.047470495104789734,0.0031966431997716427,4.359870228099759e-06,1.4180027528922524e-05,0.9997949704615978,0.00016646518526034485,2.0024455384743467e-05,Light_XM
3341.30104970932,334,R5,0.826,0.15,0.014,0.01,0.0,0.9992318153381348,0.000254278042120859,0.00015414683730341494,9.584018698660657e-05,0.00026386926765553653,0.9999993873659047,2.348873174834609e-07,1.6904764730110958e-07,1.794547322934886e-08,1.9075365729726514e-07,Camera
1980.0600607395168,198,R5,0.038,0.946,0.0,0.016,0.0,0.0002875052741728723,0.9991905093193054,0.00013755925465375185,0.00012458687706384808,0.0002598290448077023,3.856907661801513e-08,0.9999997335548912,4.3728421975609576e-08,2.9379898031827084e-08,1.5476771217544505e-07,Light_T1
3574.405013084412,357,R5,0.008,0.02,0.024,0.948,0.0,0.00010537373600527644,0.0003124176000710577,0.0005152560770511627,0.9989114999771118,0.00015547274961136281,2.4749949824572277e-08,3.106024424311505e-08,9.615236766199829e-08,0.9999997660166849,8.2020753290254e-08,Sensor
1270.0378112792969,127,R5,0.026,0.044,0.488,0.442,0.0,0.0009160448098555207,0.001338029047474265,0.9839026927947998,0.01289619505405426,0.0009470590157434344,1.2916409934297521e-06,2.5299927897779145e-06,0.9999076769741526,8.591920094363871e-05,2.5821911208032316e-06,Light_XM
3250.898103237152,325,R5,0.0,0.0,0.0,0.002,0.998,0.0002930324408225715,0.0006431525107473135,0.00016283073637168854,7.234692748170346e-05,0.9988285899162292,1.462666499349905e-07,3.793928881137679e-06,3.029131543835014e-07,1.350235211645465e-08,0.9999957433889624,Socket
2542.5416045188904,254,R5,0.636,0.044,0.194,0.126,0.0,0.9920461177825928,0.002561220433562994,0.004661222919821739,0.0003254515759181231,0.00040599668864160776,0.9999648116909025,3.375369654927489e-06,3.103813893116492e-05,2.8269783118321373e-07,4.921026801588302e-07,Camera
542.9598574638367,54,R5,0.004,0.008,0.828,0.16,0.0,0.0001301245647482574,0.0001799554011086002,0.9977682828903198,0.0016173558542504907,0.00030432373750954866,3.193680524300763e-08,5.17448514555247e-08,0.9999956333155168,4.107310944269301e-06,1.7569188211229947e-07,Light_XM
692.5435757637024,69,R5,0.212,0.576,0.026,0.174,0.012,0.0042281560599803925,0.9942491054534912,0.0003228187852073461,0.0005600435542874038,0.0006399296689778566,2.1019931057492998e-05,0.9999782387122239,8.533626020356456e-08,3.5623767348140476e-07,2.9978278491352375e-07,Light_T1
60.05955481529236,6,R5,0.656,0.33,0.004,0.01,0.0,0.9972187280654907,0.001945088617503643,0.0002070589252980426,0.00020935546490363777,0.00041981309186667204,0.9999972559667523,2.271244776198234e-06,1.0217738908568196e-07,6.347673881752464e-08,3.071343437127487e-07,Camera
1410.4203867912292,141,R5,0.91,0.086,0.002,0.002,0.0,0.9991238713264465,0.0005999449640512466,5.4960375564405695e-05,8.86276102392003e-05,0.0001325549092143774,0.9999990437968533,3.8845151339035285e-07,4.510453735825884e-08,1.992830771753311e-07,3.23364018716756e-07,Camera
