task,feature_set,model,accuracy,precision,recall,macro_f1
single_round_R4,selected_features,extra_trees,0.9460431654676259,0.9477176941681129,0.9452210175145954,0.9455190846792199
single_round_R4,selected_features,stacking,0.9514388489208633,0.9523048618493852,0.9507089241034195,0.9508937376120038
joint_R2_R3_R4,all_features,rf,0.9309927360774818,0.9309894292934009,0.9306736474781225,0.9306592310168786
joint_R2_R3_R4,all_features,xgboost,0.9473365617433414,0.947581936973824,0.9470839323160245,0.9471160499466895
joint_R2_R3_R4,all_features,lightgbm,0.9521791767554479,0.9521708035065879,0.9519329045617007,0.95192514520381
joint_R2_R3_R4,all_features,extra_trees,0.9007263922518159,0.9009023184675359,0.9002478226677528,0.9002708624845152
joint_R2_R3_R4,all_features,stacking,0.9497578692493946,0.9499299697166343,0.9495158096267188,0.949517576842743
joint_R2_R3_R4,selected_features,rf,0.9207021791767555,0.9205859720417143,0.9203206175944192,0.920231894951786
joint_R2_R3_R4,selected_features,xgboost,0.9412832929782082,0.941435124078924,0.9410194626799482,0.9409985584973141
joint_R2_R3_R4,selected_features,lightgbm,0.9455205811138014,0.9455248611071367,0.9452786346821286,0.9452535290168642
joint_R2_R3_R4,selected_features,extra_trees,0.9092009685230025,0.9088333359080851,0.9087665196840709,0.9085738369121696
joint_R2_R3_R4,selected_features,stacking,0.9449152542372882,0.9448707411550361,0.9446524080172877,0.9446159313056534
loro_R2_R3_to_R4,all_features,rf,0.7069616837560713,0.7276857144134101,0.7057514906057267,0.6592117370350504
loro_R2_R3_to_R4,all_features,xgboost,0.712358337830545,0.6919261171075723,0.710834557592979,0.6618770405744276
loro_R2_R3_to_R4,all_features,lightgbm,0.7155963302752294,0.690632146621736,0.7140951310071726,0.6664534949734986
loro_R2_R3_to_R4,all_features,extra_trees,0.7145169994603346,0.7274881676808654,0.7130286211402389,0.6657761390732111
loro_R2_R3_to_R4,all_features,stacking,0.715056664867782,0.7051160028775237,0.7136875364968168,0.6643798257171675
loro_R2_R3_to_R4,selected_features,rf,0.7112790070156503,0.6520267489085032,0.710112026718391,0.6553752936563216
loro_R2_R3_to_R4,selected_features,xgboost,0.7231516459794927,0.6810459037996924,0.7220165311332771,0.6668737837158973
loro_R2_R3_to_R4,selected_features,lightgbm,0.7177549919050189,0.6529599590001072,0.7166775038113624,0.6619661562407677
loro_R2_R3_to_R4,selected_features,extra_trees,0.7112790070156503,0.627223314548669,0.7097912894643388,0.6556594602093557
loro_R2_R3_to_R4,selected_features,stacking,0.7161359956826767,0.6465897153496176,0.7151116483031938,0.6589454675896377
loro_R2_R4_to_R3,all_features,rf,0.6336418072945019,0.6225074706021854,0.6305451136456817,0.6148161314237031
loro_R2_R4_to_R3,all_features,xgboost,0.5802939575394666,0.5072755801621621,0.5765608209486349,0.5331577734068969
loro_R2_R4_to_R3,all_features,lightgbm,0.5993467610234078,0.5430674842002889,0.595718898643298,0.5524779671371125
loro_R2_R4_to_R3,all_features,extra_trees,0.6102340772999456,0.5942643798065045,0.6070356266796446,0.588776651529636
loro_R2_R4_to_R3,all_features,stacking,0.5911812738160044,0.5269400271517068,0.5875292563073142,0.5464721457973389
loro_R2_R4_to_R3,selected_features,rf,0.5824714207947741,0.5153843569488687,0.5786317932389068,0.5367882349976272
loro_R2_R4_to_R3,selected_features,xgboost,0.583015786608601,0.4822113076377083,0.579011166857961,0.5165262213137545
loro_R2_R4_to_R3,selected_features,lightgbm,0.5895481763745237,0.4881154256120685,0.5855779349756205,0.5195460784007243
loro_R2_R4_to_R3,selected_features,extra_trees,0.5661404463799673,0.46914903485829546,0.5621163838877898,0.5030969431969087
loro_R2_R4_to_R3,selected_features,stacking,0.5846488840500816,0.48685700084430417,0.5806491608672455,0.5196976733006422
loro_R3_R4_to_R2,all_features,rf,0.8083700440528634,0.814255723120555,0.8084345974485851,0.8097991283932819
loro_R3_R4_to_R2,all_features,xgboost,0.7786343612334802,0.7844321532025695,0.778674996387855,0.7752091537055984
loro_R3_R4_to_R2,all_features,lightgbm,0.7951541850220264,0.7985736299094626,0.795228173939223,0.7923449332233496
loro_R3_R4_to_R2,all_features,extra_trees,0.7769823788546255,0.7834438319386539,0.7770280417128218,0.776909835366751
loro_R3_R4_to_R2,all_features,stacking,0.7990088105726872,0.8004978080955023,0.7990925832914784,0.7956733166605012
loro_R3_R4_to_R2,selected_features,rf,0.8083700440528634,0.8112339455271751,0.8084135396332062,0.808439856947941
loro_R3_R4_to_R2,selected_features,xgboost,0.7808370044052864,0.7851914900022191,0.7808849161200495,0.7776117222128324
loro_R3_R4_to_R2,selected_features,lightgbm,0.8001101321585903,0.8007835956358628,0.8001990276293132,0.796357169721555
loro_R3_R4_to_R2,selected_features,extra_trees,0.7626651982378855,0.7679976406261121,0.7626938658583801,0.761742155767663
loro_R3_R4_to_R2,selected_features,stacking,0.802863436123348,0.8039128892702193,0.8029342376935311,0.798740394329626
position_R2_R3_R4_to_R5,all_features,rf,0.711453744493392,0.7064556600220291,0.7119468617496043,0.7012224296594887
position_R2_R3_R4_to_R5,all_features,xgboost,0.6855726872246696,0.6475509489947956,0.6861976528250102,0.6603072409777727
position_R2_R3_R4_to_R5,all_features,lightgbm,0.6822687224669604,0.6532852949792357,0.6828465579541311,0.6594293995680399
position_R2_R3_R4_to_R5,all_features,extra_trees,0.6547356828193832,0.6412327430383273,0.6553317325223781,0.6422760760425074
position_R2_R3_R4_to_R5,all_features,stacking,0.6877753303964758,0.6696103896103895,0.6883184500447113,0.6699683223453546
position_R2_R3_R4_to_R5,selected_features,rf,0.6662995594713657,0.6594411458009447,0.666849110745136,0.6540706309859254
position_R2_R3_R4_to_R5,selected_features,xgboost,0.6685022026431718,0.630821612458574,0.6691539908000281,0.6432364714395001
