feature,mean_rank,std_rank,selected_rate,mean_joint_score,mean_mutual_info,mean_model_importance
retry_ratio,39.0,0.0,1.0,0.12538535459441788,0.09015050983196016,0.011696442894373259
subtype_0_ratio,40.0,0.0,1.0,0.12068570632562918,0.08832813995391531,0.01064851822378506
long_gap_ratio,41.0,0.0,1.0,0.12012956765419906,0.11415533222113705,0.011109737339245728
active_subwin_count,42.0,0.0,1.0,0.11447598105197428,0.07214556319176468,0.010530444145799003
interarrival_p95,43.0,0.0,1.0,0.11426774628238162,0.15132851840038164,0.008853910748874406
subwin_packet_std,44.0,0.0,1.0,0.11399781283224514,0.1328576499686438,0.009887625795987901
subwin_packet_cv,45.0,0.0,1.0,0.1052570655562967,0.10923006759856513,0.009206396387923461
interarrival_max,46.0,0.0,1.0,0.0992738955097825,0.12006913837285582,0.00886305373579606
interarrival_mean,47.0,0.0,1.0,0.08927335576444145,0.09144114156590222,0.008631563083327888
interarrival_cv,48.0,0.0,1.0,0.08907238032467636,0.08929265400412767,0.008792027385552651
burst_size_min,49.0,0.0,1.0,0.0878038897040309,0.08008516567802326,0.007215242774389538
unique_sa_count,50.0,0.0,1.0,0.08762986159463144,0.0618046853751375,0.009266722926262853
interarrival_p25,51.0,0.0,1.0,0.07956726189448256,0.0955215340735509,0.007476742926399184
interarrival_std,52.0,0.0,1.0,0.0750297547356809,0.05155152941798313,0.008464610997080442
interarrival_min,53.0,0.0,1.0,0.05270056453913279,0.040533116285965676,0.006667452809581045
subwin_byte_min,54.0,0.0,1.0,0.022342380080001917,0.0351603821073172,0.001535281557449175
subwin_packet_min,55.0,0.0,1.0,0.020975207592566894,0.02818644155353711,0.001726809734179338
data_ratio,56.0,0.0,1.0,0.015764382950188394,0.027145875138641973,0.0009968727733484259
subtype_5_ratio,57.0,0.0,1.0,0.010874229020980125,0.01435158261282865,0.0009615014277718602
subtype_14_ratio,58.0,0.0,1.0,0.006797488195811478,0.018448315182633568,0.0
subtype_12_ratio,59.0,0.0,1.0,0.006055388044851361,0.016434262772740738,0.0
up_len_std,60.0,0.0,1.0,0.005336297870361456,0.014482659209545279,0.0
ctrl_ratio,61.0,0.0,0.0,0.0037723098752762475,0.010238011386108692,0.0
subtype_13_ratio,62.0,0.0,0.0,0.0029562364957914145,0.008023196371619967,0.0
subtype_11_ratio,63.0,0.0,0.0,0.0011440997469982573,0.0031050753050223534,0.0
subtype_9_ratio,64.0,0.0,0.0,0.0010191585330794179,0.0027659860962914173,0.0
bssid_known,71.0,0.0,0.0,0.0,0.0,0.0
rssi_missing_ratio,67.0,0.0,0.0,0.0,0.0,0.0
subtype_10_ratio,66.0,0.0,0.0,0.0,0.0,0.0
subtype_15_ratio,73.0,0.0,0.0,0.0,0.0,0.0
subtype_1_ratio,70.0,0.0,0.0,0.0,0.0,0.0
subtype_2_ratio,72.0,0.0,0.0,0.0,0.0,0.0
subtype_3_ratio,69.0,0.0,0.0,0.0,0.0,0.0
subtype_6_ratio,68.0,0.0,0.0,0.0,0.0,0.0
subtype_7_ratio,65.0,0.0,0.0,0.0,0.0,0.0
burst_packet_fraction,86.0,0.0,0.0,-1.0,0.21227079621843314,
burst_size_max,90.0,0.0,0.0,-1.0,0.1512256412512416,
byte_count,91.0,0.0,0.0,-1.0,0.18288874804637123,
down_len_mean,88.0,0.0,0.0,-1.0,0.30639306594093707,
interarrival_iqr,89.0,0.0,0.0,-1.0,0.3090925300875842,
interarrival_p10,92.0,0.0,0.0,-1.0,0.06336579502357598,
len_max,76.0,0.0,0.0,-1.0,0.8954006667634958,
len_mean,87.0,0.0,0.0,-1.0,0.2473925764912619,
len_p90,75.0,0.0,0.0,-1.0,0.585031647764845,
len_std,85.0,0.0,0.0,-1.0,0.2206535974628605,
mgmt_ratio,94.0,0.0,0.0,-1.0,0.015068231169216961,
packet_count,81.0,0.0,0.0,-1.0,0.1699455996249566,
qos_data_ratio,78.0,0.0,0.0,-1.0,0.3961453349030437,
side_packet_ratio,93.0,0.0,0.0,-1.0,0.01931243800083493,
subtype_4_ratio,74.0,0.0,0.0,-1.0,0.43307065841321624,
subtype_8_ratio,79.0,0.0,0.0,-1.0,0.3880422103381891,
subwin_byte_mean,84.0,0.0,0.0,-1.0,0.1836343007227108,
subwin_byte_std,83.0,0.0,0.0,-1.0,0.13428778259344565,
subwin_packet_max,82.0,0.0,0.0,-1.0,0.12749175693911452,
up_ia_std,80.0,0.0,0.0,-1.0,0.4863312632901522,
up_len_mean,77.0,0.0,0.0,-1.0,0.5060138022074931,
