task,seed,arm,oof_mode,cv_requested,folds_effective,b_folds_effective,aprime_aligned_with_b,n_train_rounds,b_split_basis,stacking_f1,best_base_model,best_base_f1,gain_absolute,base_f1_rf,base_f1_xgboost,base_f1_lightgbm,n_sources,target_env,grid_kind
g0_R6_R7_to_R2,42,A,random,5,5,2,,2,round_group,0.6326188553916359,rf,0.7820875826325645,-0.1494687272409286,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R6_R7_to_R2,42,A_prime,random,2,2,2,True,2,round_group,0.6448861452001935,rf,0.7820875826325645,-0.137201437432371,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R6_R7_to_R2,42,B,grouped,5,2,2,,2,round_group,0.6062043498294558,rf,0.7820875826325645,-0.1758832328031087,0.7820875826325645,0.6190752769431634,0.6153869685376326,2,R2,ood
g0_R3_R4_R5_to_R2,42,A,random,5,5,3,,3,round_group,0.8256407733432823,lightgbm,0.8270327193708216,-0.0013919460275392,0.8262527671183302,0.8245244631673693,0.8270327193708216,3,R2,ood
g0_R3_R4_R5_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8259121298773342,lightgbm,0.8270327193708216,-0.0011205894934873,0.8262527671183302,0.8245244631673693,0.8270327193708216,3,R2,ood
g0_R3_R4_R5_to_R2,42,B,grouped,5,3,3,,3,round_group,0.7321605397577721,lightgbm,0.8270327193708216,-0.0948721796130495,0.8262527671183302,0.8245244631673693,0.8270327193708216,3,R2,ood
g0_R3_R4_R6_to_R2,42,A,random,5,5,3,,3,round_group,0.8227924085671672,rf,0.8501474198023358,-0.0273550112351685,0.8501474198023358,0.8109949308158892,0.7968963195435247,3,R2,ood
g0_R3_R4_R6_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8227628320226836,rf,0.8501474198023358,-0.0273845877796521,0.8501474198023358,0.8109949308158892,0.7968963195435247,3,R2,ood
g0_R3_R4_R6_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8309346252097537,rf,0.8501474198023358,-0.019212794592582,0.8501474198023358,0.8109949308158892,0.7968963195435247,3,R2,ood
g0_R3_R4_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.816074971972402,rf,0.8502409166824106,-0.0341659447100086,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R4_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8150782083564841,rf,0.8502409166824106,-0.0351627083259264,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R4_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8323739147396736,rf,0.8502409166824106,-0.017867001942737,0.8502409166824106,0.8070653617597978,0.791795173233063,3,R2,ood
g0_R3_R5_R6_to_R2,42,A,random,5,5,3,,3,round_group,0.671506350659942,rf,0.7681483686449703,-0.0966420179850282,0.7681483686449703,0.6554114153830194,0.6515735845164528,3,R2,ood
g0_R3_R5_R6_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.6702747129846538,rf,0.7681483686449703,-0.0978736556603164,0.7681483686449703,0.6554114153830194,0.6515735845164528,3,R2,ood
g0_R3_R5_R6_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8102087815139065,rf,0.7681483686449703,0.0420604128689362,0.7681483686449703,0.6554114153830194,0.6515735845164528,3,R2,ood
g0_R3_R5_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.6893712898004007,rf,0.7818510620403802,-0.0924797722399795,0.7818510620403802,0.6859159944555163,0.6662143696351732,3,R2,ood
g0_R3_R5_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.692690746503273,rf,0.7818510620403802,-0.0891603155371072,0.7818510620403802,0.6859159944555163,0.6662143696351732,3,R2,ood
g0_R3_R5_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8099300118052731,rf,0.7818510620403802,0.0280789497648928,0.7818510620403802,0.6859159944555163,0.6662143696351732,3,R2,ood
g0_R3_R6_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.6678594010419456,rf,0.762434674985844,-0.0945752739438984,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R3_R6_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.6668160953887798,rf,0.762434674985844,-0.0956185795970642,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R3_R6_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.6436768197326087,rf,0.762434674985844,-0.1187578552532353,0.762434674985844,0.6643532847960683,0.5865751462739761,3,R2,ood
g0_R4_R5_R6_to_R2,42,A,random,5,5,3,,3,round_group,0.8522100414489421,rf,0.8603399859788056,-0.0081299445298634,0.8603399859788056,0.8354592471141995,0.8419306325972858,3,R2,ood
g0_R4_R5_R6_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8546831287305331,rf,0.8603399859788056,-0.0056568572482724,0.8603399859788056,0.8354592471141995,0.8419306325972858,3,R2,ood
g0_R4_R5_R6_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8313822420712684,rf,0.8603399859788056,-0.0289577439075371,0.8603399859788056,0.8354592471141995,0.8419306325972858,3,R2,ood
g0_R4_R5_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.8662981518741898,rf,0.8716141241872084,-0.0053159723130186,0.8716141241872084,0.8612215525171434,0.8451054113171071,3,R2,ood
g0_R4_R5_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8697136953710837,rf,0.8716141241872084,-0.0019004288161247,0.8716141241872084,0.8612215525171434,0.8451054113171071,3,R2,ood
g0_R4_R5_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8202647840630182,rf,0.8716141241872084,-0.0513493401241902,0.8716141241872084,0.8612215525171434,0.8451054113171071,3,R2,ood
g0_R4_R6_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.843157662733024,rf,0.8501706506152835,-0.0070129878822595,0.8501706506152835,0.838377283424595,0.8350877134952089,3,R2,ood
g0_R4_R6_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8424623474275108,rf,0.8501706506152835,-0.0077083031877727,0.8501706506152835,0.838377283424595,0.8350877134952089,3,R2,ood
g0_R4_R6_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8321915608072926,rf,0.8501706506152835,-0.0179790898079909,0.8501706506152835,0.838377283424595,0.8350877134952089,3,R2,ood
g0_R5_R6_R7_to_R2,42,A,random,5,5,3,,3,round_group,0.821698209544534,rf,0.8302798794299662,-0.0085816698854321,0.8302798794299662,0.8175338812561146,0.8055202392268266,3,R2,ood
g0_R5_R6_R7_to_R2,42,A_prime,random,3,3,3,True,3,round_group,0.8262234633945511,rf,0.8302798794299662,-0.004056416035415,0.8302798794299662,0.8175338812561146,0.8055202392268266,3,R2,ood
g0_R5_R6_R7_to_R2,42,B,grouped,5,3,3,,3,round_group,0.8390146308033983,rf,0.8302798794299662,0.0087347513734321,0.8302798794299662,0.8175338812561146,0.8055202392268266,3,R2,ood
g0_R2_to_R3,42,A,random,5,5,5,,1,time_block,0.5299871054191254,rf,0.5525575101442647,-0.0225704047251392,0.5525575101442647,0.5099109073505381,0.5140156135541126,1,R3,ood
g0_R2_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.5299871054191254,rf,0.5525575101442647,-0.0225704047251392,0.5525575101442647,0.5099109073505381,0.5140156135541126,1,R3,ood
g0_R2_to_R3,42,B,grouped,5,5,5,,1,time_block,0.5293501963392562,rf,0.5525575101442647,-0.0232073138050085,0.5525575101442647,0.5099109073505381,0.5140156135541126,1,R3,ood
g0_R4_to_R3,42,A,random,5,5,5,,1,time_block,0.4585048844906312,rf,0.5446164842506234,-0.0861115997599921,0.5446164842506234,0.4356311810932153,0.4422526059827773,1,R3,ood
g0_R4_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.4585048844906312,rf,0.5446164842506234,-0.0861115997599921,0.5446164842506234,0.4356311810932153,0.4422526059827773,1,R3,ood
g0_R4_to_R3,42,B,grouped,5,5,5,,1,time_block,0.4844014353587942,rf,0.5446164842506234,-0.0602150488918291,0.5446164842506234,0.4356311810932153,0.4422526059827773,1,R3,ood
g0_R5_to_R3,42,A,random,5,5,5,,1,time_block,0.4223660765310806,rf,0.4208508781389978,0.0015151983920828,0.4208508781389978,0.4150001609842645,0.4189909127094086,1,R3,ood
g0_R5_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.4223660765310806,rf,0.4208508781389978,0.0015151983920828,0.4208508781389978,0.4150001609842645,0.4189909127094086,1,R3,ood
g0_R5_to_R3,42,B,grouped,5,5,5,,1,time_block,0.4155173663407531,rf,0.4208508781389978,-0.0053335117982447,0.4208508781389978,0.4150001609842645,0.4189909127094086,1,R3,ood
g0_R6_to_R3,42,A,random,5,5,5,,1,time_block,0.5672230797964267,rf,0.7111009983885002,-0.1438779185920734,0.7111009983885002,0.5120169031130251,0.5761986739072285,1,R3,ood
g0_R6_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.5672230797964267,rf,0.7111009983885002,-0.1438779185920734,0.7111009983885002,0.5120169031130251,0.5761986739072285,1,R3,ood
g0_R6_to_R3,42,B,grouped,5,5,5,,1,time_block,0.5854843198041717,rf,0.7111009983885002,-0.1256166785843284,0.7111009983885002,0.5120169031130251,0.5761986739072285,1,R3,ood
g0_R7_to_R3,42,A,random,5,5,5,,1,time_block,0.3829993718627962,rf,0.6655966061537787,-0.2825972342909825,0.6655966061537787,0.3356449806544883,0.3432539455547571,1,R3,ood
g0_R7_to_R3,42,A_prime,random,5,5,5,True,1,time_block,0.3829993718627962,rf,0.6655966061537787,-0.2825972342909825,0.6655966061537787,0.3356449806544883,0.3432539455547571,1,R3,ood
g0_R7_to_R3,42,B,grouped,5,5,5,,1,time_block,0.3998156734181974,rf,0.6655966061537787,-0.2657809327355812,0.6655966061537787,0.3356449806544883,0.3432539455547571,1,R3,ood
g0_R2_R4_to_R3,42,A,random,5,5,2,,2,round_group,0.5454822508677128,rf,0.6148161314237031,-0.0693338805559902,0.6148161314237031,0.5331577734068969,0.552736123006713,2,R3,ood
g0_R2_R4_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.557861225176165,rf,0.6148161314237031,-0.056954906247538,0.6148161314237031,0.5331577734068969,0.552736123006713,2,R3,ood
g0_R2_R4_to_R3,42,B,grouped,5,2,2,,2,round_group,0.4907165901894059,rf,0.6148161314237031,-0.1240995412342971,0.6148161314237031,0.5331577734068969,0.552736123006713,2,R3,ood
g0_R2_R5_to_R3,42,A,random,5,5,2,,2,round_group,0.5784854775329231,rf,0.621243250606439,-0.0427577730735159,0.621243250606439,0.5748322179300513,0.570735228208917,2,R3,ood
g0_R2_R5_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5853023779884186,rf,0.621243250606439,-0.0359408726180204,0.621243250606439,0.5748322179300513,0.570735228208917,2,R3,ood
g0_R2_R5_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6397553448015298,rf,0.621243250606439,0.0185120941950908,0.621243250606439,0.5748322179300513,0.570735228208917,2,R3,ood
g0_R2_R6_to_R3,42,A,random,5,5,2,,2,round_group,0.5938693046573407,rf,0.6453461755964374,-0.0514768709390967,0.6453461755964374,0.5740933477218507,0.5811342427150084,2,R3,ood
g0_R2_R6_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5935555295792178,rf,0.6453461755964374,-0.0517906460172196,0.6453461755964374,0.5740933477218507,0.5811342427150084,2,R3,ood
g0_R2_R6_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6532202993714883,rf,0.6453461755964374,0.0078741237750509,0.6453461755964374,0.5740933477218507,0.5811342427150084,2,R3,ood
g0_R2_R7_to_R3,42,A,random,5,5,2,,2,round_group,0.6254085397013835,rf,0.6447758029004468,-0.0193672631990632,0.6447758029004468,0.630138495938448,0.6326642017736612,2,R3,ood
g0_R2_R7_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.6282817758943507,rf,0.6447758029004468,-0.016494027006096,0.6447758029004468,0.630138495938448,0.6326642017736612,2,R3,ood
g0_R2_R7_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6543226368260688,rf,0.6447758029004468,0.009546833925622,0.6447758029004468,0.630138495938448,0.6326642017736612,2,R3,ood
g0_R4_R5_to_R3,42,A,random,5,5,2,,2,round_group,0.583051890465451,rf,0.6875333976830007,-0.1044815072175496,0.6875333976830007,0.5622282380784087,0.578239660077562,2,R3,ood
g0_R4_R5_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5801165332311535,rf,0.6875333976830007,-0.1074168644518471,0.6875333976830007,0.5622282380784087,0.578239660077562,2,R3,ood
g0_R4_R5_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6813894473362456,rf,0.6875333976830007,-0.006143950346755,0.6875333976830007,0.5622282380784087,0.578239660077562,2,R3,ood
g0_R4_R6_to_R3,42,A,random,5,5,2,,2,round_group,0.5723448304763854,rf,0.6285415878179144,-0.0561967573415289,0.6285415878179144,0.5612324838366451,0.5772932432430451,2,R3,ood
g0_R4_R6_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5726504534389417,rf,0.6285415878179144,-0.0558911343789726,0.6285415878179144,0.5612324838366451,0.5772932432430451,2,R3,ood
g0_R4_R6_to_R3,42,B,grouped,5,2,2,,2,round_group,0.5712619529166204,rf,0.6285415878179144,-0.0572796349012939,0.6285415878179144,0.5612324838366451,0.5772932432430451,2,R3,ood
g0_R4_R7_to_R3,42,A,random,5,5,2,,2,round_group,0.583162441505056,rf,0.652246042240362,-0.0690836007353059,0.652246042240362,0.5660780049230001,0.5775545232118435,2,R3,ood
g0_R4_R7_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.5832491152366465,rf,0.652246042240362,-0.0689969270037155,0.652246042240362,0.5660780049230001,0.5775545232118435,2,R3,ood
g0_R4_R7_to_R3,42,B,grouped,5,2,2,,2,round_group,0.7667112077831433,rf,0.652246042240362,0.1144651655427813,0.652246042240362,0.5660780049230001,0.5775545232118435,2,R3,ood
g0_R5_R6_to_R3,42,A,random,5,5,2,,2,round_group,0.7481227059099798,lightgbm,0.7509376862628045,-0.0028149803528247,0.7433204756937558,0.7302062279690171,0.7509376862628045,2,R3,ood
g0_R5_R6_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.7505866812543356,lightgbm,0.7509376862628045,-0.0003510050084689,0.7433204756937558,0.7302062279690171,0.7509376862628045,2,R3,ood
g0_R5_R6_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6424746109934769,lightgbm,0.7509376862628045,-0.1084630752693276,0.7433204756937558,0.7302062279690171,0.7509376862628045,2,R3,ood
g0_R5_R7_to_R3,42,A,random,5,5,2,,2,round_group,0.775961594189052,rf,0.7773063715367468,-0.0013447773476947,0.7773063715367468,0.7539659856323687,0.7550938650522091,2,R3,ood
g0_R5_R7_to_R3,42,A_prime,random,2,2,2,True,2,round_group,0.7785510456740395,rf,0.7773063715367468,0.0012446741372927,0.7773063715367468,0.7539659856323687,0.7550938650522091,2,R3,ood
g0_R5_R7_to_R3,42,B,grouped,5,2,2,,2,round_group,0.6079473348509291,rf,0.7773063715367468,-0.1693590366858176,0.7773063715367468,0.7539659856323687,0.7550938650522091,2,R3,ood
g0_R6_R7_to_R3,42,A,random,5,5,2,,2,round_group,0.6025494665009025,rf,0.7419949386364052,-0.1394454721355027,0.7419949386364052,0.5597205384234974,0.6204807939784249,2,R3,ood
