task,seed,A,A_prime,B,fold_effect_A_to_Aprime,group_effect_Aprime_to_B,total_A_to_B
g0_R3_R4_R7_to_R6,42,-0.006179750330995,-0.0126471191117499,-0.0878949208083018,-0.006467368780754899,-0.0752478016965519,-0.08171517047730681
g0_R3_R4_to_R2,42,-0.019263761556353,-0.0178343239691314,-0.1727789160991925,0.0014294375872215999,-0.1549445921300611,-0.15351515454283948
g0_R3_R4_to_R5,42,-0.0036908222479714,-0.0072259762269459,-0.0436381846980519,-0.0035351539789744996,-0.036412208471105996,-0.0399473624500805
g0_R3_R4_to_R6,42,-0.0462650448908006,-0.0419380631623942,-0.1742119215834836,0.004326981728406398,-0.13227385842108938,-0.12794687669268298
g0_R3_R4_to_R7,42,-0.0793378884798527,-0.07598482196228,-0.2178572785990594,0.003353066517572695,-0.1418724566367794,-0.13851939011920672
g0_R3_R5_R6_to_R2,42,-0.0966420179850282,-0.0978736556603164,0.0420604128689362,-0.001231637675288208,0.1399340685292526,0.1387024308539644
g0_R3_R5_R6_to_R4,42,-0.1014193408029185,-0.0997320630076654,0.0091227305326481,0.0016872777952531004,0.10885479354031351,0.11054207133556661
g0_R3_R5_R6_to_R7,42,0.0007795925043236,0.0003641473561469,-0.129439690077926,-0.0004154451481767,-0.1298038374340729,-0.1302192825822496
g0_R3_R5_R7_to_R2,42,-0.0924797722399795,-0.0891603155371072,0.0280789497648928,0.0033194567028723004,0.11723926530199999,0.1205587220048723
g0_R3_R5_R7_to_R4,42,-0.1060196629030357,-0.1028776999872964,0.0152082691222149,0.003141962915739302,0.1180859691095113,0.1212279320252506
g0_R3_R5_R7_to_R6,42,-0.0026129316227642,-0.0026584126885493,-0.111122705996986,-4.5481065785099584e-05,-0.1084642933084367,-0.1085097743742218
g0_R3_R5_to_R2,42,-0.0594145148818524,-0.0587858846222348,0.0873403251159132,0.0006286302596175963,0.146126209738148,0.14675483999776562
g0_R3_R5_to_R4,42,-0.014157534646805,-0.0115152361898293,0.1470192814336699,0.0026422984569757,0.1585345176234992,0.1611768160804749
g0_R3_R5_to_R6,42,-0.0450711414225659,-0.0342062433369975,0.0837553637952436,0.010864898085568404,0.1179616071322411,0.1288265052178095
g0_R3_R5_to_R7,42,-0.0704032081341408,-0.060835972954112,0.0487840283558413,0.009567235180028805,0.10962000130995331,0.11918723648998211
g0_R3_R6_R7_to_R2,42,-0.0945752739438984,-0.0956185795970642,-0.1187578552532353,-0.0010433056531657936,-0.023139275656171104,-0.024182581309336898
g0_R3_R6_R7_to_R4,42,-0.1330620945279509,-0.1300361234909117,-0.080860182576904,0.0030259710370391935,0.049175940914007704,0.0522019119510469
g0_R3_R6_R7_to_R5,42,-0.0152132966653849,-0.0163040044690568,-0.1413882139966968,-0.0010907078036719014,-0.12508420952764,-0.1261749173313119
g0_R3_R6_to_R2,42,-0.0943827143016828,-0.0840744726920945,0.0474005982002683,0.010308241609588292,0.1314750708923628,0.1417833125019511
g0_R3_R6_to_R4,42,-0.067596751355185,-0.0566996555173472,0.140750264118721,0.010897095837837802,0.1974499196360682,0.208347015473906
g0_R3_R6_to_R5,42,-0.0165879000883429,-0.0251281988614994,-0.1075000353696813,-0.008540298773156499,-0.08237183650818189,-0.09091213528133839
g0_R3_R6_to_R7,42,-0.0043338734111819,-0.0038823037234837,-0.154411856094083,0.0004515696876982002,-0.1505295523705993,-0.1500779826829011
g0_R3_R7_to_R2,42,-0.0958893284772668,-0.0894641239851352,-0.0344288673518509,0.006425204492131603,0.055035256633284305,0.06146046112541591
g0_R3_R7_to_R4,42,-0.1244951461717649,-0.1243974772681676,0.0841457999563879,9.766890359728941e-05,0.2085432772245555,0.20864094612815282
g0_R3_R7_to_R5,42,-0.0258790401868248,-0.0228085301468279,-0.1451123125631738,0.0030705100399969,-0.1223037824163459,-0.11923327237634901
g0_R3_R7_to_R6,42,-0.0182565416111761,-0.0187398190408245,-0.2359054284845015,-0.0004832774296484009,-0.217165609443677,-0.2176488868733254
g0_R3_to_R2,42,-0.0142578583795565,-0.0142578583795565,-0.0136321023454759,0.0,0.0006257560340806011,0.0006257560340806011
g0_R3_to_R4,42,-0.0003050709453887,-0.0003050709453887,0.0017795234633472,0.0,0.0020845944087359,0.0020845944087359
g0_R3_to_R5,42,0.0001576668339406,0.0001576668339406,0.0005145339731664,0.0,0.00035686713922579997,0.00035686713922579997
g0_R3_to_R6,42,-0.0878101800880321,-0.0878101800880321,-0.0604557649156728,0.0,0.0273544151723593,0.0273544151723593
g0_R3_to_R7,42,-0.0809104611175938,-0.0809104611175938,-0.0558881536290896,0.0,0.025022307488504196,0.025022307488504196
g0_R4_R5_R6_to_R2,42,-0.0081299445298634,-0.0056568572482724,-0.0289577439075371,0.0024730872815909993,-0.023300886659264698,-0.0208277993776737
g0_R4_R5_R6_to_R3,42,-0.0560938431686551,-0.0523178480749254,0.0248140719777647,0.003775995093729702,0.0771319200526901,0.0809079151464198
g0_R4_R5_R6_to_R7,42,-0.0005667550700362,-7.60350348082417e-05,-0.0721564784837197,0.0004907200352279583,-0.07208044344891146,-0.0715897234136835
g0_R4_R5_R7_to_R2,42,-0.0053159723130186,-0.0019004288161247,-0.0513493401241902,0.0034155434968939,-0.0494489113080655,-0.0460333678111716
g0_R4_R5_R7_to_R3,42,-0.0713810570169036,-0.0741554709162239,0.0407677422069203,-0.002774413899320302,0.11492321312314421,0.1121487992238239
g0_R4_R5_R7_to_R6,42,-0.0005899473235623,-0.0028495969279671,-0.0466200749273187,-0.0022596496044048004,-0.0437704779993516,-0.046030127603756396
g0_R4_R5_to_R2,42,-0.0148840606315502,-0.01346264375343,-0.1104356087703867,0.0014214168781201998,-0.09697296501695671,-0.0955515481388365
g0_R4_R5_to_R3,42,-0.1044815072175496,-0.1074168644518471,-0.006143950346755,-0.0029353572342974976,0.10127291410509211,0.09833755687079461
g0_R4_R5_to_R6,42,-0.0051897256711801,-0.0083413973589573,-0.0104192136169761,-0.0031516716877771998,-0.0020778162580188005,-0.005229487945796
g0_R4_R5_to_R7,42,-0.0198528787215693,-0.0183933984753624,-0.0052738025524959,0.0014594802462069012,0.0131195959228665,0.014579076169073401
g0_R4_R6_R7_to_R2,42,-0.0070129878822595,-0.0077083031877727,-0.0179790898079909,-0.0006953153055132,-0.0102707866202182,-0.0109661019257314
g0_R4_R6_R7_to_R3,42,-0.0892599894729602,-0.0865148343655458,-0.0761902009574223,0.002745155107414396,0.010324633408123507,0.013069788515537903
g0_R4_R6_R7_to_R5,42,0.0008967192052539,0.0017713467516229,-0.0074650752951248,0.0008746275463690001,-0.0092364220467477,-0.0083617945003787
g0_R4_R6_to_R2,42,-0.0139267283419576,-0.0179481872335056,-0.2143667616333402,-0.004021458891548001,-0.1964185743998346,-0.2004400332913826
g0_R4_R6_to_R3,42,-0.0561967573415289,-0.0558911343789726,-0.0572796349012939,0.00030562296255630395,-0.0013885005223212982,-0.0010828775597649942
g0_R4_R6_to_R5,42,-0.0276554718128894,-0.0371777867140584,-0.1876064749875736,-0.009522314901169001,-0.1504286882735152,-0.1599510031746842
g0_R4_R6_to_R7,42,0.004650711385555,0.0062473477055066,-0.0493735244919729,0.0015966363199515993,-0.0556208721974795,-0.0540242358775279
g0_R4_R7_to_R2,42,-0.0458699081022078,-0.0438947365689263,-0.2233035949745523,0.0019751715332815,-0.17940885840562598,-0.1774336868723445
g0_R4_R7_to_R3,42,-0.0690836007353059,-0.0689969270037155,0.1144651655427813,8.667373159039482e-05,0.1834620925464968,0.1835487662780872
g0_R4_R7_to_R5,42,-0.0144253269552735,-0.0016195539779931,-0.2482353900732354,0.012805772977280399,-0.2466158360952423,-0.2338100631179619
g0_R4_R7_to_R6,42,-0.0138829805258576,-0.0051441958345316,-0.1918320010370514,0.008738784691326,-0.1866878052025198,-0.1779490205111938
g0_R4_to_R2,42,-0.1482575702456489,-0.1482575702456489,-0.1152822063331974,0.0,0.0329753639124515,0.0329753639124515
