feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
len_p75,0.5096689113026955,True,False,0.010337868218961472,0.0030944368347138973,0.6042185601379072,0.15472517367735475,0.08101166157627579,0.27998513179717927,True
len_p50,0.45672285887537756,True,False,0.011229165583129152,0.0037879430276387006,0.5414503848516171,0.16806507476219046,0.09916749800247643,0.26956098587209465,True
down_len_std,0.3090564852852715,True,False,0.017682193666979814,0.006432537937481518,0.3663901415196274,0.2646464849592479,0.16840239898320244,0.26647967515402593,True
other_packet_ratio,0.21488873669677755,True,False,0.018405968866303583,0.008791710007560826,0.2547531548371569,0.27547910935015757,0.2301649941014632,0.2534657527629259,True
rssi_mean,0.20106047483481637,True,False,0.01966583025449057,0.008551024871815254,0.23835958582371974,0.29433524757593654,0.22386391128577116,0.2521862482284758,True
down_ia_mean,0.3939626155693188,True,False,0.011815882128177402,0.003966231673076547,0.46704736947568004,0.17684636481244106,0.1038350547110427,0.24924292966638795,True
len_iqr,0.36231039161655776,True,False,0.010789604107501969,0.004004684946468822,0.42952328127297335,0.16148623043783106,0.10484175277500335,0.23195042149526923,True
len_cv,0.20269015793556378,True,False,0.01665716957668723,0.006072293782018718,0.24029159453521415,0.24930511795448207,0.15897128787445625,0.2161893334547175,True
interarrival_p75,0.3303175306733692,True,False,0.011439331527750712,0.002971907710092395,0.39159536386404775,0.17121059389571863,0.07780387660366954,0.21353661145447864,True
retry_ratio,0.14466116241459348,True,False,0.015599674770892167,0.008231623246065245,0.17149752971711094,0.23347776709026505,0.21550204843502585,0.20682578174746727,True
unique_da_count,0.2300974508734086,True,False,0.01320344595515098,0.004984912043632647,0.27278326649899093,0.1976138044401895,0.1305038781001994,0.20030031634645995,True
packet_count,0.19385665847525058,True,False,0.013686818996762466,0.005077633021926887,0.22981937579374273,0.20484836926827565,0.13293129249442104,0.18919967918547984,True
down_len_p50,0.283507162313954,True,False,0.01007417326555744,0.002763642097803157,0.33610111506366713,0.1507784946716729,0.0723515296333002,0.18641037978954675,True
interarrival_p90,0.24924982018635822,True,False,0.010457160403776472,0.003443321454255616,0.2954886282600638,0.15651060019111102,0.09014538258502748,0.18071487034540076,True
