variant,cpd_dir_variant,model,target_env,n_test,n_train,mse
sens_recall_3model,lenient,M0_sub,R3,22,97,0.009009283361780387
sens_recall_3model,lenient,M0_sub,R4,18,101,0.009821332211502422
sens_recall_3model,lenient,M0_sub,R5,22,97,0.007557238067530981
sens_recall_3model,lenient,M0_sub,R6,18,101,0.0052704687402292125
sens_recall_3model,lenient,M0_sub,R7,18,101,0.007745080448540286
sens_recall_3model,lenient,M2,R2,21,98,0.012932387494379657
sens_recall_3model,lenient,M2,R3,22,97,0.007982818140152344
sens_recall_3model,lenient,M2,R4,18,101,0.011781190445632335
sens_recall_3model,lenient,M2,R5,22,97,0.007712724824662842
sens_recall_3model,lenient,M2,R6,18,101,0.0053529199457097556
sens_recall_3model,lenient,M2,R7,18,101,0.008302471175867432
