replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_strict
1564,0.16346349277648797,0.17805578856385262,0.9363925130210131,0.9759847783118301,0.01459229578736465,0.03959226529081694,-0.28567284940303195,-0.1636467856499994,-0.3867312869108512,0.1006578112432053,0.018596377624583438,0.8621382193959779,-0.5204434653802892,0.4460115378827227,0.3349810723084874,-1.0421162990014978,-0.9605511825035541,-0.10176609833538652,-1.1261824806041432e-14,-0.020734907669012093,1.1984053009008164,-0.3106095481519664
1565,0.17791385646338098,0.1836924095561685,0.8826452391497728,0.8924271825233479,0.0057785530927875195,0.009781943373575075,-0.22034550445917367,-0.43557077047910486,-0.2682653812156327,0.0944549801654215,-0.02842845905632549,1.7352402015799058,-0.8995426134148208,-0.2255762771504297,-0.1515726551810035,-0.9629992853863013,-1.1761912549436775,-0.23278578449441237,-6.661338147750939e-16,0.24279909303445224,1.5745215106215877,-0.34883759625666777
1566,0.18441234984285038,0.18550440319397588,0.4051584991973761,0.6366450766648653,0.0010920533511254993,0.23148657746748913,-0.36334533829351334,0.06109619664075032,-0.19734062309463668,0.08218623763680527,0.011450324069036594,1.4474033998289841,-0.7210114668400216,-0.10945880041223363,-0.19386950659816282,-0.8014972901557927,-0.4886769329061965,-0.3752817559503016,1.1102230246251565e-16,0.14640768235189316,1.0089101569301078,-0.5174682307309375
1567,0.17201918885020495,0.1817532896647196,0.8881015697329164,0.9701811475922231,0.009734100814514646,0.08207957785930664,-0.34351205829674963,-0.06463208871212933,-0.3401393344431596,0.10062502389746199,-0.034113541055685696,1.0691532655329519,-0.6926354685751736,0.3647452208919311,0.2969509677143394,-0.7820954937417226,-0.8170529224927306,-0.1870008537525325,2.7755575615628914e-17,-0.0743276138404778,1.0251708830743556,-0.38335907882690146
1568,0.1809835928449398,0.20201920932194828,0.8053238278292434,0.8434056708753411,0.021035616477008467,0.03808184304609774,-0.2164834699436016,0.10863777800924496,-0.14632216448368446,0.1284323321398474,0.036568354958188096,1.2551786357955634,-0.46525336720571,-0.4171746781541179,-0.004207916556359732,-0.8493621776214759,-0.6689889665775121,-0.4109227310648638,-4.440892098500626e-16,0.2978182721400673,1.3881590209114234,-0.30725698984181393
1569,0.18805377354142017,0.2360759448422477,0.7314866772551998,0.7668843831145171,0.04802217130082753,0.03539770585931734,-0.10836989183569286,-0.16903335696837946,-0.06906651090902376,0.24668263423350562,-0.31225450581624387,1.6427573886662987,-1.0750587551556108,-0.5601430842100504,-0.5952127766699782,-0.9389822388689547,-1.2682446901005757,0.15383215635449835,1.0130785099704553e-15,0.8241569983419894,0.2641127611581269,-0.78988666109215
1570,0.09420197897280957,0.11835575895723671,0.6029336032904419,0.7298703008953598,0.024153779984427137,0.12693669760491788,-0.35496263471724343,-0.2039454056550556,-0.1429734865312964,0.020333655020078,-0.11367051287067373,1.5727582164266187,-0.6557770738291181,-0.4128645367411429,-0.7553234043271992,-1.2029652584982409,-1.6939123985604092,0.2826490420070174,-2.4424906541753444e-15,0.9928179969715641,0.6515220867631155,-0.8547978854556952
1571,0.13450310413066502,0.1571984194866729,0.6596590790911196,0.7398111747482436,0.022695315356007884,0.080152095657124,-0.21628518363410265,0.03625000790545882,-0.055313974845725394,0.17226940181185227,-0.17820434968368856,1.4034201455038515,-0.812355547595677,-0.4231791075191401,-0.341017115824056,-0.8967803410906696,-0.5431050011376063,-0.4397589084103873,2.220446049250313e-16,0.0713337134066292,1.0928050336049067,-0.41104601501583127
1572,0.16867702435533038,0.18408406425005652,0.6822590990329713,0.7042770181237259,0.015407039894726138,0.022017919090754567,-0.21490049262544492,0.06971592595944177,-0.09596521581279108,0.19042396356682756,-0.23788310222391612,1.4770708403478368,-0.9759666868456485,-0.3724784442945528,1.244345267005452,-0.3449474232967635,-1.8909057346752687,0.39213244614605863,-3.774758283725532e-15,0.2879647960422872,-0.09515762367342495,-0.21410723305363064
1573,0.1880537735414205,0.23607594484224792,0.7314866772551998,0.7668843831145171,0.04802217130082742,0.03539770585931734,-0.10836989183569351,-0.1690333569683794,-0.06906651090902385,0.24668263423350562,-0.31225450581624464,1.6427573886662987,-1.075058755155611,-0.5601430842100507,-0.5952127766699773,-0.9389822388689546,-1.268244690100574,0.15383215635449587,1.9984014443252818e-15,0.8241569983419859,0.2641127611581301,-0.7898866610921489
