replicate,r2_M0,r2_M1,r2_M0_sub,r2_M2,dr2_M1_vs_M0,dr2_M2_vs_M0sub,beta_M1_d_recall_Camera,beta_M1_d_recall_Light_T1,beta_M1_d_recall_Light_XM,beta_M1_d_recall_Sensor,beta_M1_d_recall_Socket,beta_M1_d_recall_l2,beta_M1_d_recall_max,beta_M1_cpd_y,beta_M2_d_recall_Camera,beta_M2_d_recall_Light_T1,beta_M2_d_recall_Light_XM,beta_M2_d_recall_Sensor,beta_M2_d_recall_Socket,beta_M2_d_recall_l2,beta_M2_d_recall_max,beta_M2_cpd_dir_lenient
2490,0.13759569850352416,0.13759730405768622,0.34591778355096603,0.3982364337181724,1.6055541620652036e-06,0.05231865016720638,-0.27851388415452916,-0.1836491703797384,-0.2184381833464246,0.10558880626429976,-0.005203292829349282,1.2364923432200599,-0.6422573348417366,-0.003930243289288177,-0.23228487968299416,-0.6886777355998122,0.06381068768855194,-0.4711378399174256,0.035969186936048586,0.09481296048544618,0.898532907042511,-0.25795933606643356
2491,0.19244093602774526,0.1935399925526451,0.37000130573637435,0.49372427890474613,0.001099056524899833,0.12372297316837177,-0.2062281131228776,-0.22085796233026941,-0.3138761462979399,0.0630936166779749,-0.28792344051022206,1.448452876986578,-0.9346596111068957,-0.10560251124678206,-0.49053869897979735,-0.664720945089839,-0.04813193008137184,-0.5134270286181298,-0.27994452767076455,0.25541773334614665,0.6418811300032773,-0.4280380708223107
2492,0.23680622119133654,0.2701862829280324,0.340107211175279,0.4963980109090643,0.03338006173669583,0.15629079973378535,0.04738777246520709,-0.27589149743075914,-0.1067222526917316,0.30148218948061434,-0.2504740168631599,1.6434032482570657,-1.1668309358371518,-0.49570817521797633,-0.23633496026188225,-0.3025177699266816,-0.12066985898684646,-0.17306157650057058,-0.5691392091331554,0.3646967535831545,-0.02877579783605012,-0.4070148501593899
2493,0.15434452393819165,0.17289716377595798,0.12865222800690512,0.2081083883711785,0.018552639837766338,0.07945616036427339,-0.3193831902902123,0.15303768036367743,-0.04007472602035099,0.1458048532399608,-0.05850381968101532,1.6122941596808988,-0.8908275396747534,-0.4197822521679889,-0.3374025834941661,-0.5270270245248705,-0.05749066580963075,-0.489980223631507,-0.09545376474233969,0.22765953218069307,0.790942473885616,-0.3080744420856059
2494,0.1025935734765735,0.12585906789314738,0.12176034133377345,0.26147993736499275,0.023265494416573884,0.1397195960312193,-0.263160963941623,-0.0046698085922631805,-0.06780224754303085,0.08718980374570237,-0.09959672299015598,1.0766782589895816,-0.38047566393450755,-0.38745023543104984,-0.34189701357983704,-0.2671225562929346,-0.16148939224759146,-0.23689070298946077,-0.21202679760000193,-0.09287280716985787,0.6067386038940852,-0.4264002291265249
2495,0.16250484851292135,0.16802379864129247,0.1082118819531862,0.18928462976653004,0.005518950128371114,0.08107274781334384,-0.23339141464466812,0.06640349299456982,-0.20192489997250182,0.12422983374727953,-0.07018696511200295,1.1995056098281225,-0.5556862082934776,-0.23105708803776723,-0.3071507478849775,-0.1115142362913516,-0.1517048619688155,-0.13241200661205083,-0.20426489975282103,0.04927823223008754,0.41719403573848235,-0.31490815557496893
2496,0.16529966837964372,0.1981777642515571,0.15559274126145672,0.25340824822683394,0.03287809587191337,0.09781550696537722,-0.14852625732320635,0.08190870699172409,-0.11184074929952992,0.1467877089905546,-0.14564849677643835,1.3055704571202535,-0.5995919520776848,-0.5186257482957828,-0.3038339691430477,-0.1282071303789648,-0.18940150707251435,-0.13550911565236304,-0.3693695108819347,0.1729701575571531,0.2815255741508216,-0.3289797055499937
2497,0.16250484851292146,0.16802379864129258,0.1082118819531862,0.18928462976653004,0.005518950128371114,0.08107274781334384,-0.2333914146446679,0.06640349299456902,-0.20192489997250204,0.12422983374727915,-0.0701869651120034,1.199505609828123,-0.5556862082934753,-0.23105708803776867,-0.3071507478849759,-0.11151423629135121,-0.15170486196881589,-0.13241200661204908,-0.20426489975281975,0.049278232230086705,0.41719403573848113,-0.31490815557496854
2498,0.30561313310025373,0.30581112074920513,0.163790052181239,0.22756785717175887,0.0001979876489514032,0.06377780499051988,-0.19439440063944968,0.07060225921918414,-0.3446137052736761,0.20339884681075798,0.1807246652985376,1.4424309785560645,-0.7598716597020777,-0.05258086543377723,-0.3104754226602861,-0.07738513723360524,-0.19919962027442498,-0.038833825055300156,0.10432879292086676,0.18461733632525346,0.2739671942666613,-0.2794538124076154
2499,0.15249094370529104,0.1665156819031196,0.1356172567218995,0.25454994251986895,0.014024738197828568,0.11893268579796945,-0.22626064808638846,0.0041184582132104686,-0.18965460194122163,0.17297095920719563,-0.20571039431691868,1.304092133460606,-0.7317858242350973,-0.3379475427712061,-0.1603156222004068,-0.5757050304562732,-0.3320207547112648,-0.2562543582269064,-0.30109246358011155,-0.2976668269579478,0.7735746434943165,-0.3970697815524661
