variant,task,n_sources,source_envs,target_env,n_ref,n_ref_dir_defined,cpd_dir_strict,cpd_dir_lenient,per_ref_cpd_dir,dir_included_rows,defined_strict,defined_lenient
primary,g0_R6_R7_to_R4,2,R6;R7,R4,2,2,1.591211799192152,1.591211799192152,1.5613635053471844;1.6210600930371193,Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R3_R5_to_R4,3,R2;R3;R5,R4,3,0,,,nan;nan;nan,||,False,False
primary,g0_R2_R3_R6_to_R4,3,R2;R3;R6,R4,3,1,,0.8520766743684123,nan;nan;0.8520766743684123,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R3_R7_to_R4,3,R2;R3;R7,R4,3,1,,0.9548063570084644,nan;nan;0.9548063570084644,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R5_R6_to_R4,3,R2;R5;R6,R4,3,1,,0.8074773273070784,nan;nan;0.8074773273070784,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R5_R7_to_R4,3,R2;R5;R7,R4,3,1,,0.7470556223223708,nan;nan;0.7470556223223708,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R6_R7_to_R4,3,R2;R6;R7,R4,3,2,,0.7065282593169704,nan;0.6599187260683977;0.7531377925655429,|Light_T1;Light_XM|Light_T1;Light_XM,False,True
primary,g0_R3_R5_R6_to_R4,3,R3;R5;R6,R4,3,1,,0.8667111761878038,nan;nan;0.8667111761878038,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R5_R7_to_R4,3,R3;R5;R7,R4,3,1,,1.0141397638622072,nan;nan;1.0141397638622072,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R6_R7_to_R4,3,R3;R6;R7,R4,3,2,,0.9862706782773255,nan;0.9168742137120984;1.0556671428425526,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R5_R6_R7_to_R4,3,R5;R6;R7,R4,3,2,,0.8690934422966912,nan;0.8706525161851962;0.8675343684081861,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_to_R5,1,R2,R5,1,0,,,nan,,False,False
primary,g0_R3_to_R5,1,R3,R5,1,0,,,nan,,False,False
primary,g0_R4_to_R5,1,R4,R5,1,1,0.9521276318016708,0.9521276318016708,0.9521276318016708,Light_T1,True,True
primary,g0_R6_to_R5,1,R6,R5,1,1,0.9922478970254961,0.9922478970254961,0.9922478970254961,Light_T1;Light_XM,True,True
primary,g0_R7_to_R5,1,R7,R5,1,1,1.6351930413576914,1.6351930413576914,1.6351930413576914,Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R3_to_R5,2,R2;R3,R5,2,0,,,nan;nan,|,False,False
primary,g0_R2_R4_to_R5,2,R2;R4,R5,2,1,,0.206677191042505,nan;0.206677191042505,|Light_T1,False,True
primary,g0_R2_R6_to_R5,2,R2;R6,R5,2,1,,0.9149071479427144,nan;0.9149071479427144,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R7_to_R5,2,R2;R7,R5,2,1,,0.8669852318806477,nan;0.8669852318806477,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_to_R5,2,R3;R4,R5,2,1,,0.3393371460429916,nan;0.3393371460429916,|Light_T1,False,True
primary,g0_R3_R6_to_R5,2,R3;R6,R5,2,1,,0.9369572734835555,nan;0.9369572734835555,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R7_to_R5,2,R3;R7,R5,2,1,,0.8717517070706076,nan;0.8717517070706076,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R6_to_R5,2,R4;R6,R5,2,2,1.0406136248863593,1.0406136248863593,0.9032660852863409;1.1779611644863779,Light_T1|Light_T1;Light_XM;Sensor,True,True
primary,g0_R4_R7_to_R5,2,R4;R7,R5,2,2,1.1144822455141972,1.1144822455141972,0.9096498834263747;1.31931460760202,Light_T1|Light_T1;Light_XM;Sensor,True,True
primary,g0_R6_R7_to_R5,2,R6;R7,R5,2,2,1.392975440005571,1.392975440005571,1.3570367690236975;1.4289141109874441,Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R3_R4_to_R5,3,R2;R3;R4,R5,3,1,,0.1467099949219042,nan;nan;0.1467099949219042,||Light_T1,False,True
primary,g0_R2_R3_R6_to_R5,3,R2;R3;R6,R5,3,1,,0.5128598932922479,nan;nan;0.5128598932922479,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R3_R7_to_R5,3,R2;R3;R7,R5,3,1,,0.5297302002497132,nan;nan;0.5297302002497132,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R4_R6_to_R5,3,R2;R4;R6,R5,3,2,,0.5219666258479423,nan;0.22752952314253078;0.8164037285533537,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R4_R7_to_R5,3,R2;R4;R7,R5,3,2,,0.4947221912166966,nan;0.13066898573695646;0.8587753966964368,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R6_R7_to_R5,3,R2;R6;R7,R5,3,2,,0.8388395034938181,nan;0.8217270601831358;0.8559519468045005,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_R6_to_R5,3,R3;R4;R6,R5,3,2,,0.4530498186447609,nan;0.3337644466619581;0.5723351906275637,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_R7_to_R5,3,R3;R4;R7,R5,3,2,,0.4153335563268764,nan;0.26516201123063576;0.565505101423117,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R6_R7_to_R5,3,R3;R6;R7,R5,3,2,,0.8550439758340678,nan;0.8633879550936123;0.8466999965745233,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R6_R7_to_R5,3,R4;R6;R7,R5,3,3,1.1068417605032248,1.1068417605032248,0.872939778354765;1.1480450309931;1.2995404721618096,Light_T1|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_to_R6,1,R2,R6,1,0,,,nan,,False,False
primary,g0_R3_to_R6,1,R3,R6,1,0,,,nan,,False,False
primary,g0_R4_to_R6,1,R4,R6,1,1,0.29867856251515557,0.29867856251515557,0.29867856251515557,Light_T1,True,True
primary,g0_R5_to_R6,1,R5,R6,1,0,,,nan,,False,False
primary,g0_R7_to_R6,1,R7,R6,1,1,0.3868362690088597,0.3868362690088597,0.3868362690088597,Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R3_to_R6,2,R2;R3,R6,2,0,,,nan;nan,|,False,False
primary,g0_R2_R4_to_R6,2,R2;R4,R6,2,1,,0.0994353885144689,nan;0.0994353885144689,|Light_T1,False,True
primary,g0_R2_R5_to_R6,2,R2;R5,R6,2,0,,,nan;nan,|,False,False
primary,g0_R2_R7_to_R6,2,R2;R7,R6,2,1,,0.37258293764544,nan;0.37258293764544,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_to_R6,2,R3;R4,R6,2,1,,0.07977628988852965,nan;0.07977628988852965,|Light_T1,False,True
primary,g0_R3_R5_to_R6,2,R3;R5,R6,2,0,,,nan;nan,|,False,False
primary,g0_R3_R7_to_R6,2,R3;R7,R6,2,1,,0.36659819037302704,nan;0.36659819037302704,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_to_R6,2,R4;R5,R6,2,1,,0.19045130147740968,0.19045130147740968;nan,Light_T1|,False,True
primary,g0_R4_R7_to_R6,2,R4;R7,R6,2,2,0.24465551710652939,0.24465551710652939,0.1987924029923702;0.29051863122068855,Light_T1|Light_T1;Light_XM;Sensor,True,True
primary,g0_R5_R7_to_R6,2,R5;R7,R6,2,1,,0.36103363778340325,nan;0.36103363778340325,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R3_R4_to_R6,3,R2;R3;R4,R6,3,1,,0.3299347844619031,nan;nan;0.3299347844619031,||Light_T1,False,True
primary,g0_R2_R3_R5_to_R6,3,R2;R3;R5,R6,3,0,,,nan;nan;nan,||,False,False
primary,g0_R2_R3_R7_to_R6,3,R2;R3;R7,R6,3,1,,0.5330833746637009,nan;nan;0.5330833746637009,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R4_R5_to_R6,3,R2;R4;R5,R6,3,1,,0.08121499292396793,nan;0.08121499292396793;nan,|Light_T1|,False,True
primary,g0_R2_R4_R7_to_R6,3,R2;R4;R7,R6,3,2,,0.3430100220283575,nan;0.30000841272702133;0.3860116313296936,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R5_R7_to_R6,3,R2;R5;R7,R6,3,1,,0.48712666502858815,nan;nan;0.48712666502858815,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_R5_to_R6,3,R3;R4;R5,R6,3,1,,0.10693090263043037,nan;0.10693090263043037;nan,|Light_T1|,False,True
primary,g0_R3_R4_R7_to_R6,3,R3;R4;R7,R6,3,2,,0.4258044252052482,nan;0.3737279646569626;0.4778808857535337,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R5_R7_to_R6,3,R3;R5;R7,R6,3,1,,0.3479060972043942,nan;nan;0.3479060972043942,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_R7_to_R6,3,R4;R5;R7,R6,3,2,,0.27216101056685427,0.16798405132139593;nan;0.37633796981231254,Light_T1||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_to_R7,1,R2,R7,1,0,,,nan,,False,False
primary,g0_R3_to_R7,1,R3,R7,1,0,,,nan,,False,False
primary,g0_R4_to_R7,1,R4,R7,1,1,0.3152636253892404,0.3152636253892404,0.3152636253892404,Light_T1,True,True
primary,g0_R5_to_R7,1,R5,R7,1,0,,,nan,,False,False
primary,g0_R6_to_R7,1,R6,R7,1,1,0.32653356871921996,0.32653356871921996,0.32653356871921996,Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R3_to_R7,2,R2;R3,R7,2,0,,,nan;nan,|,False,False
primary,g0_R2_R4_to_R7,2,R2;R4,R7,2,1,,0.1799413111876208,nan;0.1799413111876208,|Light_T1,False,True
primary,g0_R2_R5_to_R7,2,R2;R5,R7,2,0,,,nan;nan,|,False,False
primary,g0_R2_R6_to_R7,2,R2;R6,R7,2,1,,0.3473440790610811,nan;0.3473440790610811,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_to_R7,2,R3;R4,R7,2,1,,0.10745334314296974,nan;0.10745334314296974,|Light_T1,False,True
primary,g0_R3_R5_to_R7,2,R3;R5,R7,2,0,,,nan;nan,|,False,False
primary,g0_R3_R6_to_R7,2,R3;R6,R7,2,1,,0.46779215953845166,nan;0.46779215953845166,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_to_R7,2,R4;R5,R7,2,1,,0.224923301681986,0.224923301681986;nan,Light_T1|,False,True
primary,g0_R4_R6_to_R7,2,R4;R6,R7,2,2,0.26870737979655973,0.26870737979655973,0.023877363007937937;0.5135373965851815,Light_T1|Light_T1;Light_XM;Sensor,True,True
primary,g0_R5_R6_to_R7,2,R5;R6,R7,2,1,,0.4167671354747404,nan;0.4167671354747404,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R3_R4_to_R7,3,R2;R3;R4,R7,3,1,,0.20443803769050672,nan;nan;0.20443803769050672,||Light_T1,False,True
primary,g0_R2_R3_R5_to_R7,3,R2;R3;R5,R7,3,0,,,nan;nan;nan,||,False,False
primary,g0_R2_R3_R6_to_R7,3,R2;R3;R6,R7,3,1,,0.5805948488870327,nan;nan;0.5805948488870327,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R4_R5_to_R7,3,R2;R4;R5,R7,3,1,,0.15153604941904844,nan;0.15153604941904844;nan,|Light_T1|,False,True
primary,g0_R2_R4_R6_to_R7,3,R2;R4;R6,R7,3,2,,0.2775926142181349,nan;0.11697111049076563;0.4382141179455042,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_R5_R6_to_R7,3,R2;R5;R6,R7,3,1,,0.3032133561782874,nan;nan;0.3032133561782874,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R4_R5_to_R7,3,R3;R4;R5,R7,3,1,,0.010706029955666902,nan;0.010706029955666902;nan,|Light_T1|,False,True
primary,g0_R3_R4_R6_to_R7,3,R3;R4;R6,R7,3,2,,0.14297401294414686,nan;0.1532459324671942;0.13270209342109948,|Light_T1|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R5_R6_to_R7,3,R3;R5;R6,R7,3,1,,0.42325494364867416,nan;nan;0.42325494364867416,||Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_R6_to_R7,3,R4;R5;R6,R7,3,2,,0.3269025404834578,0.02862045654946242;nan;0.6251846244174531,Light_T1||Light_T1;Light_XM;Sensor,False,True
