variant,cpd_dir_variant,cpd_dir_role,model,term,std_beta,boot_ci_lo,boot_ci_hi,n_boot_finite,design_rank_deficient,n_boot_degenerate_replicates_this_model,B
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_l2,-0.5639522737968536,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_max,0.5700819662394383,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_Camera,0.26359201808380417,0.012297452073645854,0.4748107392377949,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_Light_T1,-0.5228044590176982,-0.9153396859934959,0.037542827669888736,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_Light_XM,-0.274124810765366,-0.4062890643303462,0.09819084859444865,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_Sensor,-0.4927325058830027,-0.8875457602693684,-0.32782231791101657,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_Socket,0.07804602179473111,-0.12993642452456672,0.18469456823530495,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_l2,-0.5666167803642003,-1.0356036830889725,-0.17959550161015184,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,d_recall_max,0.9373722272536416,0.5244298414048569,1.520855328990955,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M2,cpd_dir_lenient,-0.7500463254930668,-0.8712918787303954,-0.6657441516663821,10000,False,0,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_Camera,-0.5032089200507472,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_Light_T1,-0.2552268290208197,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_Light_XM,-0.4496876275885364,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_Sensor,-0.16768263796689592,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_Socket,-4.440892098500626e-16,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_l2,1.8652445710285475,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M0,d_recall_max,-0.832754675895577,,,0,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,d_recall_Camera,-0.6508331029945118,-1.7459761624784662,-0.019483685550366496,10000,True,10000,10000
sens_ref_random,strict,parallel_reported,M1,d_recall_Light_T1,-0.3342236410077842,-1.2707163322842994,0.1932805000467525,10000,True,10000,10000
