variant,cpd_dir_variant,cpd_dir_role,stat,boot_mean,boot_sd,ci_lo,ci_hi,n_finite,B,seed,n_degenerate_replicates_any_model,n_degenerate_replicates_by_model,md5
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_Light_XM,0.1602335554202735,0.13401554533240503,-0.09073894894075113,0.42577072892411455,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_Sensor,-0.2767949061244067,0.09837948531102061,-0.4841589707738769,-0.11282418113060541,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_Socket,-0.05097410910271508,0.11607798051908413,-0.3065777010529056,0.1485389334601805,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_l2,2.0187672558533123,0.5829878250604206,1.0276522551970055,3.3064255049614366,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_max,-0.45770582535560317,0.37035553403283916,-1.172609959916354,0.23631081186846417,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_cpd_y,-1.5981593471514657,0.25919580004958426,-2.112382807360094,-1.1451629115567052,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_Camera,0.3213061549762431,0.7012118015007269,-1.0691950947060835,1.1370754876718427,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_Light_T1,-0.22946652127191322,0.5801498969135448,-1.649189905836785,0.38980244761652605,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_Light_XM,0.011914855819689657,0.5074758408831321,-1.489805952259956,0.7329770044250242,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_Sensor,-0.5930316889515201,0.4488866092786365,-1.071007318161088,0.8286074467592508,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_Socket,-2.9081219447531574e-17,2.874398570306103e-15,-2.7200464103316335e-15,2.526017589543624e-15,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_l2,-0.3025441098180557,0.23567977961410966,-0.8279355942261777,0.17109413158339762,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_d_recall_max,0.4164120492306565,0.7830230619634395,-0.35010121953387485,2.7682718822501315,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M2_cpd_dir_strict,-0.6916076116379616,0.4943105114106737,-1.049964323492635,-0.10995570068850541,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,lenient,primary,r2_M0,0.16688130211844882,0.061133938088477925,0.09249398430509548,0.317170931169273,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,r2_M1,0.43592739029649036,0.04796122366858568,0.357482838070858,0.5391427633083359,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,r2_M0_sub,0.26973245230215115,0.07240110145989716,0.17274683066925078,0.4454463274929066,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,r2_M2,0.7174565277925092,0.04015761551727573,0.6550634784140046,0.8192987296983186,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,dr2_M1_vs_M0,0.2690460881780416,0.06730787802015353,0.11948814082448833,0.3958929286085572,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,dr2_M2_vs_M0sub,0.44772407549035814,0.06889518115168075,0.2976604388042904,0.5668006335497533,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_Camera,0.03348815978021066,0.16562740241430474,-0.25185816583821397,0.4056384752149979,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_Light_T1,-0.10463145576245915,0.16947021368568158,-0.5016361738205024,0.18503246555549402,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_Light_XM,0.1602335554202735,0.13401554533240503,-0.09073894894075113,0.42577072892411455,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
sens_dv_a_arm,lenient,primary,beta_M1_d_recall_Sensor,-0.2767949061244067,0.09837948531102061,-0.4841589707738769,-0.11282418113060541,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,c78558574f2ce1afa9ad974af9ac1005
