task,task_type,feature_set,model,status,reason,n_test,n_mismatch,match_rate,n_features,load_warnings,max_abs_rowsum_dev,output
loro_R3_R4_to_R2,fixed_split,all_features,xgboost,ok,,1816,0,1.0,94,,8.645110938232392e-08,results/robust_v2/raw_all/loro_R3_R4_to_R2/all_features/xgboost/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,selected_features,extra_trees,ok,,1816,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/selected_features/extra_trees/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,selected_features,lightgbm,ok,,1816,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/selected_features/lightgbm/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,selected_features,rf,ok,,1816,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/selected_features/rf/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,selected_features,stacking,ok,,1816,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/selected_features/stacking/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,selected_features,xgboost,ok,,1816,0,1.0,60,,8.566348697058856e-08,results/robust_v2/raw_all/loro_R3_R4_to_R2/selected_features/xgboost/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,all_features,extra_trees,ok,,1816,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/all_features/extra_trees/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,all_features,lightgbm,ok,,1816,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/all_features/lightgbm/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,all_features,rf,ok,,1816,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/all_features/rf/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,all_features,stacking,ok,,1816,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/all_features/stacking/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,all_features,xgboost,ok,,1816,0,1.0,94,,8.611095836386085e-08,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/all_features/xgboost/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,selected_features,extra_trees,ok,,1816,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/selected_features/extra_trees/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,selected_features,lightgbm,ok,,1816,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/selected_features/lightgbm/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,selected_features,rf,ok,,1816,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/selected_features/rf/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,selected_features,stacking,ok,,1816,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/selected_features/stacking/pred_proba_rescored_20260829.csv
position_R2_R3_R4_to_R5,fixed_split,selected_features,xgboost,ok,,1816,0,1.0,60,,8.59108695294708e-08,results/robust_v2/raw_all/position_R2_R3_R4_to_R5/selected_features/xgboost/pred_proba_rescored_20260829.csv
single_round_R2,single_round,all_features,extra_trees,ok,,545,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/single_round_R2/all_features/extra_trees/pred_proba_rescored_20260829.csv
single_round_R2,single_round,all_features,lightgbm,ok,,545,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R2/all_features/lightgbm/pred_proba_rescored_20260829.csv
single_round_R2,single_round,all_features,rf,ok,,545,0,1.0,94,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R2/all_features/rf/pred_proba_rescored_20260829.csv
single_round_R2,single_round,all_features,stacking,ok,,545,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R2/all_features/stacking/pred_proba_rescored_20260829.csv
single_round_R2,single_round,all_features,xgboost,ok,,545,0,1.0,94,,8.541974239051342e-08,results/robust_v2/raw_all/single_round_R2/all_features/xgboost/pred_proba_rescored_20260829.csv
single_round_R2,single_round,selected_features,extra_trees,ok,,545,0,1.0,30,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R2/selected_features/extra_trees/pred_proba_rescored_20260829.csv
single_round_R2,single_round,selected_features,lightgbm,ok,,545,0,1.0,30,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R2/selected_features/lightgbm/pred_proba_rescored_20260829.csv
single_round_R2,single_round,selected_features,rf,ok,,545,0,1.0,30,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R2/selected_features/rf/pred_proba_rescored_20260829.csv
single_round_R2,single_round,selected_features,stacking,ok,,545,0,1.0,30,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R2/selected_features/stacking/pred_proba_rescored_20260829.csv
single_round_R2,single_round,selected_features,xgboost,ok,,545,0,1.0,30,,8.647475624457002e-08,results/robust_v2/raw_all/single_round_R2/selected_features/xgboost/pred_proba_rescored_20260829.csv
single_round_R3,single_round,all_features,extra_trees,ok,,552,0,1.0,94,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R3/all_features/extra_trees/pred_proba_rescored_20260829.csv
single_round_R3,single_round,all_features,lightgbm,ok,,552,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R3/all_features/lightgbm/pred_proba_rescored_20260829.csv
single_round_R3,single_round,all_features,rf,ok,,552,0,1.0,94,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R3/all_features/rf/pred_proba_rescored_20260829.csv
single_round_R3,single_round,all_features,stacking,ok,,552,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R3/all_features/stacking/pred_proba_rescored_20260829.csv
single_round_R3,single_round,all_features,xgboost,ok,,552,0,1.0,94,,8.77116690389812e-08,results/robust_v2/raw_all/single_round_R3/all_features/xgboost/pred_proba_rescored_20260829.csv
single_round_R3,single_round,selected_features,extra_trees,ok,,552,0,1.0,30,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R3/selected_features/extra_trees/pred_proba_rescored_20260829.csv
single_round_R3,single_round,selected_features,lightgbm,ok,,552,0,1.0,30,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R3/selected_features/lightgbm/pred_proba_rescored_20260829.csv
single_round_R3,single_round,selected_features,rf,ok,,552,0,1.0,30,,1.1102230246251565e-16,results/robust_v2/raw_all/single_round_R3/selected_features/rf/pred_proba_rescored_20260829.csv
single_round_R3,single_round,selected_features,stacking,ok,,552,0,1.0,30,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R3/selected_features/stacking/pred_proba_rescored_20260829.csv
single_round_R3,single_round,selected_features,xgboost,ok,,552,0,1.0,30,,8.562346920371056e-08,results/robust_v2/raw_all/single_round_R3/selected_features/xgboost/pred_proba_rescored_20260829.csv
single_round_R4,single_round,all_features,extra_trees,ok,,556,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/single_round_R4/all_features/extra_trees/pred_proba_rescored_20260829.csv
single_round_R4,single_round,all_features,lightgbm,ok,,556,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R4/all_features/lightgbm/pred_proba_rescored_20260829.csv
single_round_R4,single_round,all_features,rf,ok,,556,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/single_round_R4/all_features/rf/pred_proba_rescored_20260829.csv
single_round_R4,single_round,all_features,stacking,ok,,556,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R4/all_features/stacking/pred_proba_rescored_20260829.csv
single_round_R4,single_round,all_features,xgboost,ok,,556,0,1.0,94,,8.833012543618679e-08,results/robust_v2/raw_all/single_round_R4/all_features/xgboost/pred_proba_rescored_20260829.csv
single_round_R4,single_round,selected_features,extra_trees,ok,,556,0,1.0,40,,2.220446049250313e-16,results/robust_v2/raw_all/single_round_R4/selected_features/extra_trees/pred_proba_rescored_20260829.csv
single_round_R4,single_round,selected_features,lightgbm,ok,,556,0,1.0,40,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R4/selected_features/lightgbm/pred_proba_rescored_20260829.csv
single_round_R4,single_round,selected_features,rf,ok,,556,0,1.0,40,,2.220446049250313e-16,results/robust_v2/raw_all/single_round_R4/selected_features/rf/pred_proba_rescored_20260829.csv
single_round_R4,single_round,selected_features,stacking,ok,,556,0,1.0,40,,4.440892098500626e-16,results/robust_v2/raw_all/single_round_R4/selected_features/stacking/pred_proba_rescored_20260829.csv
single_round_R4,single_round,selected_features,xgboost,ok,,556,0,1.0,40,,8.466668077744544e-08,results/robust_v2/raw_all/single_round_R4/selected_features/xgboost/pred_proba_rescored_20260829.csv
