task,fold_e_out,lb_rf,lb_xgboost,lb_lightgbm,rho_rf,rho_xgboost,rho_lightgbm,w_rf,w_xgboost,w_lightgbm
g0_R2_R4_R5_to_R7,R7,0.6158027595420854,0.5389083043313059,0.5411524536163957,0.7068853317560146,0.8090487719526642,0.7872572707941701,0.9696439209993614,0.01351310972608245,0.016842969274556092
g0_R2_R4_R6_to_R3,R3,0.547415483717195,0.6263188197915127,0.62422762355223,0.721452288952998,0.8119854340620409,0.809243437525321,0.13417187355999707,0.4388327746873752,0.42699535175262765
g0_R2_R4_R6_to_R5,R5,0.547415483717195,0.6263188197915127,0.62422762355223,0.721452288952998,0.8119854340620409,0.809243437525321,0.014756321110641546,0.5147948252707851,0.4704488536185734
g0_R2_R4_R6_to_R7,R7,0.547415483717195,0.6263188197915127,0.62422762355223,0.721452288952998,0.8119854340620409,0.809243437525321,0.014756321110641546,0.5147948252707851,0.4704488536185734
g0_R2_R4_R7_to_R3,R3,0.6311282716635265,0.662176082048135,0.6623218601444343,0.7214826766622129,0.8033670424383237,0.7970748724918193,0.27223413477035435,0.357622251139163,0.3701436140904827
g0_R2_R4_R7_to_R5,R5,0.6311282716635265,0.662176082048135,0.6623218601444343,0.7214826766622129,0.8033670424383237,0.7970748724918193,0.12819894975642623,0.4274479142938246,0.44435313594974923
g0_R2_R4_R7_to_R6,R6,0.6311282716635265,0.662176082048135,0.6623218601444343,0.7214826766622129,0.8033670424383237,0.7970748724918193,0.12819894975642623,0.4274479142938246,0.44435313594974923
g0_R2_R4_to_R3,R3,0.5879190029361334,0.4460439512776442,0.402877952456142,0.6534848185593742,0.7553352328040235,0.7545324002660101,0.9444159578315753,0.039057230308037184,0.016526811860387527
g0_R2_R4_to_R5,R5,0.5879190029361334,0.4460439512776442,0.402877952456142,0.6534848185593742,0.7553352328040235,0.7545324002660101,0.9993462480620812,0.0005858515057882928,6.790043213074473e-05
g0_R2_R4_to_R6,R6,0.5879190029361334,0.4460439512776442,0.402877952456142,0.6534848185593742,0.7553352328040235,0.7545324002660101,0.9993462480620812,0.0005858515057882928,6.790043213074473e-05
g0_R2_R4_to_R7,R7,0.5879190029361334,0.4460439512776442,0.402877952456142,0.6534848185593742,0.7553352328040235,0.7545324002660101,0.9993462480620812,0.0005858515057882928,6.790043213074473e-05
g0_R2_R5_R6_to_R3,R3,0.28717278364337184,0.28529462155402663,0.2842288058204464,0.8967390733789395,0.911097752414713,0.9145526992884572,0.3832326356175752,0.31777937033037085,0.2989879940520539
g0_R2_R5_R6_to_R4,R4,0.28717278364337184,0.28529462155402663,0.2842288058204464,0.8967390733789395,0.911097752414713,0.9145526992884572,0.3832326356175752,0.31777937033037085,0.2989879940520539
g0_R2_R5_R6_to_R7,R7,0.28717278364337184,0.28529462155402663,0.2842288058204464,0.8967390733789395,0.911097752414713,0.9145526992884572,0.40031991068271666,0.3137618538698499,0.2859182354474335
g0_R2_R5_R7_to_R3,R3,0.2802824004034291,0.2855880410499239,0.2834967732051552,0.8737912752033452,0.9177203928467603,0.9078015211119906,0.3993698404825441,0.2895091569864889,0.31112100253096703
g0_R2_R5_R7_to_R4,R4,0.2802824004034291,0.2855880410499239,0.2834967732051552,0.8737912752033452,0.9177203928467603,0.9078015211119906,0.3993698404825441,0.2895091569864889,0.31112100253096703
g0_R2_R5_R7_to_R6,R6,0.2802824004034291,0.2855880410499239,0.2834967732051552,0.8737912752033452,0.9177203928467603,0.9078015211119906,0.36929217044877366,0.3138943174933427,0.3168135120578836
g0_R2_R5_to_R3,R3,0.5684245705839173,0.5338080577012716,0.5304088190730883,0.8037870734316439,0.8681512817856506,0.8466218427487947,0.5876426359720857,0.19759974703539485,0.2147576169925196
g0_R2_R5_to_R4,R4,0.5684245705839173,0.5338080577012716,0.5304088190730883,0.8037870734316439,0.8681512817856506,0.8466218427487947,0.5876426359720857,0.19759974703539485,0.2147576169925196
g0_R2_R5_to_R6,R6,0.5684245705839173,0.5338080577012716,0.5304088190730883,0.8037870734316439,0.8681512817856506,0.8466218427487947,0.8091559799582773,0.09631468716028442,0.09452933288143828
g0_R2_R5_to_R7,R7,0.5684245705839173,0.5338080577012716,0.5304088190730883,0.8037870734316439,0.8681512817856506,0.8466218427487947,0.8091559799582773,0.09631468716028442,0.09452933288143828
g0_R2_R6_R7_to_R3,R3,0.7518566016731629,0.6190752769431634,0.6153869685376326,0.6148474120853578,0.7076167150781256,0.6910136551042914,0.9044154582053312,0.048235164596140925,0.04734937719852801
