task,fold_e_out,target_env,n_sources,lb_basis,f1_rf,f1_stacking,f1_soft_equal,f1_route_b,f1_soft_calibrated,f1_hard_voting,macro_f1_4class_route_b,worst_class_f1_route_b,accuracy_route_b,gain_vs_stacking,gain_vs_rf,gain_vs_soft_equal,regret_route_b_vs_oracle3,regret_always_rf,regret_always_stacking,regret_always_soft_equal
g0_R2_R3_R7_to_R5,R5,R5,3,per_round_min,0.7084339581405116,0.7347540511052275,0.674011657701729,0.6603827675574926,0.6855392071581774,0.6831025848761574,0.5754784594468657,0.1453287197231834,0.6784140969162996,-0.07437128354773492,-0.04805119058301899,-0.013628890144236405,0.07437128354773492,0.026320092964715935,0.0,0.06074239340349852
g0_R2_R3_R7_to_R6,R6,R6,3,per_round_min,0.7699473908448551,0.7248664928736577,0.807742185714139,0.8080944996538012,0.8086985384655796,0.8085282028376557,0.7601181245672516,0.6843434343434344,0.8053319919517102,0.08322800678014353,0.03814710880894612,0.0003523139396621744,-0.0003523139396621744,0.03779479486928394,0.08287569284048135,0.0
g0_R2_R3_to_R4,R4,R4,2,per_round_min,0.6592117370350504,0.4406293692733776,0.6660248042721603,0.6669286428914676,0.6715747153040648,0.6670954718487193,0.5836608036143345,0.05597964376590331,0.7166756610901241,0.22629927361809,0.0077169058564171555,0.0009038386193073178,-0.0009038386193073178,0.006813067237109838,0.22539543499878267,0.0
g0_R2_R3_to_R5,R5,R5,2,per_round_min,0.6649250626239468,0.6636423394173017,0.6414266505094435,0.6548426395386496,0.6470120518152054,0.6443850158082464,0.568553299423312,0.1935483870967742,0.6607929515418502,-0.008799699878652034,-0.010082423085297165,0.013415989029206155,0.010082423085297165,0.0,0.001282723206645131,0.02349841211450332
g0_R2_R3_to_R6,R6,R6,2,per_round_min,0.5375723002637741,0.4103448508826203,0.6097813897826391,0.5928024579756173,0.6121043783265527,0.6073316135281792,0.4910030724695216,0.0,0.6383299798792756,0.18245760709299697,0.05523015771184314,-0.016978931807021813,0.016978931807021813,0.07220908951886496,0.19943653890001878,0.0
g0_R2_R3_to_R7,R7,R7,2,per_round_min,0.5440584636629346,0.4261717261177626,0.6106884916803896,0.6035518801842781,0.6117054873383939,0.6113450698954801,0.5044398502303475,0.0,0.650275965880582,0.17738015406651547,0.059493416521343434,-0.007136611496111556,0.007136611496111556,0.06663002801745499,0.18451676556262703,0.0
g0_R2_R4_R5_to_R3,R3,R3,3,per_round_min,0.7043397850824636,0.7404482936535585,0.6402362000432686,0.664082952707815,0.6564195917633173,0.6398281247859713,0.5804356961968538,0.23880597014925373,0.6673924877517692,-0.07636534094574343,-0.04025683237464861,0.02384675266454639,0.07636534094574343,0.03610850857109482,0.0,0.10021209361028982
g0_R2_R4_R5_to_R6,R6,R6,3,per_round_min,0.6167828517260407,0.6380317894565277,0.6511981465379663,0.6224782622497665,0.6455900140914803,0.6485776574709199,0.5280978278122082,0.034739454094292806,0.6745472837022133,-0.015553527206761175,0.005695410523725797,-0.028719884288199715,0.028719884288199715,0.03441529481192551,0.01316635708143854,0.0
g0_R2_R4_R5_to_R7,R7,R7,3,per_round_min,0.670764367595287,0.7177476211373202,0.671614830389939,0.6728664083993026,0.6750268173787684,0.6696066162425218,0.5910830104991283,0.06326034063260341,0.7275464124435524,-0.044881212738017595,0.002102040804015548,0.0012515780093635964,0.044881212738017595,0.04698325354203314,0.0,0.04613279074738119
g0_R2_R4_R6_to_R3,R3,R3,3,per_round_min,0.6840850926983947,0.6270308701366376,0.6132650818239225,0.6091605966312421,0.6306312191788621,0.6142645391132425,0.5117827511011377,0.0894854586129754,0.6521502449646163,-0.017870273505395495,-0.07492449606715257,-0.004104485192680363,0.07492449606715257,0.0,0.05705422256175707,0.0708200108744722
g0_R2_R4_R6_to_R5,R5,R5,3,per_round_min,0.6723637119227293,0.583971274645686,0.5658903434953318,0.5557801620464208,0.5860381293146585,0.5690626253244819,0.44472520255802594,0.042666666666666665,0.6013215859030837,-0.02819111259926521,-0.11658354987630848,-0.01011018144891107,0.11658354987630848,0.0,0.08839243727704327,0.10647336842739741
g0_R2_R4_R6_to_R7,R7,R7,3,per_round_min,0.8534222782940016,0.829884566836349,0.872393143056712,0.869917926008027,0.8715538541849892,0.8768515718138215,0.8373974075100337,0.7531486146095718,0.8710486703462117,0.04003335917167794,0.01649564771402534,-0.00247521704868503,0.00247521704868503,0.01897086476271037,0.04250857622036297,0.0
g0_R2_R4_R7_to_R3,R3,R3,3,per_round_min,0.6864867025883405,0.6354659752626322,0.6280739906070163,0.6277683857676188,0.6432482082025699,0.6279408840406401,0.5350424875216085,0.12043010752688173,0.6630375612411541,-0.007697589495013313,-0.058718316820721705,-0.0003056048393974553,0.058718316820721705,0.0,0.05102072732570839,0.05841271198132425
g0_R2_R4_R7_to_R5,R5,R5,3,per_round_min,0.6715114346503079,0.5739070982807319,0.5513533238249377,0.5489909678754572,0.5820691478351145,0.5670090411427205,0.4362387098443215,0.025906735751295335,0.5925110132158591,-0.02491613040527474,-0.12252046677485073,-0.0023623559494805324,0.12252046677485073,0.0,0.097604336369576,0.1201581108253702
g0_R2_R4_R7_to_R6,R6,R6,3,per_round_min,0.7774372232012368,0.7552765655579357,0.7945366768692831,0.7928281139870188,0.8066362074563977,0.7957999867050207,0.7410351424837736,0.6626506024096386,0.7892354124748491,0.03755154842908315,0.015390890785782041,-0.0017085628822642862,0.0017085628822642862,0.017099453668046327,0.039260111311347434,0.0
g0_R2_R4_to_R3,R3,R3,2,per_round_min,0.6148161314237031,0.4907165901894059,0.5480052219973534,0.5961406015120498,0.5619818224899621,0.5482094739130285,0.49550775720214724,0.19123505976095617,0.6205770277626566,0.10542401132264395,-0.01867552991165322,0.048135379514696486,0.01867552991165322,0.0,0.12409954123429717,0.06681090942634971
g0_R2_R4_to_R5,R5,R5,2,per_round_min,0.6343932044908975,0.5170337681281547,0.5420707532995823,0.6345551666371085,0.5538660702533953,0.5445392529542262,0.5431939582963857,0.2794759825327511,0.6459251101321586,0.11752139850895382,0.00016196214621100324,0.09248441333752622,-0.00016196214621100324,0.0,0.11735943636274282,0.09232245119131521
g0_R2_R4_to_R6,R6,R6,2,per_round_min,0.547415483717195,0.4616723301508074,0.6292054883453477,0.547415483717195,0.630971286143962,0.6273190187131668,0.43426935464649363,0.03482587064676617,0.6046277665995976,0.08574315356638756,0.0,-0.08179000462815278,0.08179000462815278,0.08179000462815278,0.16753315819454034,0.0
g0_R2_R4_to_R7,R7,R7,2,per_round_min,0.6311282716635265,0.5003340804398875,0.6636989497840468,0.6311282716635265,0.6629508744687097,0.6617952174257492,0.538910339579408,0.04433497536945813,0.6843953838434521,0.130794191223639,0.0,-0.03257067812052028,0.03257067812052028,0.03257067812052028,0.16336486934415928,0.0
g0_R2_R5_R6_to_R3,R3,R3,3,per_round_min,0.7872241775787381,0.7305607481176638,0.7382112637846358,0.7403373093981706,0.7529873537631313,0.7420954735712076,0.6757536420597982,0.46837146702557203,0.7419706042460533,0.009776561280506746,-0.04688686818056753,0.0021260456135347994,0.04688686818056753,0.0,0.05666342946107428,0.04901291379410233
g0_R2_R5_R6_to_R4,R4,R4,3,per_round_min,0.8352313653335163,0.731916961427629,0.8324678929811367,0.8318527291837142,0.8360794020424882,0.8362309003529719,0.7898159114796429,0.7098765432098766,0.8354020507285483,0.09993576775608526,-0.00337863614980205,-0.0006151637974224355,0.00337863614980205,0.0,0.10331440390588731,0.0027634723523796145
g0_R2_R5_R6_to_R7,R7,R7,3,per_round_min,0.8492038703077757,0.6926024784367819,0.8649049718295977,0.8665645011829707,0.8677084136919342,0.8671373563227316,0.8332056264787133,0.7464788732394366,0.8685398896136478,0.17396202274618877,0.017360630875195016,0.0016595293533729905,-0.0016595293533729905,0.015701101521822025,0.17230249339281578,0.0
g0_R2_R5_R7_to_R3,R3,R3,3,per_round_min,0.7725428960282625,0.784126881776457,0.7363908075335858,0.7364389041880528,0.7527855712112962,0.7370123931657648,0.6708806355471509,0.47435897435897434,0.7370713119216113,-0.04768797758840415,-0.03610399184020974,4.8096654467033595e-05,0.04768797758840415,0.011583985748194414,0.0,0.047736074242871185
g0_R2_R5_R7_to_R4,R4,R4,3,per_round_min,0.8485413852962342,0.7868131366390806,0.8446844498528717,0.8452040773631175,0.8572953216535802,0.849528501589418,0.8065050967038969,0.694300518134715,0.8499730167296277,0.058390940724036944,-0.0033373079331167066,0.0005196275102458126,0.0033373079331167066,0.0,0.06172824865715365,0.003856935443362519
