filter_mode,task,task_type,train_rounds,test_rounds,train_samples,test_samples,feature_set,model,feature_count,accuracy,precision,recall,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,selected_features,extra_trees,40,0.7112790070156503,0.627223314548669,0.7097912894643388,0.6556594602093557,0.9418132611637348,0.5349952061361457,0.0,0.8014888337468983,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,selected_features,xgboost,40,0.7231516459794927,0.6810459037996924,0.7220165311332771,0.6668737837158973,0.9376693766937669,0.5379310344827586,0.020833333333333332,0.8379351740696278,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,selected_features,lightgbm,40,0.7177549919050189,0.6529599590001072,0.7166775038113624,0.6619661562407677,0.9318801089918256,0.538,0.015306122448979591,0.8246445497630331,1.0
raw_all,loro_R2_R3_to_R4,fixed_split,"['R2', 'R3']",['R4'],3653,1853,selected_features,stacking,40,0.7161359956826767,0.6465897153496176,0.7151116483031938,0.6589454675896377,0.9274965800273598,0.5406976744186046,0.005277044854881266,0.821256038647343,1.0
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,rf,94,0.6336418072945019,0.6225074706021854,0.6305451136456817,0.6148161314237031,0.9679144385026738,0.22564102564102564,0.6242774566473989,0.25757575757575757,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,extra_trees,94,0.6102340772999456,0.5942643798065045,0.6070356266796446,0.588776651529636,0.9454545454545454,0.16076294277929154,0.562358276643991,0.2766355140186916,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,xgboost,94,0.5802939575394666,0.5072755801621621,0.5765608209486349,0.5331577734068969,0.9307692307692308,0.11305518169582772,0.5974304068522484,0.02586206896551724,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,lightgbm,94,0.5993467610234078,0.5430674842002889,0.595718898643298,0.5524779671371125,0.9367741935483871,0.1464088397790055,0.6012396694214877,0.07929515418502203,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,all_features,stacking,94,0.5911812738160044,0.5269400271517068,0.5875292563073142,0.5464721457973389,0.9440832249674902,0.14058355437665782,0.605543710021322,0.043478260869565216,0.99867197875166
raw_all,loro_R2_R4_to_R3,fixed_split,"['R2', 'R4']",['R3'],3669,1837,selected_features,rf,20,0.5824714207947741,0.5153843569488687,0.5786317932389068,0.5367882349976272,0.9562913907284768,0.08333333333333333,0.6080661840744571,0.037578288100208766,0.99867197875166
