fold_e_out,target_env,task,n_sources,train_rounds,uds,f1_rf,f1_stacking,f1_soft_voting_equal,f1_soft_voting_calibrated,fold_soft_variant,f1_soft_voting_selected_variant,fold_t1,fold_t2,selected_candidate,f1_selected,oracle_f1,oracle_candidate,regret,regret_always_rf,regret_always_stacking,regret_always_soft_voting
R6,R6,g0_R3_R4_to_R6,2,R3|R4,0.3091293670975923,0.7022496232552669,0.5280377016717832,0.6583850850742734,0.6688285313931159,soft_voting_equal,0.6583850850742734,0.0860502526586395,0.13076959734287436,rf,0.7022496232552669,0.7022496232552669,rf,0.0,0.0,0.17421192158348364,0.04386453818099345
R7,R7,g0_R3_R4_to_R7,2,R3|R4,0.2487634688947791,0.7800326479531493,0.5621753693540898,0.7016843582108674,0.7204271546058973,soft_voting_calibrated,0.7204271546058973,0.16073106187609176,0.17406054962014167,rf,0.7800326479531493,0.7800326479531493,rf,0.0,0.0,0.21785727859905946,0.05960549334725196
R2,R2,g0_R3_R5_R6_to_R2,3,R3|R5|R6,0.3223487579952669,0.7681483686449703,0.8102087815139065,0.6694217894992157,0.699558100108465,soft_voting_equal,0.6694217894992157,0.13759225024093813,0.2137835001398824,rf,0.7681483686449703,0.8102087815139065,stacking,0.04206041286893625,0.04206041286893625,0.0,0.1407869920146908
R4,R4,g0_R3_R5_R6_to_R4,3,R3|R5|R6,0.43878069786100554,0.7776659133154694,0.7867886438481175,0.6524609638932466,0.6806285502639768,soft_voting_calibrated,0.6806285502639768,0.12993470281943537,0.21272068822027523,rf,0.7776659133154694,0.7867886438481175,stacking,0.009122730532648116,0.009122730532648116,0.0,0.10616009358414069
R7,R7,g0_R3_R5_R6_to_R7,3,R3|R5|R6,0.20185035027372922,0.8283200736309656,0.7295419350342145,0.86227093276951,0.8596246386910966,soft_voting_calibrated,0.8596246386910966,0.16073106187609176,0.17406054962014167,rf,0.8283200736309656,0.8596246386910966,soft_voting,0.03130456506013102,0.03130456506013102,0.13008270365688213,0.0
R2,R2,g0_R3_R5_R7_to_R2,3,R3|R5|R7,0.30892800501691164,0.7818510620403802,0.8099300118052731,0.6879170249053157,0.7219362902279619,soft_voting_equal,0.6879170249053157,0.13759225024093813,0.2137835001398824,rf,0.7818510620403802,0.8099300118052731,stacking,0.02807894976489289,0.02807894976489289,0.0,0.12201298689995743
R4,R4,g0_R3_R5_R7_to_R4,3,R3|R5|R7,0.337909245780148,0.7992514455177929,0.8144597146400079,0.6864309876560319,0.71971851207001,soft_voting_calibrated,0.71971851207001,0.12993470281943537,0.21272068822027523,rf,0.7992514455177929,0.8144597146400079,stacking,0.015208269122214957,0.015208269122214957,0.0,0.09474120256999785
R6,R6,g0_R3_R5_R7_to_R6,3,R3|R5|R7,0.20293589017361258,0.7733532505292734,0.7002516145861424,0.8081317754385188,0.8062937957842667,soft_voting_equal,0.8081317754385188,0.0860502526586395,0.13076959734287436,rf,0.7733532505292734,0.8081317754385188,soft_voting,0.03477852490924538,0.03477852490924538,0.1078801608523764,0.0
R2,R2,g0_R3_R5_to_R2,2,R3|R5,0.329030040980729,0.6207367074722319,0.7080770325881451,0.5623942124600418,0.5705412048269192,soft_voting_equal,0.5623942124600418,0.13759225024093813,0.2137835001398824,rf,0.6207367074722319,0.7080770325881451,stacking,0.08734032511591328,0.08734032511591328,0.0,0.1456828201281033
R4,R4,g0_R3_R5_to_R4,2,R3|R5,0.5138137897016087,0.5201454527612681,0.667164734194938,0.5063166814471878,0.5093503182547887,soft_voting_calibrated,0.5093503182547887,0.12993470281943537,0.21272068822027523,rf,0.5201454527612681,0.667164734194938,stacking,0.14701928143366993,0.14701928143366993,0.0,0.15781441594014933
