unit,config,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,is_best_base
jit_R6,full94,44,rf,0.7388432947600209,0.8,0.6,0.6106442577030813,0.6835722160970231,1.0,False
jit_R6,full94,44,xgboost,0.7774190074750142,0.8952879581151832,0.6278481012658228,0.6487093153759821,0.7152496626180836,1.0,False
jit_R6,full94,44,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,False
jit_R6,full94,44,best_base,0.7774190074750142,0.8952879581151832,0.6278481012658228,0.6487093153759821,0.7152496626180836,1.0,True
jit_R6,full94,45,rf,0.7442315034210465,0.7994186046511628,0.611764705882353,0.6224066390041494,0.6875675675675675,1.0,False
jit_R6,full94,45,xgboost,0.7812458699608165,0.9033942558746736,0.6306306306306306,0.6502793296089385,0.7219251336898396,1.0,False
jit_R6,full94,45,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,False
jit_R6,full94,45,best_base,0.7812458699608165,0.9033942558746736,0.6306306306306306,0.6502793296089385,0.7219251336898396,1.0,True
jit_R6,full94,46,rf,0.7482805249725685,0.8108882521489972,0.6093023255813953,0.6243093922651933,0.6969026548672567,1.0,False
jit_R6,full94,46,xgboost,0.7793861555088145,0.9031413612565445,0.6177215189873417,0.6546681664791901,0.721399730820996,1.0,False
jit_R6,full94,46,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,False
jit_R6,full94,46,best_base,0.7793861555088145,0.9031413612565445,0.6177215189873417,0.6546681664791901,0.721399730820996,1.0,True
jit_R6,full94_minus_rssi,42,rf,0.6983582416835513,0.5759162303664922,0.5898520084566596,0.5962059620596206,0.7298170075349839,1.0,False
jit_R6,full94_minus_rssi,42,xgboost,0.7392245027348717,0.657762938230384,0.6230936819172114,0.6350461133069829,0.7802197802197802,1.0,False
jit_R6,full94_minus_rssi,42,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,False
jit_R6,full94_minus_rssi,42,best_base,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,True
jit_R6,full94_minus_rssi,43,rf,0.6969952128547735,0.5892547660311959,0.5862433862433862,0.5888738127544098,0.7206040992448759,1.0,False
jit_R6,full94_minus_rssi,43,xgboost,0.7368013456573799,0.6510851419031719,0.6172043010752688,0.6381842456608812,0.7775330396475771,1.0,False
jit_R6,full94_minus_rssi,43,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,False
jit_R6,full94_minus_rssi,43,best_base,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,True
jit_R6,full94_minus_rssi,44,rf,0.6995793706584985,0.5759162303664922,0.5910064239828694,0.5978552278820375,0.7331189710610932,1.0,False
jit_R6,full94_minus_rssi,44,xgboost,0.7403680416247527,0.6655683690280065,0.6221248630887185,0.6372155287817939,0.7769314472252449,1.0,False
jit_R6,full94_minus_rssi,44,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,False
jit_R6,full94_minus_rssi,44,best_base,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,True
jit_R6,full94_minus_rssi,45,rf,0.7014115771919103,0.5862068965517241,0.5937834941050375,0.5962566844919787,0.7308108108108108,1.0,False
jit_R6,full94_minus_rssi,45,xgboost,0.7409352777000138,0.6644628099173554,0.625,0.6392572944297082,0.7759562841530054,1.0,False
jit_R6,full94_minus_rssi,45,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,False
jit_R6,full94_minus_rssi,45,best_base,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,True
jit_R6,full94_minus_rssi,46,rf,0.6922424596146672,0.5714285714285714,0.577209797657082,0.5898123324396782,0.7227615965480043,1.0,False
jit_R6,full94_minus_rssi,46,xgboost,0.7427752990465581,0.6655683690280065,0.6299559471365639,0.6410596026490066,0.777292576419214,1.0,False
jit_R6,full94_minus_rssi,46,lightgbm,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,False
jit_R6,full94_minus_rssi,46,best_base,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,True
jit_R7,full94,42,rf,0.8219721259799911,0.94750656167979,0.6873508353221957,0.7157894736842105,0.7592137592137592,1.0,False
jit_R7,full94,42,xgboost,0.8154367714214587,0.9609375,0.6994011976047905,0.7005917159763314,0.7162534435261708,1.0,False
jit_R7,full94,42,lightgbm,0.8088477748505276,0.9703989703989704,0.7016645326504481,0.6986155484558041,0.6735598227474151,1.0,False
jit_R7,full94,42,best_base,0.8219721259799911,0.94750656167979,0.6873508353221957,0.7157894736842105,0.7592137592137592,1.0,True
jit_R7,full94,43,rf,0.8236975201013944,0.940554821664465,0.687793427230047,0.7165775401069518,0.773561811505508,1.0,False
jit_R7,full94,43,xgboost,0.8133923108988175,0.9596879063719116,0.7004830917874396,0.7083333333333334,0.6984572230014026,1.0,False
jit_R7,full94,43,lightgbm,0.8088477748505276,0.9703989703989704,0.7016645326504481,0.6986155484558041,0.6735598227474151,1.0,False
jit_R7,full94,43,best_base,0.8236975201013944,0.940554821664465,0.687793427230047,0.7165775401069518,0.773561811505508,1.0,True
jit_R7,full94,44,rf,0.8232986071974431,0.9361702127659575,0.6949352179034158,0.7211796246648794,0.7642079806529625,1.0,False
jit_R7,full94,44,xgboost,0.8169168155399948,0.9595827900912647,0.7023809523809523,0.7061611374407583,0.7164591977869986,1.0,False
jit_R7,full94,44,lightgbm,0.8088477748505276,0.9703989703989704,0.7016645326504481,0.6986155484558041,0.6735598227474151,1.0,False
jit_R7,full94,44,best_base,0.8232986071974431,0.9361702127659575,0.6949352179034158,0.7211796246648794,0.7642079806529625,1.0,True
jit_R7,full94,45,rf,0.8258894059214619,0.9389920424403183,0.6972255729794934,0.7195767195767195,0.7736526946107785,1.0,False
jit_R7,full94,45,xgboost,0.8216756028209227,0.9622886866059818,0.713422007255139,0.7131050767414404,0.719562243502052,1.0,False
jit_R7,full94,45,lightgbm,0.8088477748505276,0.9703989703989704,0.7016645326504481,0.6986155484558041,0.6735598227474151,1.0,False
